Millis,Steps,Travel (mm),Scale raw,Scale (grams)
8230,8,0.0050,27134.00,9.3700
8264,16,0.0100,36874.00,12.4715
8297,24,0.0150,38878.00,13.2575
8331,32,0.0200,41270.00,13.8955
8364,40,0.0250,42885.00,14.3562
8398,48,0.0300,44232.00,14.8482
8432,56,0.0350,45826.00,15.4710
8465,64,0.0400,48044.00,16.1221
8499,72,0.0450,49597.00,16.7260
8532,80,0.0500,52084.00,17.4706
8566,88,0.0550,56166.00,19.8315
8599,96,0.0600,74802.00,26.1911
8633,104,0.0650,88645.00,29.5611
8666,112,0.0700,92748.00,30.6060
8700,120,0.0750,94182.00,31.0756
8733,128,0.0800,96030.00,31.5918
8767,136,0.0850,97012.00,32.0060
8801,144,0.0900,98872.00,32.6318
8834,152,0.0950,100255.00,33.0470
8868,160,0.1000,101454.00,33.4312
8901,168,0.1050,103124.00,33.9950
8935,176,0.1100,104693.00,34.4712
8968,184,0.1150,105960.00,34.9330
9002,192,0.1200,107130.00,35.2910
9035,200,0.1250,108367.00,35.7173
9069,208,0.1300,109690.00,36.1551
9103,216,0.1350,110947.00,36.5574
9136,224,0.1400,112421.00,37.0454
9170,232,0.1450,113271.00,37.3194
9203,240,0.1500,114937.00,37.7231
9237,248,0.1550,116073.00,38.1835
9270,256,0.1600,117047.00,38.5347
9304,264,0.1650,118188.00,38.7906
9337,272,0.1700,119496.00,39.3249
9371,280,0.1750,120616.00,39.6429
9405,288,0.1800,121544.00,40.0114
9438,296,0.1850,122710.00,40.3744
9472,304,0.1900,123844.00,40.6927
9505,312,0.1950,124789.00,41.0878
9539,320,0.2000,125836.00,41.3619
9572,328,0.2050,126961.00,41.7918
9606,336,0.2100,128003.00,42.1239
9639,344,0.2150,128992.00,42.3264
9673,352,0.2200,129857.00,42.6411
9706,360,0.2250,130866.00,42.9663
9740,368,0.2300,131645.00,43.3962
9774,376,0.2350,132966.00,43.7201
9807,384,0.2400,133608.00,43.9239
9841,392,0.2450,134665.00,44.2984
9874,400,0.2500,135536.00,44.4930
9908,408,0.2550,136250.00,44.8503
9941,416,0.2600,137385.00,45.1185
9975,424,0.2650,138228.00,45.3964
10008,432,0.2700,139235.00,45.7869
10042,440,0.2750,139705.00,45.9241
10076,448,0.2800,140823.00,46.2927
10109,456,0.2850,141618.00,46.5614
10143,464,0.2900,142288.00,46.7770
10176,472,0.2950,143395.00,47.0337
10210,480,0.3000,144199.00,47.3763
10243,488,0.3050,144838.00,47.6657
10277,496,0.3100,145682.00,47.7747
10310,504,0.3150,146400.00,48.1885
10344,512,0.3200,147345.00,48.4281
10377,520,0.3250,147790.00,48.6243
10411,528,0.3300,148681.00,48.9344
10445,536,0.3350,149283.00,49.0939
10478,544,0.3400,149962.00,49.3378
10512,552,0.3450,150641.00,49.5481
10545,560,0.3500,151266.00,49.7004
10579,568,0.3550,152357.00,49.9971
10612,576,0.3600,152705.00,50.0945
10646,584,0.3650,153632.00,50.4053
10679,592,0.3700,154333.00,50.6921
10713,600,0.3750,155084.00,50.9580
10746,608,0.3800,155526.00,51.1211
10780,616,0.3850,156188.00,51.3360
10814,624,0.3900,156755.00,51.5372
10847,632,0.3950,157327.00,51.8056
10881,640,0.4000,158235.00,51.9999
10914,648,0.4050,158660.00,52.1702
10948,656,0.4100,159273.00,52.3550
10981,664,0.4150,159991.00,52.6392
11015,672,0.4200,160325.00,52.7471
11049,680,0.4250,161122.00,52.8870
11082,688,0.4300,161267.00,53.0051
11116,696,0.4350,162027.00,53.2739
11149,704,0.4400,162387.00,53.4012
11183,712,0.4450,163162.00,53.5922
11216,720,0.4500,163754.00,53.7920
11250,728,0.4550,164464.00,54.0008
11283,736,0.4600,164892.00,54.1219
11317,744,0.4650,165329.00,54.2991
11350,752,0.4700,165959.00,54.5472
11384,760,0.4750,166162.00,54.6978
11418,768,0.4800,166897.00,54.8790
11451,776,0.4850,167096.00,54.9607
11485,784,0.4900,167711.00,55.0621
11518,792,0.4950,168121.00,55.3269
11552,800,0.5000,168563.00,55.3732
11585,808,0.5050,169286.00,55.6016
11619,816,0.5100,169724.00,55.7726
11652,824,0.5150,170256.00,55.9107
11686,832,0.5200,170713.00,56.1277
11719,840,0.5250,170795.00,56.1900
11753,848,0.5300,171687.00,56.4145
11787,856,0.5350,171919.00,56.5346
11820,864,0.5400,172563.00,56.7305
11854,872,0.5450,173159.00,56.8286
11887,880,0.5500,173508.00,56.9875
11921,888,0.5550,174252.00,57.1703
11954,896,0.5600,174108.00,57.3074
11988,904,0.5650,174726.00,57.3987
12021,912,0.5700,175238.00,57.5949
12055,920,0.5750,176039.00,57.8013
12089,928,0.5800,175919.00,57.7606
12122,936,0.5850,176710.00,58.0396
12156,944,0.5900,176867.00,58.1151
12189,952,0.5950,177099.00,58.2070
12223,960,0.6000,177528.00,58.3136
12256,968,0.6050,177954.00,58.4852
12290,976,0.6100,178509.00,58.6634
12323,984,0.6150,179189.00,58.8695
12357,992,0.6200,179221.00,58.9375
12391,1000,0.6250,179960.00,59.0317
12424,1008,0.6300,179963.00,59.1061
12458,1016,0.6350,180240.00,59.2906
12491,1024,0.6400,180765.00,59.3536
12525,1032,0.6450,181220.00,59.4245
12558,1040,0.6500,181364.00,59.5173
12592,1048,0.6550,181991.00,59.7773
12625,1056,0.6600,182198.00,59.8393
12659,1064,0.6650,182517.00,59.9364
12693,1072,0.6700,182987.00,60.1320
