Millis,Steps,Travel (mm),Scale raw,Scale (grams)
7324,8,0.0050,39733.00,13.8627
7357,16,0.0100,46447.00,15.4500
7391,24,0.0150,46596.00,15.5265
7424,32,0.0200,46985.00,15.6220
7458,40,0.0250,47814.00,15.9367
7491,48,0.0300,47617.00,15.8025
7525,56,0.0350,47320.00,15.6673
7559,64,0.0400,47473.00,15.7579
7592,72,0.0450,48631.00,16.3115
7626,80,0.0500,51217.00,17.1591
7659,88,0.0550,52510.00,17.5228
7693,96,0.0600,53026.00,17.9372
7726,104,0.0650,57144.00,19.3467
7760,112,0.0700,60926.00,20.3851
7793,120,0.0750,63501.00,21.1428
7827,128,0.0800,65204.00,21.6115
7861,136,0.0850,65541.00,21.7188
7894,144,0.0900,66274.00,22.1936
7928,152,0.0950,69540.00,23.1683
7961,160,0.1000,71447.00,23.6616
7995,168,0.1050,72127.00,23.8440
8028,176,0.1100,73134.00,24.1876
8062,184,0.1150,74195.00,24.4928
8096,192,0.1200,74744.00,24.7511
8129,200,0.1250,75600.00,24.9450
8163,208,0.1300,76433.00,25.3080
8196,216,0.1350,77027.00,25.4599
8230,224,0.1400,77760.00,25.7077
8263,232,0.1450,78536.00,25.9230
8297,240,0.1500,79158.00,26.1649
8331,248,0.1550,79936.00,26.4090
8364,256,0.1600,80658.00,26.6177
8398,264,0.1650,81632.00,26.9541
8431,272,0.1700,82105.00,27.1218
8465,280,0.1750,82686.00,27.4017
8498,288,0.1800,83665.00,27.5826
8532,296,0.1850,84334.00,27.8530
8566,304,0.1900,84825.00,28.0377
8599,312,0.1950,85632.00,28.2369
8633,320,0.2000,86130.00,28.4096
8666,328,0.2050,86874.00,28.5887
8700,336,0.2100,87596.00,28.8303
8733,344,0.2150,87980.00,29.0705
8767,352,0.2200,88953.00,29.3688
8800,360,0.2250,89447.00,29.4988
8834,368,0.2300,90085.00,29.6816
8868,376,0.2350,90924.00,29.9447
8901,384,0.2400,91612.00,30.1741
8935,392,0.2450,91922.00,30.3090
8968,400,0.2500,92625.00,30.5062
9002,408,0.2550,93314.00,30.7160
9036,416,0.2600,93971.00,30.9171
9069,424,0.2650,94406.00,31.1449
9103,432,0.2700,94973.00,31.3175
9136,440,0.2750,95961.00,31.5964
9170,448,0.2800,96474.00,31.8137
9203,456,0.2850,96945.00,31.9135
9237,464,0.2900,97520.00,32.0687
9270,472,0.2950,97924.00,32.2305
9304,480,0.3000,98539.00,32.4169
