Millis,Steps,Travel (mm),Scale raw,Scale (grams)
9362,8,0.0050,13105.00,4.6925
9395,16,0.0100,25632.00,9.4934
9429,24,0.0150,32346.00,10.7762
9463,32,0.0200,33172.00,11.0673
9496,40,0.0250,34347.00,11.3206
9530,48,0.0300,35032.00,11.6275
9563,56,0.0350,35737.00,11.8693
9597,64,0.0400,36815.00,12.2776
9630,72,0.0450,38651.00,12.9556
9664,80,0.0500,40229.00,13.3730
9698,88,0.0550,41007.00,13.6470
9731,96,0.0600,41844.00,13.9047
9765,104,0.0650,42552.00,14.1134
9798,112,0.0700,43320.00,14.3831
9832,120,0.0750,43890.00,14.4701
9865,128,0.0800,44947.00,14.9463
9899,136,0.0850,47094.00,16.0594
9932,144,0.0900,54384.00,18.8371
9966,152,0.0950,62693.00,20.6502
10000,160,0.1000,64116.00,21.0621
10033,168,0.1050,65123.00,21.4966
10067,176,0.1100,66019.00,21.7332
10100,184,0.1150,67314.00,22.1723
10134,192,0.1200,68047.00,22.3728
10167,200,0.1250,69027.00,22.7814
10201,208,0.1300,70386.00,23.1604
10235,216,0.1350,71592.00,23.4880
10268,224,0.1400,72252.00,23.8066
10302,232,0.1450,73199.00,24.0580
10335,240,0.1500,74219.00,24.4032
10369,248,0.1550,75106.00,24.7055
10402,256,0.1600,76217.00,25.0320
10436,264,0.1650,76975.00,25.3356
10469,272,0.1700,77839.00,25.5725
10503,280,0.1750,78809.00,25.9171
10537,288,0.1800,79790.00,26.2403
10570,296,0.1850,80596.00,26.4786
10604,304,0.1900,81510.00,26.8599
10637,312,0.1950,82414.00,27.1317
10671,320,0.2000,83245.00,27.4319
10704,328,0.2050,84216.00,27.6879
10738,336,0.2100,84961.00,27.9885
10772,344,0.2150,85897.00,28.2376
10805,352,0.2200,86637.00,28.4949
10839,360,0.2250,87396.00,28.6993
10872,368,0.2300,88246.00,29.0124
10906,376,0.2350,89067.00,29.3150
10939,384,0.2400,89819.00,29.5112
10973,392,0.2450,90754.00,29.8637
11007,400,0.2500,91216.00,30.0534
11040,408,0.2550,92288.00,30.3517
11074,416,0.2600,92981.00,30.5666
11107,424,0.2650,93730.00,30.8380
11141,432,0.2700,94327.00,31.0996
11174,440,0.2750,95066.00,31.2903
11208,448,0.2800,95571.00,31.5331
11242,456,0.2850,96421.00,31.7612
11275,464,0.2900,97331.00,32.0004
11309,472,0.2950,98024.00,32.2984
11342,480,0.3000,98792.00,32.4238
11376,488,0.3050,99484.00,32.6308
11409,496,0.3100,99952.00,32.8894
11443,504,0.3150,100586.00,33.1001
11477,512,0.3200,101367.00,33.4079
11510,520,0.3250,102128.00,33.5185
11544,528,0.3300,102724.00,33.7686
11577,536,0.3350,103342.00,34.0065
11611,544,0.3400,103801.00,34.1214
11644,552,0.3450,104660.00,34.3459
11678,560,0.3500,105246.00,34.5999
11711,568,0.3550,105719.00,34.7653
11745,576,0.3600,106298.00,34.8844
11779,584,0.3650,107064.00,35.1578
11812,592,0.3700,107365.00,35.2785
11846,600,0.3750,107960.00,35.4935
11879,608,0.3800,108793.00,35.7035
11913,616,0.3850,109065.00,35.8847
11946,624,0.3900,109703.00,36.0507
11980,632,0.3950,110114.00,36.2125
12014,640,0.4000,110688.00,36.3057
12047,648,0.4050,111264.00,36.5364
12081,656,0.4100,111871.00,36.7363
12114,664,0.4150,112296.00,36.9407
12148,672,0.4200,112824.00,37.0641
12181,680,0.4250,113262.00,37.2801
12215,688,0.4300,113809.00,37.3690
12249,696,0.4350,114212.00,37.5035
12282,704,0.4400,114659.00,37.6443
12316,712,0.4450,114897.00,37.7969
12349,720,0.4500,115702.00,37.9722
12383,728,0.4550,115794.00,38.1113
12416,736,0.4600,116367.00,38.2058
12450,744,0.4650,116982.00,38.4785
12484,752,0.4700,117705.00,38.7017
12517,760,0.4750,117863.00,38.7099
12551,768,0.4800,118268.00,38.8783
12584,776,0.4850,118460.00,38.9340
12618,784,0.4900,119210.00,39.1585
12651,792,0.4950,119665.00,39.2645
12685,800,0.5000,120149.00,39.4112
12719,808,0.5050,120425.00,39.5520
12752,816,0.5100,120790.00,39.6439
12786,824,0.5150,121157.00,39.7578
12819,832,0.5200,121538.00,39.8848
12853,840,0.5250,121977.00,40.0840
12886,848,0.5300,122500.00,40.1818
12920,856,0.5350,122851.00,40.3534
12954,864,0.5400,123134.00,40.5086
12987,872,0.5450,123731.00,40.5877
13021,880,0.5500,124146.00,40.7597
13054,888,0.5550,124471.00,40.9510
13088,896,0.5600,124737.00,40.9231
13121,904,0.5650,125322.00,41.1157
13155,912,0.5700,125472.00,41.2664
13188,920,0.5750,125926.00,41.3313
13222,928,0.5800,126351.00,41.4744
13256,936,0.5850,126766.00,41.5676
13289,944,0.5900,126806.00,41.6543
13323,952,0.5950,127237.00,41.7816
13356,960,0.6000,127319.00,41.8781
13390,968,0.6050,128083.00,42.0888
13424,976,0.6100,128108.00,42.0934
13457,984,0.6150,128887.00,42.3067
13491,992,0.6200,128916.00,42.2466
13524,1000,0.6250,129235.00,42.4793
13558,1008,0.6300,129415.00,42.5584
13591,1016,0.6350,129812.00,42.6437
13625,1024,0.6400,130271.00,42.7205
13659,1032,0.6450,130635.00,42.8856
13692,1040,0.6500,130652.00,42.9899
13726,1048,0.6550,131062.00,42.9670
13759,1056,0.6600,131261.00,43.1760
13793,1064,0.6650,131839.00,43.2827
13826,1072,0.6700,132142.00,43.3690
13860,1080,0.6750,132183.00,43.3496
13893,1088,0.6800,132547.00,43.5406
13927,1096,0.6850,132620.00,43.5587
13961,1104,0.6900,133201.00,43.6653
13994,1112,0.6950,133389.00,43.7917
14028,1120,0.7000,133597.00,43.8835
14061,1128,0.7050,133868.00,43.9557
14095,1136,0.7100,134068.00,44.0427
14128,1144,0.7150,134224.00,44.0880
14162,1152,0.7200,134547.00,44.1638
14196,1160,0.7250,134763.00,44.2209
14229,1168,0.7300,134807.00,44.3253
14263,1176,0.7350,135325.00,44.3614
14296,1184,0.7400,135403.00,44.4795
14330,1192,0.7450,135692.00,44.5524
14363,1200,0.7500,136033.00,44.6899
14397,1208,0.7550,136237.00,44.6633
14431,1216,0.7600,136611.00,44.7870
14464,1224,0.7650,136592.00,44.7798
14498,1232,0.7700,136711.00,44.9114
14531,1240,0.7750,136936.00,44.9514
14565,1248,0.7800,137326.00,45.0315
14598,1256,0.7850,137456.00,45.1696
14632,1264,0.7900,137829.00,45.1756
14666,1272,0.7950,137745.00,45.1808
14699,1280,0.8000,138086.00,45.3574
14733,1288,0.8050,138210.00,45.4237
14766,1296,0.8100,138554.00,45.5103
14800,1304,0.8150,138574.00,45.4499
14833,1312,0.8200,138931.00,45.6258
14867,1320,0.8250,138920.00,45.6330
14901,1328,0.8300,139117.00,45.6494
14934,1336,0.8350,139296.00,45.7508
14968,1344,0.8400,139534.00,45.7951
15001,1352,0.8450,139403.00,45.8365
15035,1360,0.8500,139783.00,45.8828
15068,1368,0.8550,139908.00,45.9369
15102,1376,0.8600,140240.00,46.0314
15136,1384,0.8650,140251.00,46.0413
15169,1392,0.8700,140669.00,46.1056
15203,1400,0.8750,140655.00,46.1860
15236,1408,0.8800,140788.00,46.2799
15270,1416,0.8850,140854.00,46.2454
15303,1424,0.8900,141106.00,46.2513
15337,1432,0.8950,141320.00,46.3603
15371,1440,0.9000,141456.00,46.3750
15404,1448,0.9050,141276.00,46.4206
15438,1456,0.9100,141882.00,46.5165
15471,1464,0.9150,141658.00,46.5270
15505,1472,0.9200,141892.00,46.6018
15538,1480,0.9250,142202.00,46.6523
15572,1488,0.9300,142032.00,46.5972
15606,1496,0.9350,142219.00,46.6346
15639,1504,0.9400,142330.00,46.7071
15673,1512,0.9450,142353.00,46.7140
15706,1520,0.9500,142343.00,46.7137
15740,1528,0.9550,142602.00,46.7777
15773,1536,0.9600,142748.00,46.8584
15807,1544,0.9650,142992.00,46.9293
15841,1552,0.9700,142894.00,46.9254
15874,1560,0.9750,143108.00,46.9227
15908,1568,0.9800,143279.00,47.0054
15941,1576,0.9850,143322.00,47.0035
15975,1584,0.9900,143292.00,47.1128
16008,1592,0.9950,143290.00,47.0271
16042,1600,1.0000,143625.00,47.1886
16076,1608,1.0050,143604.00,47.1160
16109,1616,1.0100,143490.00,47.2086
16143,1624,1.0150,143834.00,47.2299
16176,1632,1.0200,143943.00,47.1774
16210,1640,1.0250,143937.00,47.2631
16243,1648,1.0300,144150.00,47.2772
16277,1656,1.0350,144080.00,47.2476
16311,1664,1.0400,144112.00,47.3464
16344,1672,1.0450,144005.00,47.3254
16378,1680,1.0500,144053.00,47.3169
16411,1688,1.0550,144302.00,47.3487
16445,1696,1.0600,144434.00,47.4055
16478,1704,1.0650,144329.00,47.3799
16512,1712,1.0700,144423.00,47.4262
16546,1720,1.0750,144570.00,47.3897
16579,1728,1.0800,144701.00,47.4508
16613,1736,1.0850,144392.00,47.4429
16646,1744,1.0900,144680.00,47.4436
16680,1752,1.0950,144687.00,47.4649
16713,1760,1.1000,144660.00,47.4961
16747,1768,1.1050,144846.00,47.5098
16781,1776,1.1100,144666.00,47.4997
16814,1784,1.1150,144713.00,47.4678
16848,1792,1.1200,144581.00,47.4744
16881,1800,1.1250,144654.00,47.4833
16915,1808,1.1300,144684.00,47.4928
16949,1816,1.1350,144906.00,47.5115
16982,1824,1.1400,144799.00,47.5151
17016,1832,1.1450,144937.00,47.5079
17049,1840,1.1500,144850.00,47.5591
17083,1848,1.1550,144950.00,47.5266
17116,1856,1.1600,144640.00,47.4626
17150,1864,1.1650,144922.00,47.5610
17184,1872,1.1700,144658.00,47.4951
17217,1880,1.1750,144645.00,47.4714
17251,1888,1.1800,144795.00,47.5233
17284,1896,1.1850,144872.00,47.5866
17318,1904,1.1900,144962.00,47.5276
17351,1912,1.1950,144590.00,47.4271
17385,1920,1.2000,144730.00,47.5276
17419,1928,1.2050,144709.00,47.4491
17452,1936,1.2100,144994.00,47.5368
17486,1944,1.2150,144751.00,47.4810
17519,1952,1.2200,144927.00,47.5381
17553,1960,1.2250,144916.00,47.4672
17586,1968,1.2300,144722.00,47.4669
17620,1976,1.2350,144563.00,47.4370
17654,1984,1.2400,144324.00,47.3307
17687,1992,1.2450,144278.00,47.3714
17721,2000,1.2500,144579.00,47.4222
17754,2008,1.2550,144458.00,47.3786
17788,2016,1.2600,144478.00,47.3526
17822,2024,1.2650,144395.00,47.3664
17855,2032,1.2700,144319.00,47.3133
17889,2040,1.2750,144127.00,47.2749
17922,2048,1.2800,144315.00,47.3750
17956,2056,1.2850,144380.00,47.3110
17989,2064,1.2900,144267.00,47.2260
18023,2072,1.2950,143893.00,47.2407
18057,2080,1.3000,143949.00,47.2978
18090,2088,1.3050,143786.00,47.2509
18124,2096,1.3100,143718.00,47.2234
18157,2104,1.3150,143870.00,47.1863
18191,2112,1.3200,143679.00,47.1804
18224,2120,1.3250,143656.00,47.0891
18258,2128,1.3300,143407.00,47.0530
18292,2136,1.3350,143509.00,47.0970
18325,2144,1.3400,143440.00,47.0793
18359,2152,1.3450,143186.00,47.0639
18392,2160,1.3500,143303.00,46.9917
18426,2168,1.3550,143145.00,46.9930
18459,2176,1.3600,143288.00,47.0373
18493,2184,1.3650,142947.00,46.9221
18527,2192,1.3700,143047.00,46.9772
18560,2200,1.3750,142814.00,46.9313
18594,2208,1.3800,142862.00,46.8561
18627,2216,1.3850,142809.00,46.8354
18661,2224,1.3900,142729.00,46.8538
18695,2232,1.3950,142255.00,46.7734
18728,2240,1.4000,142421.00,46.6799
18762,2248,1.4050,142344.00,46.6865
18795,2256,1.4100,142213.00,46.6979
18829,2264,1.4150,142358.00,46.6684
18862,2272,1.4200,141907.00,46.6097
18896,2280,1.4250,142094.00,46.5851
18930,2288,1.4300,141885.00,46.5985
18963,2296,1.4350,141989.00,46.5798
19142,2304,1.4400,141343.00,46.4019
19176,2312,1.4450,141203.00,46.3816
19209,2320,1.4500,141023.00,46.2487
19243,2328,1.4550,141289.00,46.3055
19277,2336,1.4600,141141.00,46.3521
19310,2344,1.4650,140940.00,46.1732
19344,2352,1.4700,140918.00,46.1817
19377,2360,1.4750,140694.00,46.1909
19411,2368,1.4800,140696.00,46.2090
19444,2376,1.4850,140447.00,46.1325
19478,2384,1.4900,140356.00,46.0390
19512,2392,1.4950,140445.00,46.0774
19545,2400,1.5000,140244.00,46.0229
19579,2408,1.5050,140118.00,45.9868
19612,2416,1.5100,140004.00,45.9333
19646,2424,1.5150,140113.00,45.9474
19680,2432,1.5200,139935.00,45.9011
19713,2440,1.5250,139600.00,45.8214
19747,2448,1.5300,139447.00,45.7564
19780,2456,1.5350,139448.00,45.7820
19814,2464,1.5400,139286.00,45.6809
19847,2472,1.5450,139120.00,45.6350
19881,2480,1.5500,139113.00,45.6829
19915,2488,1.5550,139226.00,45.6471
19948,2496,1.5600,138992.00,45.5923
19982,2504,1.5650,138677.00,45.5441
20015,2512,1.5700,138804.00,45.5113
20049,2520,1.5750,138332.00,45.3383
20083,2528,1.5800,138336.00,45.4040
20116,2536,1.5850,138411.00,45.3702
20150,2544,1.5900,137873.00,45.1867
20183,2552,1.5950,137972.00,45.2674
20217,2560,1.6000,137806.00,45.1674
20251,2568,1.6050,137542.00,45.1227
20284,2576,1.6100,137486.00,45.0971
20318,2584,1.6150,137468.00,45.1155
20351,2592,1.6200,137080.00,44.9993
20385,2600,1.6250,137204.00,45.0361
20418,2608,1.6300,136712.00,44.8664
20452,2616,1.6350,136828.00,44.9133
20486,2624,1.6400,136417.00,44.7772
20519,2632,1.6450,136419.00,44.7210
20553,2640,1.6500,136237.00,44.6961
20586,2648,1.6550,136121.00,44.5904
20620,2656,1.6600,135761.00,44.6095
20653,2664,1.6650,135749.00,44.4418
20687,2672,1.6700,135696.00,44.5300
20721,2680,1.6750,135214.00,44.4145
20754,2688,1.6800,135397.00,44.3272
20788,2696,1.6850,135139.00,44.3223
20821,2704,1.6900,135004.00,44.1720
20855,2712,1.6950,134379.00,44.0811
20889,2720,1.7000,134452.00,44.1274
20922,2728,1.7050,134292.00,44.0893
20956,2736,1.7100,134129.00,43.9836
20989,2744,1.7150,134085.00,43.9574
21023,2752,1.7200,133830.00,43.8714
21057,2760,1.7250,133542.00,43.8366
21090,2768,1.7300,133428.00,43.7661
21124,2776,1.7350,133153.00,43.6945
21157,2784,1.7400,133144.00,43.6246
21191,2792,1.7450,132780.00,43.6315
21224,2800,1.7500,132489.00,43.5317
21258,2808,1.7550,132582.00,43.4805
21292,2816,1.7600,132286.00,43.3831
21325,2824,1.7650,132093.00,43.2827
21359,2832,1.7700,131830.00,43.2820
21392,2840,1.7750,131771.00,43.2544
21426,2848,1.7800,131499.00,43.1317
21459,2856,1.7850,131350.00,43.1022
21493,2864,1.7900,131078.00,43.0264
21527,2872,1.7950,131137.00,43.0024
21560,2880,1.8000,130680.00,42.8839
21594,2888,1.8050,130558.00,42.7914
21627,2896,1.8100,130221.00,42.7441
21661,2904,1.8150,130118.00,42.6959
21695,2912,1.8200,129873.00,42.6348
21728,2920,1.8250,129666.00,42.5561
21762,2928,1.8300,129463.00,42.4596
21795,2936,1.8350,129209.00,42.4232
21829,2944,1.8400,128834.00,42.2988
21863,2952,1.8450,128937.00,42.2995
21896,2960,1.8500,128622.00,42.1537
21930,2968,1.8550,128177.00,42.0724
21963,2976,1.8600,128047.00,42.0254
21997,2984,1.8650,127952.00,41.9975
22030,2992,1.8700,127864.00,41.9736
22064,3000,1.8750,127471.00,41.8669
22098,3008,1.8800,127285.00,41.7898
22131,3016,1.8850,127156.00,41.6766
22165,3024,1.8900,126801.00,41.5338
22198,3032,1.8950,126681.00,41.5762
22232,3040,1.9000,126477.00,41.5154
22266,3048,1.9050,126137.00,41.3665
22299,3056,1.9100,125939.00,41.3819
22333,3064,1.9150,125835.00,41.2306
22366,3072,1.9200,125316.00,41.1456
22400,3080,1.9250,125067.00,41.1026
22433,3088,1.9300,125006.00,40.9989
22467,3096,1.9350,124804.00,40.9379
22501,3104,1.9400,124434.00,40.8706
