Millis,Steps,Travel (mm),Scale raw,Scale (grams)
301198,8,0.0050,23432.00,8.7819
301232,16,0.0100,32552.00,11.0312
301265,24,0.0150,35124.00,11.6652
301299,32,0.0200,36759.00,12.2333
301333,40,0.0250,37999.00,12.5536
301366,48,0.0300,38760.00,12.7383
301400,56,0.0350,39752.00,13.1308
301434,64,0.0400,40323.00,13.4170
301468,72,0.0450,41261.00,13.6474
301501,80,0.0500,41819.00,13.8988
301535,88,0.0550,43095.00,14.3342
301569,96,0.0600,44104.00,14.6148
301603,104,0.0650,45764.00,15.2210
301636,112,0.0700,47060.00,15.6112
301670,120,0.0750,47807.00,15.7195
301704,128,0.0800,48594.00,15.9397
301738,136,0.0850,48708.00,16.5635
301771,144,0.0900,56132.00,18.8594
301805,152,0.0950,60649.00,20.2436
301839,160,0.1000,62508.00,20.2154
301872,168,0.1050,62162.00,20.6775
301906,176,0.1100,62677.00,20.7569
301940,184,0.1150,64568.00,21.3112
301974,192,0.1200,65089.00,21.7178
302007,200,0.1250,65462.00,21.8143
302041,208,0.1300,67089.00,22.2770
302075,216,0.1350,67797.00,22.5025
302109,224,0.1400,68767.00,22.6892
302142,232,0.1450,69229.00,22.7318
302176,240,0.1500,70021.00,23.0544
302210,248,0.1550,70302.00,23.0836
302244,256,0.1600,70835.00,23.3301
302277,264,0.1650,71112.00,23.4469
302311,272,0.1700,71689.00,23.6714
302345,280,0.1750,72398.00,23.7072
302378,288,0.1800,73066.00,24.0488
302412,296,0.1850,73641.00,24.2864
302446,304,0.1900,74434.00,24.4925
302480,312,0.1950,74822.00,24.6517
302513,320,0.2000,75441.00,24.8105
302547,328,0.2050,75966.00,25.0478
302581,336,0.2100,76984.00,25.3569
302615,344,0.2150,77845.00,25.6746
302648,352,0.2200,78386.00,25.8265
302682,360,0.2250,79057.00,26.0966
302716,368,0.2300,79772.00,26.2521
302749,376,0.2350,80374.00,26.4349
302783,384,0.2400,80773.00,26.6095
302817,392,0.2450,81563.00,26.7628
302851,400,0.2500,81968.00,26.9026
302884,408,0.2550,82477.00,27.1294
302918,416,0.2600,82905.00,27.3535
302952,424,0.2650,83533.00,27.5583
302986,432,0.2700,84147.00,27.7352
303019,440,0.2750,84871.00,27.9032
303053,448,0.2800,85286.00,28.1004
303087,456,0.2850,85497.00,28.2159
