Millis,Steps,Travel (mm),Scale raw,Scale (grams)
6891,8,0.0050,9280.00,3.3149
6924,16,0.0100,12939.00,4.3404
6958,24,0.0150,13160.00,4.7047
6991,32,0.0200,14652.00,5.0214
7024,40,0.0250,18318.00,6.2832
7058,48,0.0300,19326.00,6.7787
7091,56,0.0350,20766.00,7.0150
7125,64,0.0400,21003.00,7.2644
7158,72,0.0450,21908.00,7.5122
7192,80,0.0500,22709.00,7.6999
7225,88,0.0550,23647.00,7.9949
7259,96,0.0600,24225.00,8.2220
7292,104,0.0650,24814.00,8.4022
7326,112,0.0700,25814.00,8.6178
7359,120,0.0750,26849.00,9.0100
7393,128,0.0800,27208.00,9.1232
7426,136,0.0850,28228.00,9.5206
7460,144,0.0900,31007.00,10.6131
7493,152,0.0950,33921.00,11.3174
7527,160,0.1000,35478.00,11.8185
7560,168,0.1050,37186.00,12.3334
7594,176,0.1100,38673.00,12.7623
7627,184,0.1150,39839.00,13.2047
7661,192,0.1200,41263.00,13.6431
7694,200,0.1250,42362.00,14.1567
7728,208,0.1300,44024.00,14.5630
7761,216,0.1350,45406.00,15.0700
7794,224,0.1400,46642.00,15.4700
7828,232,0.1450,48299.00,15.9807
7861,240,0.1500,49493.00,16.3397
7895,248,0.1550,50650.00,16.7545
7928,256,0.1600,52157.00,17.1388
7962,264,0.1650,53403.00,17.6498
7995,272,0.1700,54653.00,18.0718
8029,280,0.1750,55828.00,18.4613
8062,288,0.1800,56859.00,18.8519
8096,296,0.1850,58415.00,19.2811
8129,304,0.1900,59804.00,19.7399
8163,312,0.1950,60737.00,20.0513
8196,320,0.2000,62040.00,20.4507
8230,328,0.2050,63091.00,20.8294
8263,336,0.2100,64401.00,21.1914
8297,344,0.2150,65462.00,21.5655
8330,352,0.2200,66740.00,21.9997
8364,360,0.2250,68011.00,22.4234
8397,368,0.2300,68834.00,22.7332
8431,376,0.2350,70362.00,23.1795
8464,384,0.2400,71421.00,23.5703
8497,392,0.2450,72606.00,23.9175
8531,400,0.2500,73551.00,24.2710
8564,408,0.2550,74857.00,24.7245
8598,416,0.2600,75953.00,25.0596
8631,424,0.2650,77066.00,25.3963
8665,432,0.2700,78344.00,25.8383
8698,440,0.2750,79360.00,26.1580
8732,448,0.2800,80451.00,26.5157
8765,456,0.2850,81564.00,26.8455
8799,464,0.2900,82718.00,27.2216
8832,472,0.2950,83806.00,27.5760
8866,480,0.3000,84944.00,28.0003
8899,488,0.3050,85766.00,28.1890
8933,496,0.3100,86808.00,28.5700
8966,504,0.3150,87881.00,28.9376
9000,512,0.3200,89120.00,29.3813
9033,520,0.3250,89919.00,29.6333
9067,528,0.3300,90906.00,29.9411
9100,536,0.3350,91880.00,30.2995
9134,544,0.3400,92981.00,30.5794
9167,552,0.3450,93856.00,30.8856
9201,560,0.3500,94841.00,31.1728
9234,568,0.3550,95709.00,31.5098
9268,576,0.3600,96464.00,31.7271
9301,584,0.3650,97795.00,32.1031
9335,592,0.3700,98555.00,32.3621
9368,600,0.3750,99391.00,32.7401
9401,608,0.3800,100225.00,32.9767
9435,616,0.3850,101290.00,33.2462
9468,624,0.3900,101905.00,33.5172
9502,632,0.3950,102929.00,33.8402
9535,640,0.4000,103800.00,34.1503
9569,648,0.4050,104648.00,34.3255
9602,656,0.4100,105210.00,34.6166
9636,664,0.4150,105874.00,34.8851
9669,672,0.4200,106935.00,35.1358
9703,680,0.4250,107627.00,35.4108
9736,688,0.4300,108274.00,35.6326
9770,696,0.4350,108912.00,35.7813
9803,704,0.4400,109689.00,36.0835
9837,712,0.4450,110491.00,36.3405
9870,720,0.4500,111091.00,36.6204
9904,728,0.4550,111933.00,36.7740
9937,736,0.4600,112633.00,37.0566
9971,744,0.4650,113426.00,37.2883
10004,752,0.4700,114065.00,37.4714
10038,760,0.4750,114798.00,37.7520
10071,768,0.4800,115578.00,38.0175
10105,776,0.4850,116183.00,38.1619
10138,784,0.4900,116952.00,38.4264
10171,792,0.4950,117207.00,38.6115
10205,800,0.5000,118160.00,38.8340
10238,808,0.5050,118726.00,38.9734
10272,816,0.5100,119296.00,39.2320
10305,824,0.5150,120047.00,39.4601
10339,832,0.5200,120498.00,39.5917
10372,840,0.5250,121095.00,39.7158
10406,848,0.5300,121917.00,40.0505
10439,856,0.5350,122425.00,40.2828
10473,864,0.5400,122907.00,40.3823
10506,872,0.5450,123428.00,40.5877
10540,880,0.5500,124171.00,40.7479
10573,888,0.5550,124632.00,40.9828
10607,896,0.5600,125420.00,41.2132
10640,904,0.5650,125880.00,41.3126
10674,912,0.5700,126181.00,41.4994
10707,920,0.5750,127133.00,41.7045
10741,928,0.5800,127361.00,41.8620
10774,936,0.5850,127689.00,42.0330
10808,944,0.5900,128666.00,42.2164
10841,952,0.5950,129026.00,42.3231
10875,960,0.6000,129350.00,42.5072
10908,968,0.6050,130020.00,42.7244
10941,976,0.6100,130521.00,42.9092
10975,984,0.6150,131031.00,43.0342
11008,992,0.6200,131684.00,43.2436
11042,1000,0.6250,132001.00,43.4100
11075,1008,0.6300,132469.00,43.5166
11109,1016,0.6350,132949.00,43.7181
11142,1024,0.6400,133607.00,43.8389
11176,1032,0.6450,133676.00,43.8629
11209,1040,0.6500,134225.00,44.0263
11243,1048,0.6550,134833.00,44.2616
11276,1056,0.6600,135317.00,44.4247
11310,1064,0.6650,135503.00,44.5350
11343,1072,0.6700,135931.00,44.6068
11377,1080,0.6750,136658.00,44.8595
11410,1088,0.6800,136817.00,44.9298
11444,1096,0.6850,137358.00,45.1001
11477,1104,0.6900,137862.00,45.2399
11511,1112,0.6950,138099.00,45.4000
11544,1120,0.7000,138729.00,45.4594
11578,1128,0.7050,139040.00,45.6357
11611,1136,0.7100,139384.00,45.7774
11645,1144,0.7150,139812.00,45.9602
11678,1152,0.7200,139999.00,46.0318
11712,1160,0.7250,140601.00,46.1617
11745,1168,0.7300,141057.00,46.3097
11779,1176,0.7350,141170.00,46.3425
11812,1184,0.7400,141620.00,46.4840
11846,1192,0.7450,142003.00,46.5942
11879,1200,0.7500,142108.00,46.7121
11912,1208,0.7550,142651.00,46.8223
11946,1216,0.7600,142877.00,46.8883
11979,1224,0.7650,142991.00,47.0238
12013,1232,0.7700,143647.00,47.0872
12046,1240,0.7750,143876.00,47.1938
12080,1248,0.7800,144456.00,47.3822
12113,1256,0.7850,144545.00,47.4905
12147,1264,0.7900,144904.00,47.5210
12180,1272,0.7950,145067.00,47.5968
12214,1280,0.8000,145431.00,47.7455
12247,1288,0.8050,145697.00,47.8452
12281,1296,0.8100,145995.00,47.9713
12314,1304,0.8150,146345.00,48.0454
12348,1312,0.8200,146368.00,48.0608
12381,1320,0.8250,146860.00,48.1590
12415,1328,0.8300,146979.00,48.2833
12448,1336,0.8350,147438.00,48.3805
12482,1344,0.8400,147493.00,48.4209
12515,1352,0.8450,147949.00,48.4944
12549,1360,0.8500,148117.00,48.6168
12582,1368,0.8550,148266.00,48.6420
12616,1376,0.8600,148533.00,48.7713
12649,1384,0.8650,148897.00,48.8176
12683,1392,0.8700,149015.00,48.9092
12716,1400,0.8750,149446.00,49.0670
12750,1408,0.8800,149460.00,49.0559
12783,1416,0.8850,149533.00,49.0870
12816,1424,0.8900,149855.00,49.2843
12850,1432,0.8950,150146.00,49.2921
12883,1440,0.9000,150308.00,49.3788
12917,1448,0.9050,150449.00,49.3775
12950,1456,0.9100,150589.00,49.4717
12984,1464,0.9150,150755.00,49.5573
13017,1472,0.9200,151206.00,49.6315
13051,1480,0.9250,151211.00,49.7024
13084,1488,0.9300,151204.00,49.6715
13118,1496,0.9350,151668.00,49.7404
13151,1504,0.9400,151942.00,49.8756
13185,1512,0.9450,151981.00,49.8477
13218,1520,0.9500,152170.00,49.9098
13252,1528,0.9550,152006.00,49.9642
13285,1536,0.9600,152554.00,50.1287
13319,1544,0.9650,152502.00,50.0939
13352,1552,0.9700,152679.00,50.1014
13386,1560,0.9750,152739.00,50.1828
13419,1568,0.9800,152873.00,50.2547
13453,1576,0.9850,153014.00,50.2655
