Millis,Steps,Travel (mm),Scale raw,Scale (grams)
282456,8,0.0050,11601.00,3.9112
282490,16,0.0100,13112.00,4.5071
282523,24,0.0150,15124.00,5.1178
282557,32,0.0200,16297.00,5.5819
282591,40,0.0250,17682.00,5.9790
282625,48,0.0300,18867.00,6.2986
282658,56,0.0350,19968.00,6.5657
282692,64,0.0400,20837.00,6.9310
282726,72,0.0450,21872.00,7.3573
282760,80,0.0500,23516.00,7.8263
282793,88,0.0550,26589.00,8.8731
282827,96,0.0600,28276.00,9.5419
282861,104,0.0650,29851.00,9.9371
282895,112,0.0700,31101.00,10.3489
282928,120,0.0750,32821.00,11.0286
282962,128,0.0800,38631.00,13.0563
282996,136,0.0850,42094.00,13.9516
283029,144,0.0900,44081.00,14.5423
283063,152,0.0950,45768.00,15.1478
283097,160,0.1000,47662.00,15.8379
283131,168,0.1050,49408.00,16.3896
283164,176,0.1100,51091.00,16.9196
283198,184,0.1150,52887.00,17.4752
283232,192,0.1200,54430.00,17.9901
283266,200,0.1250,56196.00,18.5220
283299,208,0.1300,57821.00,19.2001
283333,216,0.1350,59668.00,19.6221
283367,224,0.1400,61364.00,20.2627
283401,232,0.1450,62891.00,20.7169
283434,240,0.1500,64605.00,21.4100
283468,248,0.1550,66469.00,21.9469
283502,256,0.1600,67523.00,22.3600
283536,264,0.1650,69502.00,22.9127
283569,272,0.1700,70527.00,23.3012
283603,280,0.1750,72249.00,23.7938
283637,288,0.1800,73649.00,24.3396
283670,296,0.1850,75252.00,24.8761
283704,304,0.1900,76904.00,25.3221
283738,312,0.1950,78329.00,25.7556
283772,320,0.2000,80094.00,26.3870
283805,328,0.2050,81282.00,26.8130
283839,336,0.2100,82753.00,27.2527
283873,344,0.2150,84130.00,27.7434
283907,352,0.2200,85460.00,28.2022
283940,360,0.2250,86912.00,28.6609
283974,368,0.2300,88368.00,29.1023
284008,376,0.2350,89490.00,29.4899
284041,384,0.2400,90752.00,29.9162
284075,392,0.2450,92013.00,30.1725
284109,400,0.2500,93063.00,30.7468
284143,408,0.2550,94691.00,31.2036
284176,416,0.2600,96055.00,31.6398
284210,424,0.2650,97376.00,32.0368
284244,432,0.2700,98398.00,32.3519
284278,440,0.2750,99734.00,32.7276
284311,448,0.2800,100685.00,33.1021
284345,456,0.2850,101804.00,33.5428
