Millis,Steps,Travel (mm),Scale raw,Scale (grams)
6675,8,0.0050,13216.00,4.4028
6709,16,0.0100,14094.00,4.7040
6743,24,0.0150,15195.00,5.0732
6776,32,0.0200,16594.00,5.5763
6810,40,0.0250,17607.00,5.9366
6844,48,0.0300,19084.00,6.3373
6877,56,0.0350,19350.00,6.5021
6911,64,0.0400,20461.00,6.9523
6945,72,0.0450,22239.00,7.4548
6978,80,0.0500,23012.00,7.6346
7012,88,0.0550,23757.00,7.9533
7046,96,0.0600,24824.00,8.3333
7079,104,0.0650,25698.00,8.5850
7113,112,0.0700,26644.00,8.8951
7147,120,0.0750,27626.00,9.1603
7181,128,0.0800,28987.00,9.6158
7214,136,0.0850,31138.00,10.4556
7248,144,0.0900,33509.00,11.0981
7282,152,0.0950,34929.00,11.5930
7315,160,0.1000,35930.00,11.9159
7349,168,0.1050,37157.00,12.3025
7383,176,0.1100,38544.00,12.7712
7416,184,0.1150,39552.00,13.1335
7450,192,0.1200,40713.00,13.5404
7484,200,0.1250,41881.00,13.8469
7517,208,0.1300,42967.00,14.2519
7551,216,0.1350,44503.00,14.6975
7585,224,0.1400,45461.00,15.1025
7618,232,0.1450,46670.00,15.3558
7652,240,0.1500,47654.00,15.6896
7686,248,0.1550,48834.00,16.0535
7719,256,0.1600,49787.00,16.3781
7753,264,0.1650,50878.00,16.8238
7787,272,0.1700,51909.00,17.1539
7820,280,0.1750,53029.00,17.4824
7854,288,0.1800,54073.00,17.8762
7888,296,0.1850,55010.00,18.1381
7922,304,0.1900,56134.00,18.5178
7955,312,0.1950,57384.00,18.9690
7989,320,0.2000,58538.00,19.2660
8023,328,0.2050,59342.00,19.6142
8056,336,0.2100,60603.00,19.9371
8090,344,0.2150,61100.00,20.1879
8124,352,0.2200,62457.00,20.6171
8157,360,0.2250,63589.00,20.9607
8191,368,0.2300,64549.00,21.2255
8225,376,0.2350,65414.00,21.5524
8258,384,0.2400,66491.00,21.9078
8292,392,0.2450,67537.00,22.2553
8326,400,0.2500,68418.00,22.5198
8360,408,0.2550,69475.00,22.8060
8393,416,0.2600,70057.00,23.1352
8427,424,0.2650,70986.00,23.3603
8461,432,0.2700,72361.00,23.8516
8494,440,0.2750,73087.00,24.0813
8528,448,0.2800,73840.00,24.3008
8562,456,0.2850,74866.00,24.6270
