Millis,Steps,Travel (mm),Scale raw,Scale (grams)
8563,8,0.0050,5901.00,1.9943
8596,16,0.0100,6733.00,2.3569
8630,24,0.0150,7846.00,2.6995
8663,32,0.0200,8712.00,2.9887
8697,40,0.0250,9532.00,3.2381
8730,48,0.0300,10299.00,3.4753
8764,56,0.0350,11184.00,3.7307
8798,64,0.0400,11586.00,3.9286
8831,72,0.0450,12474.00,4.2213
8865,80,0.0500,13878.00,4.6010
8898,88,0.0550,14681.00,4.8898
8932,96,0.0600,15280.00,5.0919
8965,104,0.0650,16084.00,5.3358
8999,112,0.0700,16587.00,5.4595
9032,120,0.0750,16525.00,5.5845
9066,128,0.0800,18568.00,6.1460
9099,136,0.0850,21706.00,7.2844
9133,144,0.0900,22861.00,7.6989
9166,152,0.0950,23604.00,7.8706
9200,160,0.1000,25083.00,8.3484
9234,168,0.1050,26238.00,8.7258
9267,176,0.1100,27380.00,9.0569
9301,184,0.1150,28370.00,9.4087
9334,192,0.1200,29379.00,9.6909
9368,200,0.1250,30179.00,9.9922
9401,208,0.1300,31196.00,10.3010
9435,216,0.1350,32477.00,10.6656
9468,224,0.1400,33077.00,10.9721
9502,232,0.1450,34020.00,11.2563
9535,240,0.1500,35233.00,11.6344
9569,248,0.1550,36079.00,11.8736
9602,256,0.1600,36968.00,12.2300
9636,264,0.1650,37866.00,12.4738
9670,272,0.1700,38795.00,12.7521
9703,280,0.1750,39649.00,13.0009
9737,288,0.1800,40308.00,13.2769
9770,296,0.1850,41585.00,13.6641
9804,304,0.1900,42197.00,13.9184
9837,312,0.1950,43006.00,14.1849
9871,320,0.2000,43831.00,14.4225
9904,328,0.2050,44606.00,14.7671
9938,336,0.2100,45577.00,15.0083
9971,344,0.2150,46572.00,15.3063
10005,352,0.2200,47380.00,15.6256
10038,360,0.2250,48225.00,15.8074
10072,368,0.2300,49006.00,16.1192
10106,376,0.2350,49961.00,16.4775
10139,384,0.2400,50420.00,16.6465
10173,392,0.2450,51329.00,16.9258
10206,400,0.2500,52197.00,17.1966
10240,408,0.2550,52935.00,17.4010
10273,416,0.2600,53667.00,17.6872
10307,424,0.2650,54415.00,17.9041
10340,432,0.2700,55154.00,18.1686
10374,440,0.2750,55810.00,18.3563
10407,448,0.2800,56847.00,18.7606
10441,456,0.2850,57400.00,18.8702
10475,464,0.2900,58206.00,19.1416
10508,472,0.2950,59020.00,19.3907
10542,480,0.3000,59762.00,19.6595
10575,488,0.3050,60169.00,19.8594
10609,496,0.3100,60987.00,20.1265
10642,504,0.3150,61555.00,20.3021
10676,512,0.3200,62316.00,20.4819
10709,520,0.3250,63005.00,20.7372
10743,528,0.3300,63638.00,20.9348
10776,536,0.3350,64358.00,21.1842
10810,544,0.3400,64982.00,21.3240
10843,552,0.3450,65605.00,21.5629
10877,560,0.3500,66240.00,21.8461
10911,568,0.3550,66909.00,22.0748
10944,576,0.3600,67404.00,22.1575
10978,584,0.3650,67951.00,22.3643
11011,592,0.3700,68609.00,22.4811
11045,600,0.3750,69207.00,22.8152
11078,608,0.3800,69536.00,22.9163
11112,616,0.3850,70322.00,23.0594
11145,624,0.3900,70660.00,23.2953
11179,632,0.3950,71342.00,23.4128
11212,640,0.4000,71765.00,23.5624
11246,648,0.4050,72383.00,23.8004
11280,656,0.4100,73029.00,24.0216
11313,664,0.4150,73648.00,24.1505
11347,672,0.4200,74037.00,24.3392
11380,680,0.4250,74576.00,24.5017
11414,688,0.4300,75107.00,24.7239
11447,696,0.4350,75500.00,24.8216
11481,704,0.4400,76121.00,24.9920
11514,712,0.4450,76516.00,25.1472
11548,720,0.4500,76987.00,25.3001
11581,728,0.4550,77714.00,25.5187
