Millis,Steps,Travel (mm),Scale raw,Scale (grams)
8964,8,0.0050,28594.00,9.6630
8997,16,0.0100,34372.00,11.6504
9031,24,0.0150,38567.00,13.2155
9064,32,0.0200,42383.00,14.3982
9098,40,0.0250,46802.00,16.0404
9131,48,0.0300,53759.00,17.9934
9165,56,0.0350,56706.00,18.8647
9198,64,0.0400,58628.00,19.4098
9232,72,0.0450,60913.00,20.2663
9265,80,0.0500,62887.00,20.9630
9299,88,0.0550,65490.00,22.1785
9332,96,0.0600,74777.00,25.5426
9366,104,0.0650,86453.00,29.0584
9400,112,0.0700,91696.00,30.3048
9433,120,0.0750,94966.00,31.4360
9467,128,0.0800,97935.00,32.4464
9500,136,0.0850,100574.00,33.2429
9534,144,0.0900,103332.00,33.9809
9567,152,0.0950,106024.00,34.9983
9601,160,0.1000,108716.00,35.8656
9634,168,0.1050,111057.00,36.6677
9668,176,0.1100,113644.00,37.5357
9701,184,0.1150,115833.00,38.2291
9735,192,0.1200,118294.00,39.0207
9769,200,0.1250,120724.00,39.8588
9802,208,0.1300,123067.00,40.5979
9836,216,0.1350,125296.00,41.2634
9869,224,0.1400,127027.00,41.8279
9903,232,0.1450,129748.00,42.8029
9936,240,0.1500,131824.00,43.3384
9970,248,0.1550,134230.00,44.2390
10003,256,0.1600,136508.00,44.9944
10037,264,0.1650,138289.00,45.5470
10070,272,0.1700,140362.00,46.2201
10104,280,0.1750,142484.00,46.9634
10138,288,0.1800,144356.00,47.6201
10171,296,0.1850,146651.00,48.2945
10205,304,0.1900,148643.00,48.9033
10238,312,0.1950,150505.00,49.5885
10272,320,0.2000,152258.00,50.0985
10305,328,0.2050,154349.00,50.8155
10339,336,0.2100,156081.00,51.4161
10372,344,0.2150,157836.00,51.9815
10406,352,0.2200,159889.00,52.5535
10439,360,0.2250,161715.00,53.2427
10473,368,0.2300,163388.00,53.7320
10506,376,0.2350,165375.00,54.2492
10540,384,0.2400,166995.00,54.9416
10574,392,0.2450,168667.00,55.4185
10607,400,0.2500,170417.00,56.0587
10641,408,0.2550,171963.00,56.5799
10674,416,0.2600,173789.00,57.1007
10708,424,0.2650,175440.00,57.7331
10741,432,0.2700,176895.00,58.1961
10775,440,0.2750,178555.00,58.7002
10808,448,0.2800,180005.00,59.2049
10842,456,0.2850,181487.00,59.5567
10876,464,0.2900,183072.00,60.2446
10909,472,0.2950,184668.00,60.6830
10943,480,0.3000,186371.00,61.3351
10976,488,0.3050,187650.00,61.6748
11010,496,0.3100,189051.00,62.1549
11043,504,0.3150,190405.00,62.6123
11077,512,0.3200,192133.00,63.0813
11110,520,0.3250,193355.00,63.5772
11144,528,0.3300,194574.00,63.9844
11177,536,0.3350,196095.00,64.4957
11211,544,0.3400,197352.00,64.8308
11245,552,0.3450,198589.00,65.2771
11278,560,0.3500,199965.00,65.7280
11312,568,0.3550,201153.00,66.1376
11345,576,0.3600,202515.00,66.5091
11379,584,0.3650,203335.00,66.7791
11412,592,0.3700,204970.00,67.4004
11446,600,0.3750,206130.00,67.6688
11479,608,0.3800,207218.00,67.9806
11513,616,0.3850,208500.00,68.5211
11547,624,0.3900,209753.00,68.8965
11580,632,0.3950,210755.00,69.3277
11614,640,0.4000,211756.00,69.5834
11647,648,0.4050,212896.00,69.9654
11681,656,0.4100,213989.00,70.3611
11714,664,0.4150,215082.00,70.7366
11748,672,0.4200,216375.00,71.0250
11781,680,0.4250,217131.00,71.3624
11815,688,0.4300,218237.00,71.6141
11848,696,0.4350,219338.00,71.9567
11882,704,0.4400,220031.00,72.2472
11916,712,0.4450,221355.00,72.7296
11949,720,0.4500,221901.00,72.8881
11983,728,0.4550,223052.00,73.3262
12016,736,0.4600,223862.00,73.5470
12050,744,0.4650,224735.00,73.8687
12083,752,0.4700,225683.00,74.1322
12117,760,0.4750,226597.00,74.4069
12150,768,0.4800,227171.00,74.6684
12184,776,0.4850,228189.00,74.9516
12218,784,0.4900,229056.00,75.2493
12251,792,0.4950,229610.00,75.4436
12285,800,0.5000,230550.00,75.7074
12318,808,0.5050,231352.00,75.9384
12352,816,0.5100,232066.00,76.2607
12385,824,0.5150,232747.00,76.4218
12419,832,0.5200,233721.00,76.7323
12452,840,0.5250,234251.00,76.8189
12486,848,0.5300,234984.00,77.1930
12519,856,0.5350,235728.00,77.4004
12553,864,0.5400,236150.00,77.6416
12587,872,0.5450,236913.00,77.8714
12620,880,0.5500,237774.00,78.0026
12654,888,0.5550,238198.00,78.2727
12687,896,0.5600,238806.00,78.4476
12721,904,0.5650,239567.00,78.6426
12754,912,0.5700,240381.00,78.8867
12788,920,0.5750,240535.00,78.8487
12821,928,0.5800,241038.00,79.2543
12855,936,0.5850,241921.00,79.4128
12889,944,0.5900,242256.00,79.5920
12922,952,0.5950,242930.00,79.7508
12956,960,0.6000,243395.00,79.9513
12989,968,0.6050,244165.00,80.2441
13023,976,0.6100,244515.00,80.3035
13056,984,0.6150,245093.00,80.4456
13090,992,0.6200,245737.00,80.6093
13123,1000,0.6250,246257.00,80.8873
13157,1008,0.6300,246564.00,80.9076
13190,1016,0.6350,246992.00,81.1449
13224,1024,0.6400,247431.00,81.2233
