Millis,Steps,Travel (mm),Scale raw,Scale (grams)
8121,8,0.0050,8324.00,3.0303
8154,16,0.0100,12374.00,4.1481
8187,24,0.0150,14845.00,5.3663
8221,32,0.0200,16787.00,5.7312
8254,40,0.0250,17135.00,5.8864
8288,48,0.0300,17922.00,6.1129
8321,56,0.0350,18579.00,6.3583
8355,64,0.0400,19190.00,6.5451
8388,72,0.0450,19951.00,6.6458
8422,80,0.0500,20567.00,6.8480
8455,88,0.0550,20843.00,6.9625
8488,96,0.0600,21587.00,7.4646
8522,104,0.0650,28702.00,9.8741
8555,112,0.0700,30578.00,10.3315
8589,120,0.0750,33052.00,11.3784
8622,128,0.0800,38449.00,12.7157
8656,136,0.0850,40198.00,13.4324
8689,144,0.0900,41653.00,13.7478
8723,152,0.0950,42611.00,14.1961
8756,160,0.1000,44205.00,14.6381
8789,168,0.1050,45446.00,15.0162
8823,176,0.1100,46589.00,15.4553
8856,184,0.1150,48037.00,15.9308
8890,192,0.1200,48970.00,16.2163
8923,200,0.1250,49972.00,16.5917
8957,208,0.1300,51497.00,17.0669
8990,216,0.1350,52444.00,17.3685
9023,224,0.1400,53692.00,17.7902
9057,232,0.1450,54896.00,18.1378
9090,240,0.1500,55870.00,18.4987
9124,248,0.1550,57084.00,18.8269
9157,256,0.1600,57851.00,19.1508
9191,264,0.1650,59133.00,19.5617
9224,272,0.1700,59972.00,19.8160
9258,280,0.1750,60999.00,20.1678
9291,288,0.1800,62173.00,20.5137
9324,296,0.1850,63251.00,20.8242
9358,304,0.1900,64055.00,21.1284
9391,312,0.1950,65277.00,21.5248
9425,320,0.2000,66320.00,21.8756
9458,328,0.2050,67022.00,22.1329
9492,336,0.2100,68006.00,22.4460
9525,344,0.2150,68959.00,22.7456
9558,352,0.2200,69865.00,23.0515
9592,360,0.2250,70835.00,23.3964
9625,368,0.2300,71725.00,23.5815
9659,376,0.2350,72463.00,23.9034
9692,384,0.2400,73483.00,24.2907
9726,392,0.2450,74251.00,24.4948
9759,400,0.2500,75070.00,24.7829
9793,408,0.2550,76144.00,25.1492
9826,416,0.2600,76672.00,25.2683
9859,424,0.2650,77649.00,25.6500
9893,432,0.2700,78624.00,25.9276
9926,440,0.2750,79328.00,26.1859
9960,448,0.2800,79964.00,26.4586
9993,456,0.2850,81099.00,26.7073
10027,464,0.2900,82115.00,27.0700
10060,472,0.2950,82595.00,27.1963
10093,480,0.3000,83415.00,27.5566
10127,488,0.3050,84586.00,27.7811
10160,496,0.3100,85222.00,28.0522
10194,504,0.3150,85595.00,28.2661
10227,512,0.3200,86380.00,28.5087
10261,520,0.3250,87260.00,28.8165
10294,528,0.3300,88009.00,28.9940
10328,536,0.3350,88294.00,29.1122
10361,544,0.3400,89403.00,29.4764
10394,552,0.3450,90017.00,29.7062
10428,560,0.3500,90598.00,29.8837
10461,568,0.3550,91554.00,30.1840
10495,576,0.3600,92071.00,30.4252
10528,584,0.3650,92582.00,30.5076
10562,592,0.3700,93159.00,30.7576
10595,600,0.3750,93717.00,30.8554
10628,608,0.3800,94455.00,31.1311
10662,616,0.3850,95312.00,31.3188
10695,624,0.3900,95585.00,31.4238
10729,632,0.3950,96296.00,31.7556
10762,640,0.4000,96992.00,31.9171
10796,648,0.4050,97494.00,32.1635
10829,656,0.4100,98057.00,32.3286
10863,664,0.4150,98520.00,32.4582
10896,672,0.4200,99037.00,32.6505
10929,680,0.4250,99876.00,32.8530
10963,688,0.4300,100206.00,33.0975
10996,696,0.4350,101170.00,33.3233
11030,704,0.4400,101672.00,33.4667
11063,712,0.4450,102088.00,33.6341
11097,720,0.4500,102378.00,33.7529
11130,728,0.4550,102910.00,33.8818
11164,736,0.4600,103537.00,34.0768
11197,744,0.4650,104043.00,34.2323
11230,752,0.4700,104310.00,34.4496
11264,760,0.4750,105117.00,34.6186
11297,768,0.4800,105612.00,34.7354
11331,776,0.4850,106192.00,34.9658
11364,784,0.4900,106760.00,35.2175
11398,792,0.4950,107304.00,35.4147
11431,800,0.5000,107564.00,35.4758
11465,808,0.5050,108216.00,35.6372
11498,816,0.5100,108512.00,35.7449
11531,824,0.5150,109057.00,35.9227
11565,832,0.5200,109502.00,36.0593
11598,840,0.5250,109985.00,36.1623
11632,848,0.5300,110285.00,36.3654
11665,856,0.5350,110924.00,36.5466
11699,864,0.5400,111386.00,36.6949
11732,872,0.5450,111845.00,36.8324
11766,880,0.5500,112374.00,36.9673
11799,888,0.5550,112540.00,36.9762
11832,896,0.5600,113153.00,37.1882
11866,904,0.5650,113348.00,37.3401
11899,912,0.5700,114154.00,37.4996
11933,920,0.5750,114414.00,37.5731
11966,928,0.5800,114614.00,37.7936
12000,936,0.5850,115426.00,37.9147
12033,944,0.5900,115671.00,38.1018
12067,952,0.5950,115989.00,38.1199
12100,960,0.6000,116376.00,38.2774
12133,968,0.6050,116833.00,38.4638
12167,976,0.6100,117310.00,38.5950
12200,984,0.6150,117627.00,38.7552
12234,992,0.6200,118090.00,38.9229
12267,1000,0.6250,118644.00,38.9783
12301,1008,0.6300,118883.00,39.0601
12334,1016,0.6350,119333.00,39.3042
12368,1024,0.6400,119761.00,39.4092
12401,1032,0.6450,120281.00,39.5057
12434,1040,0.6500,120374.00,39.6380
12468,1048,0.6550,120846.00,39.7387
12501,1056,0.6600,121134.00,39.8332
12535,1064,0.6650,121387.00,39.9688
12568,1072,0.6700,121981.00,40.0311
12602,1080,0.6750,122301.00,40.1929
12635,1088,0.6800,122528.00,40.2838
12669,1096,0.6850,122532.00,40.2500
12702,1104,0.6900,123121.00,40.4840
12735,1112,0.6950,123366.00,40.5329
12769,1120,0.7000,123734.00,40.7170
12802,1128,0.7050,124041.00,40.7482
12836,1136,0.7100,124347.00,40.8919
12869,1144,0.7150,124645.00,41.0028
12903,1152,0.7200,124850.00,41.0179
12936,1160,0.7250,125416.00,41.1873
12970,1168,0.7300,125628.00,41.3448
13003,1176,0.7350,125857.00,41.4078
13036,1184,0.7400,126138.00,41.4538
13070,1192,0.7450,126489.00,41.5742
13103,1200,0.7500,126616.00,41.6680
13137,1208,0.7550,126991.00,41.7553
13170,1216,0.7600,127353.00,41.8334
13204,1224,0.7650,127700.00,42.0048
13237,1232,0.7700,128008.00,42.0218
13271,1240,0.7750,128490.00,42.2191
13304,1248,0.7800,128785.00,42.3382
13337,1256,0.7850,129016.00,42.4616
13371,1264,0.7900,129421.00,42.5472
13404,1272,0.7950,129436.00,42.5919
13438,1280,0.8000,129873.00,42.6365
13471,1288,0.8050,130130.00,42.7582
13505,1296,0.8100,130182.00,42.8521
13538,1304,0.8150,130624.00,42.9578
13572,1312,0.8200,130822.00,43.0785
13605,1320,0.8250,131173.00,43.1550
13638,1328,0.8300,131442.00,43.2147
13672,1336,0.8350,131484.00,43.2649
13705,1344,0.8400,131573.00,43.3414
13739,1352,0.8450,131857.00,43.3768
13772,1360,0.8500,132008.00,43.4845
13806,1368,0.8550,132231.00,43.5153
13839,1376,0.8600,132411.00,43.6003
13873,1384,0.8650,132625.00,43.6545
13906,1392,0.8700,132878.00,43.6774
13939,1400,0.8750,133225.00,43.7959
13973,1408,0.8800,133201.00,43.8871
14006,1416,0.8850,133569.00,43.9587
14040,1424,0.8900,133869.00,44.0138
14073,1432,0.8950,133940.00,44.1359
14107,1440,0.9000,133930.00,44.0719
14140,1448,0.9050,134606.00,44.2032
14174,1456,0.9100,134723.00,44.3259
14207,1464,0.9150,134768.00,44.2521
14240,1472,0.9200,135122.00,44.3755
14274,1480,0.9250,135235.00,44.4743
14307,1488,0.9300,135358.00,44.6029
14341,1496,0.9350,135831.00,44.7732
14374,1504,0.9400,136223.00,44.7644
14408,1512,0.9450,136421.00,44.8362
14441,1520,0.9500,136421.00,44.9764
14475,1528,0.9550,136813.00,45.0600
14508,1536,0.9600,137071.00,45.1756
14541,1544,0.9650,137446.00,45.2727
14575,1552,0.9700,137654.00,45.3915
14608,1560,0.9750,137684.00,45.3652
14642,1568,0.9800,137906.00,45.4145
14675,1576,0.9850,138428.00,45.5267
14709,1584,0.9900,138664.00,45.6206
14742,1592,0.9950,138102.00,45.5428
14775,1600,1.0000,138532.00,45.6307
14809,1608,1.0050,138703.00,45.6747
14842,1616,1.0100,138522.00,45.4788
14876,1624,1.0150,139142.00,45.7446
14909,1632,1.0200,138655.00,45.6540
14943,1640,1.0250,138823.00,45.7636
14976,1648,1.0300,138774.00,45.7797
15010,1656,1.0350,139565.00,45.8690
15043,1664,1.0400,139480.00,45.9379
15077,1672,1.0450,139356.00,46.0295
15110,1680,1.0500,140213.00,46.2720
15143,1688,1.0550,140367.00,46.3179
15177,1696,1.0600,140760.00,46.2808
15210,1704,1.0650,141271.00,46.4413
15244,1712,1.0700,140945.00,46.4370
15277,1720,1.0750,140840.00,46.5296
15311,1728,1.0800,141396.00,46.4738
15344,1736,1.0850,141708.00,46.6658
15378,1744,1.0900,141619.00,46.6159
15411,1752,1.0950,141618.00,46.7370
15444,1760,1.1000,141679.00,46.6648
15478,1768,1.1050,141512.00,46.6051
15511,1776,1.1100,141604.00,46.6468
15545,1784,1.1150,141719.00,46.7078
15578,1792,1.1200,141888.00,46.7971
15612,1800,1.1250,142185.00,46.8233
15645,1808,1.1300,142162.00,46.8046
15679,1816,1.1350,142352.00,46.9021
15712,1824,1.1400,142509.00,46.9707
15745,1832,1.1450,142486.00,46.9241
15779,1840,1.1500,142647.00,46.9339
15812,1848,1.1550,142654.00,46.9339
15846,1856,1.1600,142925.00,47.0287
15879,1864,1.1650,142703.00,47.1085
15913,1872,1.1700,143034.00,47.2365
15946,1880,1.1750,142762.00,47.1167
15980,1888,1.1800,143245.00,47.2542
16013,1896,1.1850,143418.00,47.2877
16046,1904,1.1900,143633.00,47.4692
16080,1912,1.1950,143869.00,47.3943
16113,1920,1.2000,143725.00,47.4675
16147,1928,1.2050,143609.00,47.3293
16180,1936,1.2100,144146.00,47.3645
16214,1944,1.2150,143769.00,47.2955
16247,1952,1.2200,143935.00,47.4347
16281,1960,1.2250,143813.00,47.4380
16314,1968,1.2300,143942.00,47.4285
16347,1976,1.2350,144149.00,47.4951
16381,1984,1.2400,144353.00,47.5929
16414,1992,1.2450,144360.00,47.5896
16448,2000,1.2500,144705.00,47.6756
16481,2008,1.2550,144867.00,47.7041
16515,2016,1.2600,144705.00,47.6559
16548,2024,1.2650,144519.00,47.6152
16582,2032,1.2700,144294.00,47.5509
16615,2040,1.2750,144198.00,47.4770
16649,2048,1.2800,144323.00,47.5368
16682,2056,1.2850,144127.00,47.4229
16715,2064,1.2900,144325.00,47.3668
16749,2072,1.2950,144085.00,47.4098
16782,2080,1.3000,144139.00,47.3966
16816,2088,1.3050,144153.00,47.3753
16849,2096,1.3100,144025.00,47.4304
16883,2104,1.3150,144201.00,47.4248
16916,2112,1.3200,144125.00,47.4094
16950,2120,1.3250,144189.00,47.4491
16983,2128,1.3300,144289.00,47.4442
17016,2136,1.3350,144142.00,47.4137
17050,2144,1.3400,144237.00,47.3947
17083,2152,1.3450,144213.00,47.4465
17117,2160,1.3500,144267.00,47.3743
17150,2168,1.3550,144277.00,47.4547
17184,2176,1.3600,144224.00,47.3917
17217,2184,1.3650,144049.00,47.4222
17251,2192,1.3700,144149.00,47.3963
17284,2200,1.3750,144009.00,47.2808
17318,2208,1.3800,144225.00,47.3448
17351,2216,1.3850,144100.00,47.4596
17384,2224,1.3900,144280.00,47.4150
17418,2232,1.3950,144288.00,47.4508
17451,2240,1.4000,144461.00,47.4842
17485,2248,1.4050,144282.00,47.4741
17518,2256,1.4100,144143.00,47.4114
17552,2264,1.4150,143973.00,47.3421
17585,2272,1.4200,143934.00,47.3559
17619,2280,1.4250,143979.00,47.2555
17652,2288,1.4300,143907.00,47.2785
17686,2296,1.4350,143756.00,47.2463
17719,2304,1.4400,143660.00,47.1482
17752,2312,1.4450,143482.00,47.1613
17786,2320,1.4500,143741.00,47.1892
17819,2328,1.4550,143693.00,47.2706
17853,2336,1.4600,143671.00,47.3054
17886,2344,1.4650,143771.00,47.2759
17920,2352,1.4700,143682.00,47.3051
17953,2360,1.4750,143867.00,47.3402
17987,2368,1.4800,143730.00,47.2591
18020,2376,1.4850,143482.00,47.2634
18054,2384,1.4900,143422.00,47.2184
18087,2392,1.4950,143383.00,47.1597
18120,2400,1.5000,143435.00,47.1895
18154,2408,1.5050,143423.00,47.2480
18187,2416,1.5100,143423.00,47.2496
18221,2424,1.5150,143565.00,47.2069
18254,2432,1.5200,143423.00,47.1682
18288,2440,1.5250,143006.00,47.0366
18321,2448,1.5300,143066.00,46.9949
18355,2456,1.5350,143228.00,47.0819
18388,2464,1.5400,142985.00,46.9093
18422,2472,1.5450,143094.00,46.9815
18455,2480,1.5500,142714.00,47.0094
18488,2488,1.5550,142799.00,46.9352
18522,2496,1.5600,142526.00,46.9136
18555,2504,1.5650,142660.00,46.9677
18589,2512,1.5700,142315.00,46.8328
18622,2520,1.5750,142472.00,46.8840
18656,2528,1.5800,142380.00,46.8463
18689,2536,1.5850,142221.00,46.7882
18723,2544,1.5900,142255.00,46.7964
18756,2552,1.5950,142043.00,46.7669
18790,2560,1.6000,142178.00,46.7626
18823,2568,1.6050,142027.00,46.6871
18857,2576,1.6100,141975.00,46.7639
18890,2584,1.6150,141694.00,46.6212
18923,2592,1.6200,141372.00,46.5467
18957,2600,1.6250,141489.00,46.5319
18990,2608,1.6300,141638.00,46.5529
19024,2616,1.6350,141275.00,46.4564
19057,2624,1.6400,141225.00,46.4298
19091,2632,1.6450,141608.00,46.4597
19124,2640,1.6500,141055.00,46.4151
19158,2648,1.6550,140840.00,46.2989
19191,2656,1.6600,140804.00,46.3570
19224,2664,1.6650,140865.00,46.2858
19258,2672,1.6700,140611.00,46.2615
19291,2680,1.6750,140519.00,46.2300
19325,2688,1.6800,140474.00,46.1932
19358,2696,1.6850,140071.00,46.1000
19392,2704,1.6900,140215.00,46.0656
19425,2712,1.6950,140502.00,46.1634
19459,2720,1.7000,140471.00,46.1263
19492,2728,1.7050,140641.00,46.1578
19526,2736,1.7100,140488.00,46.1473
19559,2744,1.7150,139773.00,46.0341
19592,2752,1.7200,139981.00,46.0623
19626,2760,1.7250,139440.00,45.8332
19659,2768,1.7300,139097.00,45.8037
19693,2776,1.7350,139148.00,45.7981
19726,2784,1.7400,139051.00,45.7699
19760,2792,1.7450,139076.00,45.7528
19793,2800,1.7500,138796.00,45.6731
19827,2808,1.7550,138798.00,45.7439
19860,2816,1.7600,138715.00,45.6849
19894,2824,1.7650,138357.00,45.5149
19927,2832,1.7700,138330.00,45.4821
19960,2840,1.7750,138620.00,45.5792
19994,2848,1.7800,138022.00,45.4529
20027,2856,1.7850,137929.00,45.3085
20061,2864,1.7900,137664.00,45.2875
20094,2872,1.7950,137497.00,45.2957
20128,2880,1.8000,137281.00,45.1824
20161,2888,1.8050,137276.00,45.1365
20195,2896,1.8100,136924.00,45.0889
20228,2904,1.8150,136734.00,45.0062
20262,2912,1.8200,136639.00,44.9947
20295,2920,1.8250,136504.00,44.9527
20329,2928,1.8300,136578.00,44.9330
20362,2936,1.8350,136231.00,44.7886
20395,2944,1.8400,136335.00,44.7194
20429,2952,1.8450,135833.00,44.7207
20462,2960,1.8500,135823.00,44.6682
20496,2968,1.8550,135484.00,44.5976
20529,2976,1.8600,135560.00,44.5799
20563,2984,1.8650,135255.00,44.4214
20596,2992,1.8700,135362.00,44.3879
20630,3000,1.8750,135309.00,44.4467
20663,3008,1.8800,135053.00,44.4234
20697,3016,1.8850,135220.00,44.3774
20730,3024,1.8900,135246.00,44.5228
20764,3032,1.8950,135289.00,44.5468
20797,3040,1.9000,135489.00,44.5284
20830,3048,1.9050,135734.00,44.6462
20864,3056,1.9100,135809.00,44.5806
20897,3064,1.9150,135674.00,44.6255
20931,3072,1.9200,135736.00,44.6167
20964,3080,1.9250,135781.00,44.6787
20998,3088,1.9300,135873.00,44.5806
21031,3096,1.9350,136077.00,44.6692
21065,3104,1.9400,136133.00,44.6928
21098,3112,1.9450,136195.00,44.7529
21132,3120,1.9500,136382.00,44.8096
21165,3128,1.9550,136290.00,44.8047
21199,3136,1.9600,136402.00,44.8818
21232,3144,1.9650,136764.00,44.9324
21265,3152,1.9700,136753.00,44.9193
21299,3160,1.9750,136457.00,44.8776
21332,3168,1.9800,136531.00,44.7470
21366,3176,1.9850,136808.00,44.8891
21399,3184,1.9900,136890.00,44.9826
21433,3192,1.9950,136800.00,44.9819
21466,3200,2.0000,136878.00,45.0253
21500,3208,2.0050,136960.00,45.0193
21533,3216,2.0100,137261.00,45.0482
21567,3224,2.0150,136924.00,45.0374
21600,3232,2.0200,137082.00,45.0581
21633,3240,2.0250,137290.00,45.1175
21667,3248,2.0300,137253.00,45.1447
21700,3256,2.0350,137003.00,44.9202
21734,3264,2.0400,137244.00,45.1286
21767,3272,2.0450,137335.00,45.1457
21801,3280,2.0500,137413.00,45.1434
21834,3288,2.0550,137247.00,45.1769
21868,3296,2.0600,137421.00,45.1460
21901,3304,2.0650,137279.00,45.1122
21935,3312,2.0700,137176.00,45.0896
21968,3320,2.0750,137119.00,44.9399
22002,3328,2.0800,137338.00,45.0246
22046,3336,2.0850,136240.00,44.8523
22080,3344,2.0900,136896.00,44.9960
22113,3352,2.0950,136525.00,44.9449
22147,3360,2.1000,136707.00,44.9232
22303,3368,2.1050,134886.00,44.3302
22336,3376,2.1100,135837.00,44.6705
22370,3384,2.1150,135585.00,44.5514
22403,3392,2.1200,135718.00,44.5635
22437,3400,2.1250,135332.00,44.5090
22470,3408,2.1300,135325.00,44.4519
22504,3416,2.1350,135411.00,44.5448
22537,3424,2.1400,134870.00,44.2560
22570,3432,2.1450,134659.00,44.2705
22604,3440,2.1500,134590.00,44.1999
22637,3448,2.1550,134374.00,44.0762
22671,3456,2.1600,134599.00,44.1848
22704,3464,2.1650,134368.00,44.0483
22738,3472,2.1700,134105.00,43.8816
22771,3480,2.1750,133975.00,43.8494
22805,3488,2.1800,133708.00,43.8248
22838,3496,2.1850,133324.00,43.6814
22872,3504,2.1900,133170.00,43.6108
22905,3512,2.1950,133004.00,43.5337
22938,3520,2.2000,132805.00,43.5419
22972,3528,2.2050,132618.00,43.4487
23005,3536,2.2100,132233.00,43.3988
23039,3544,2.2150,132125.00,43.2935
23072,3552,2.2200,131943.00,43.1455
23106,3560,2.2250,131475.00,43.1452
23139,3568,2.2300,131243.00,43.1189
23173,3576,2.2350,130958.00,42.9502
23206,3584,2.2400,130801.00,42.8738
23240,3592,2.2450,130615.00,42.8147
23295,3600,2.2500,129393.00,42.4596
23340,3608,2.2550,129827.00,42.6056
23374,3616,2.2600,129389.00,42.4885
23407,3624,2.2650,129427.00,42.4153
23440,3632,2.2700,129300.00,42.4061
23474,3640,2.2750,129037.00,42.2906
23507,3648,2.2800,128911.00,42.2440
23541,3656,2.2850,128820.00,42.1636
23574,3664,2.2900,128503.00,42.1094
23608,3672,2.2950,128327.00,42.0415
23641,3680,2.3000,128051.00,41.9194
23675,3688,2.3050,128075.00,41.9683
23708,3696,2.3100,127677.00,41.7996
23742,3704,2.3150,127512.00,41.7583
23775,3712,2.3200,127300.00,41.7058
23809,3720,2.3250,127165.00,41.6146
23842,3728,2.3300,126807.00,41.5850
23875,3736,2.3350,126476.00,41.4885
23909,3744,2.3400,126554.00,41.4777
23942,3752,2.3450,126227.00,41.4012
23976,3760,2.3500,126111.00,41.2546
24009,3768,2.3550,125879.00,41.2893
24043,3776,2.3600,125879.00,41.1692
24076,3784,2.3650,125348.00,41.1213
24110,3792,2.3700,125524.00,41.1417
24143,3800,2.3750,125107.00,41.0478
24177,3808,2.3800,124922.00,40.9805
24210,3816,2.3850,124993.00,40.9080
24244,3824,2.3900,124502.00,40.8407
24277,3832,2.3950,124711.00,40.8959
24310,3840,2.4000,124059.00,40.7062
24344,3848,2.4050,124020.00,40.6911
24377,3856,2.4100,123930.00,40.6553
24411,3864,2.4150,123984.00,40.6983
24444,3872,2.4200,124125.00,40.6586
24478,3880,2.4250,123750.00,40.6041
24511,3888,2.4300,123668.00,40.5103
24545,3896,2.4350,123482.00,40.3754
24578,3904,2.4400,123341.00,40.4177
24612,3912,2.4450,123304.00,40.4213
24645,3920,2.4500,122872.00,40.3508
24679,3928,2.4550,123001.00,40.3495
24712,3936,2.4600,122819.00,40.2608
24746,3944,2.4650,122829.00,40.2851
24779,3952,2.4700,122706.00,40.1998
24812,3960,2.4750,122418.00,40.1870
24846,3968,2.4800,122631.00,40.2005
24879,3976,2.4850,122234.00,40.0794
24913,3984,2.4900,122294.00,40.0767
24946,3992,2.4950,121975.00,39.9714
24980,4000,2.5000,121996.00,40.0370
25013,4008,2.5050,121694.00,39.8762
25047,4016,2.5100,121803.00,39.9819
25080,4024,2.5150,121561.00,39.8257
25114,4032,2.5200,121581.00,39.8099
25147,4040,2.5250,121577.00,39.7886
25181,4048,2.5300,121078.00,39.6934
25214,4056,2.5350,121256.00,39.6813
25248,4064,2.5400,121253.00,39.7325
25281,4072,2.5450,120911.00,39.6331
25314,4080,2.5500,120838.00,39.5999
25348,4088,2.5550,120792.00,39.5487
25381,4096,2.5600,120696.00,39.5668
25415,4104,2.5650,120600.00,39.5234
25448,4112,2.5700,120661.00,39.5471
25482,4120,2.5750,120511.00,39.4624
25515,4128,2.5800,120398.00,39.4509
25549,4136,2.5850,120223.00,39.3859
25582,4144,2.5900,120296.00,39.3922
25616,4152,2.5950,119881.00,39.3872
25649,4160,2.6000,119889.00,39.3013
25683,4168,2.6050,119690.00,39.2990
25716,4176,2.6100,119652.00,39.2274
25750,4184,2.6150,119525.00,39.1943
25783,4192,2.6200,119434.00,39.1976
25817,4200,2.6250,119309.00,39.0988
25850,4208,2.6300,119296.00,39.1306
25884,4216,2.6350,118997.00,39.0535
25917,4224,2.6400,119024.00,39.0069
25950,4232,2.6450,118876.00,38.9888
25984,4240,2.6500,118899.00,38.9941
26017,4248,2.6550,118782.00,38.9029
26051,4256,2.6600,118538.00,38.8513
26084,4264,2.6650,118665.00,38.8441
26118,4272,2.6700,118098.00,38.7050
26151,4280,2.6750,117850.00,38.6344
26185,4288,2.6800,117768.00,38.6108
26218,4296,2.6850,117696.00,38.5642
26252,4304,2.6900,117466.00,38.5517
26285,4312,2.6950,117464.00,38.4618
26319,4320,2.7000,117367.00,38.4283
26352,4328,2.7050,117062.00,38.3190
26386,4336,2.7100,117203.00,38.3745
26419,4344,2.7150,117183.00,38.3978
26453,4352,2.7200,116719.00,38.2278
26486,4360,2.7250,116601.00,38.2475
26519,4368,2.7300,116479.00,38.2091
26553,4376,2.7350,116562.00,38.1796
26586,4384,2.7400,116547.00,38.0975
26620,4392,2.7450,116494.00,38.1858
26653,4400,2.7500,116297.00,38.1514
26687,4408,2.7550,116132.00,38.1008
26720,4416,2.7600,116156.00,38.0437
26754,4424,2.7650,115998.00,37.9974
26787,4432,2.7700,116088.00,38.0604
26821,4440,2.7750,115965.00,38.0145
26854,4448,2.7800,115797.00,37.9613
26888,4456,2.7850,115882.00,37.9485
26921,4464,2.7900,115764.00,37.9292
26955,4472,2.7950,115491.00,37.8612
26988,4480,2.8000,115327.00,37.8183
27022,4488,2.8050,115469.00,37.8639
27055,4496,2.8100,115456.00,37.7897
27089,4504,2.8150,115407.00,37.8744
27122,4512,2.8200,115251.00,37.7382
27155,4520,2.8250,114946.00,37.6913
27189,4528,2.8300,115085.00,37.7333
27222,4536,2.8350,115193.00,37.7933
27256,4544,2.8400,114893.00,37.6046
27289,4552,2.8450,115103.00,37.6942
27323,4560,2.8500,114917.00,37.6397
27356,4568,2.8550,114576.00,37.5859
27390,4576,2.8600,114436.00,37.6217
27423,4584,2.8650,114507.00,37.5636
27457,4592,2.8700,114527.00,37.5370
27490,4600,2.8750,114466.00,37.5150
27524,4608,2.8800,114561.00,37.4658
27557,4616,2.8850,114628.00,37.6309
27591,4624,2.8900,114488.00,37.5544
27624,4632,2.8950,114352.00,37.4176
27658,4640,2.9000,114274.00,37.4501
27691,4648,2.9050,114271.00,37.4724
27725,4656,2.9100,114117.00,37.4228
27758,4664,2.9150,114156.00,37.4530
27791,4672,2.9200,114004.00,37.3910
27825,4680,2.9250,113984.00,37.3372
27858,4688,2.9300,113994.00,37.3562
27892,4696,2.9350,114268.00,37.4596
27925,4704,2.9400,113936.00,37.3299
27959,4712,2.9450,113903.00,37.3250
27992,4720,2.9500,114022.00,37.3746
28026,4728,2.9550,113958.00,37.3125
28059,4736,2.9600,113909.00,37.2853
28093,4744,2.9650,113779.00,37.3125
