Millis,Steps,Travel (mm),Scale raw,Scale (grams)
616079,8,0.0050,26186.00,8.8354
616112,16,0.0100,27990.00,9.1980
616146,24,0.0150,27225.00,9.2627
616180,32,0.0200,27320.00,9.2354
616213,40,0.0250,28734.00,9.6079
616247,48,0.0300,28534.00,9.6250
616281,56,0.0350,28883.00,9.8573
616315,64,0.0400,29128.00,9.7575
616348,72,0.0450,29944.00,10.0650
616382,80,0.0500,29946.00,10.2534
616416,88,0.0550,30458.00,10.2708
616450,96,0.0600,31256.00,10.6246
616483,104,0.0650,31487.00,10.6712
616517,112,0.0700,32552.00,10.9173
616551,120,0.0750,33447.00,11.1795
616585,128,0.0800,34140.00,11.4526
616618,136,0.0850,34652.00,11.7066
616652,144,0.0900,35406.00,11.9589
616686,152,0.0950,36164.00,12.1512
616720,160,0.1000,36967.00,12.3777
616753,168,0.1050,37570.00,12.7636
616787,176,0.1100,41471.00,14.1971
616821,184,0.1150,48025.00,16.0880
616854,192,0.1200,49344.00,16.4569
616888,200,0.1250,49905.00,16.6203
616922,208,0.1300,50781.00,16.9038
616956,216,0.1350,51598.00,17.0742
616989,224,0.1400,51880.00,17.2376
617023,232,0.1450,52572.00,17.4243
617057,240,0.1500,53270.00,17.6452
617091,248,0.1550,53650.00,17.8883
617124,256,0.1600,54496.00,18.0226
617158,264,0.1650,55423.00,18.2697
617192,272,0.1700,55757.00,18.4065
617225,280,0.1750,56392.00,18.7180
617259,288,0.1800,57060.00,18.9224
617293,296,0.1850,57634.00,19.0954
617327,304,0.1900,58140.00,19.2207
617361,312,0.1950,58775.00,19.5125
617394,320,0.2000,59260.00,19.5880
617428,328,0.2050,60031.00,19.8603
617462,336,0.2100,60691.00,20.0956
617495,344,0.2150,60898.00,20.1498
617529,352,0.2200,62243.00,20.5597
617563,360,0.2250,62097.00,20.7110
617597,368,0.2300,63182.00,20.7884
617630,376,0.2350,63628.00,21.1192
617664,384,0.2400,63931.00,21.2072
617698,392,0.2450,64814.00,21.4546
617731,400,0.2500,65221.00,21.5757
617765,408,0.2550,65424.00,21.7378
617799,416,0.2600,66362.00,22.0095
617833,424,0.2650,66699.00,22.1234
617866,432,0.2700,67395.00,22.3420
617900,440,0.2750,67764.00,22.3935
617934,448,0.2800,68154.00,22.5589
617968,456,0.2850,68546.00,22.6980
618001,464,0.2900,68962.00,22.8191
618035,472,0.2950,69497.00,22.9947
618069,480,0.3000,69931.00,23.0676
618103,488,0.3050,70669.00,23.2103
618136,496,0.3100,70876.00,23.4171
618170,504,0.3150,71556.00,23.6261
618204,512,0.3200,71810.00,23.8384
618237,520,0.3250,72585.00,24.0137
618271,528,0.3300,72760.00,24.1354
618305,536,0.3350,73517.00,24.2204
618339,544,0.3400,73676.00,24.3888
618372,552,0.3450,74205.00,24.5598
618406,560,0.3500,74686.00,24.7196
618440,568,0.3550,75140.00,24.8459
618474,576,0.3600,75539.00,24.8689
618507,584,0.3650,76373.00,25.2178
618541,592,0.3700,76626.00,25.3067
618575,600,0.3750,76974.00,25.4606
618608,608,0.3800,77425.00,25.5357
618642,616,0.3850,77552.00,25.6299
618676,624,0.3900,78333.00,25.8600
618710,632,0.3950,78367.00,25.9040
618743,640,0.4000,78920.00,26.0520
618777,648,0.4050,79283.00,26.2016
618811,656,0.4100,79737.00,26.3604
618845,664,0.4150,79879.00,26.4002
618878,672,0.4200,80402.00,26.5784
618912,680,0.4250,80641.00,26.6295
618946,688,0.4300,81180.00,26.7641
618980,696,0.4350,81434.00,26.7936
619013,704,0.4400,81706.00,27.0542
619047,712,0.4450,82153.00,27.2058
619081,720,0.4500,82481.00,27.2692
619114,728,0.4550,83021.00,27.3046
619148,736,0.4600,83335.00,27.4447
619182,744,0.4650,83720.00,27.6397
619216,752,0.4700,83918.00,27.6948
