Millis,Steps,Travel (mm),Scale raw,Scale (grams)
1071426,8,0.0050,23611.00,8.1498
1071460,16,0.0100,33306.00,11.4709
1071493,24,0.0150,37911.00,12.6698
1071527,32,0.0200,39520.00,13.1715
1071561,40,0.0250,41023.00,13.6940
1071595,48,0.0300,42706.00,14.2394
1071628,56,0.0350,44024.00,14.6696
1071662,64,0.0400,44975.00,14.8938
1071696,72,0.0450,45400.00,15.0510
1071729,80,0.0500,46451.00,15.3742
1071763,88,0.0550,47287.00,15.6975
1071797,96,0.0600,48492.00,16.1087
1071831,104,0.0650,49401.00,16.4162
1071864,112,0.0700,50450.00,16.6961
1071898,120,0.0750,51489.00,17.2898
1071932,128,0.0800,57951.00,19.6185
1071966,136,0.0850,64040.00,21.2931
1071999,144,0.0900,66855.00,22.1769
1072033,152,0.0950,69004.00,22.7712
1072067,160,0.1000,69968.00,23.0889
1072101,168,0.1050,70800.00,23.3272
1072134,176,0.1100,71903.00,23.6333
1072168,184,0.1150,72177.00,23.7820
1072202,192,0.1200,73436.00,24.1623
1072236,200,0.1250,73982.00,24.3107
1072269,208,0.1300,74817.00,24.6858
1072303,216,0.1350,75720.00,24.9897
1072337,224,0.1400,76630.00,25.1928
1072370,232,0.1450,77305.00,25.3654
1072404,240,0.1500,78017.00,25.6657
1072438,248,0.1550,78699.00,25.9049
1072472,256,0.1600,79462.00,26.2311
1072505,264,0.1650,80256.00,26.4628
1072539,272,0.1700,80891.00,26.6473
1072573,280,0.1750,81739.00,26.9111
1072606,288,0.1800,82730.00,27.2278
1072640,296,0.1850,83324.00,27.4168
1072674,304,0.1900,83817.00,27.6305
1072708,312,0.1950,84787.00,27.9501
1072741,320,0.2000,85455.00,28.1181
1072775,328,0.2050,86153.00,28.3242
1072809,336,0.2100,87091.00,28.5858
1072843,344,0.2150,87317.00,28.7663
1072876,352,0.2200,87895.00,28.9517
1072910,360,0.2250,88709.00,29.1890
1072944,368,0.2300,89579.00,29.4571
1072978,376,0.2350,90253.00,29.6648
1073011,384,0.2400,90533.00,29.8109
1073045,392,0.2450,91369.00,30.0872
1073079,400,0.2500,92450.00,30.3471
1073112,408,0.2550,92588.00,30.4954
1073146,416,0.2600,93174.00,30.6812
