Millis,Steps,Travel (mm),Scale raw,Scale (grams)
1261841,8,0.0050,17806.00,6.1966
1261875,16,0.0100,35245.00,14.0002
1261908,24,0.0150,56288.00,19.9161
1261942,32,0.0200,67637.00,23.1427
1261976,40,0.0250,74277.00,25.2476
1262010,48,0.0300,80964.00,27.3548
1262043,56,0.0350,85156.00,28.6993
1262077,64,0.0400,88843.00,29.8010
1262111,72,0.0450,93153.00,31.3451
1262145,80,0.0500,97521.00,32.7037
1262178,88,0.0550,101912.00,34.2359
1262212,96,0.0600,106483.00,35.5552
1262246,104,0.0650,111103.00,37.2075
1262280,112,0.0700,115662.00,38.2925
1262313,120,0.0750,118239.00,39.2980
1262347,128,0.0800,121321.00,40.4098
1262381,136,0.0850,124048.00,41.1702
1262415,144,0.0900,125261.00,41.4370
1262448,152,0.0950,126551.00,41.9473
1262482,160,0.1000,128307.00,42.4954
1262516,168,0.1050,129964.00,42.9272
1262550,176,0.1100,131033.00,43.2643
1262583,184,0.1150,131748.00,43.5836
1262617,192,0.1200,132351.00,43.8553
1262651,200,0.1250,133367.00,44.0210
1262685,208,0.1300,134659.00,44.4313
1262718,216,0.1350,134214.00,44.2462
1262752,224,0.1400,134133.00,44.2544
1262786,232,0.1450,135103.00,44.6160
1262820,240,0.1500,135397.00,44.6206
1262853,248,0.1550,135629.00,44.7414
1262887,256,0.1600,136004.00,44.9104
1262921,264,0.1650,136439.00,45.0948
1262955,272,0.1700,136960.00,45.2812
1262988,280,0.1750,137642.00,45.4361
1263022,288,0.1800,138404.00,45.6931
1263056,296,0.1850,138927.00,45.8631
1263090,304,0.1900,139181.00,45.9651
1263123,312,0.1950,139812.00,46.2336
1263157,320,0.2000,140809.00,46.4800
1263191,328,0.2050,141326.00,46.7485
1263225,336,0.2100,142237.00,46.9844
1263258,344,0.2150,142966.00,47.2939
1263292,352,0.2200,143222.00,47.3067
1263326,360,0.2250,143630.00,47.4281
1263360,368,0.2300,143978.00,47.5624
1263393,376,0.2350,144644.00,47.7248
1263427,384,0.2400,144935.00,47.8843
1263461,392,0.2450,145370.00,48.1055
1263495,400,0.2500,145745.00,48.2016
1263528,408,0.2550,146249.00,48.3217
1263562,416,0.2600,147255.00,48.7480
1263596,424,0.2650,148047.00,48.8967
1263630,432,0.2700,148747.00,49.1202
1263663,440,0.2750,149263.00,49.2823
1263697,448,0.2800,149857.00,49.4152
1263731,456,0.2850,150182.00,49.6965
1263765,464,0.2900,150805.00,49.7729
1263798,472,0.2950,151248.00,50.0118
1263832,480,0.3000,151542.00,50.0443
1263866,488,0.3050,151816.00,50.1589
1263900,496,0.3100,152514.00,50.3216
1263933,504,0.3150,152757.00,50.4532
1263967,512,0.3200,153308.00,50.6150
1264001,520,0.3250,153339.00,50.6803
1264035,528,0.3300,153890.00,50.7355
1264068,536,0.3350,154448.00,50.9790
1264102,544,0.3400,154797.00,51.0347
1264136,552,0.3450,155441.00,51.2769
1264170,560,0.3500,155841.00,51.5336
1264204,568,0.3550,156896.00,51.7538
1264237,576,0.3600,156995.00,51.8365
1264271,584,0.3650,156944.00,51.7715
1264305,592,0.3700,156758.00,51.7597
1264338,600,0.3750,156939.00,51.6950
1264372,608,0.3800,157985.00,52.2276
1264406,616,0.3850,159431.00,52.6448
1264440,624,0.3900,160136.00,52.8505
1264474,632,0.3950,159936.00,52.7524
1264507,640,0.4000,159978.00,52.8223
1264541,648,0.4050,159804.00,52.7878
1264575,656,0.4100,160227.00,52.8262
1264608,664,0.4150,161044.00,53.0678
1264642,672,0.4200,160738.00,53.1019
1264676,680,0.4250,161318.00,53.2611
