Millis,Steps,Travel (mm),Scale raw,Scale (grams)
1243702,8,0.0050,18374.00,6.3475
1243736,16,0.0100,39992.00,16.1914
1243769,24,0.0150,61662.00,20.4044
1243803,32,0.0200,62422.00,20.6296
1243837,40,0.0250,63343.00,20.9627
1243871,48,0.0300,64739.00,21.4408
1243904,56,0.0350,65715.00,21.8543
1243938,64,0.0400,67096.00,22.2442
1243972,72,0.0450,68038.00,22.5619
1244006,80,0.0500,69415.00,23.0036
1244039,88,0.0550,70529.00,23.2553
1244073,96,0.0600,71413.00,23.6839
1244107,104,0.0650,72660.00,24.1082
1244141,112,0.0700,73833.00,24.4465
1244174,120,0.0750,74998.00,24.8148
1244208,128,0.0800,76126.00,25.1600
1244242,136,0.0850,77106.00,25.5387
1244276,144,0.0900,78106.00,25.8935
1244309,152,0.0950,79093.00,26.1274
1244343,160,0.1000,80025.00,26.4927
1244377,168,0.1050,81385.00,26.8189
1244411,176,0.1100,82217.00,27.1467
1244444,184,0.1150,83412.00,27.5028
1244478,192,0.1200,84010.00,27.7325
1244512,200,0.1250,85226.00,28.0876
1244546,208,0.1300,86247.00,28.4650
1244579,216,0.1350,87376.00,28.7617
1244613,224,0.1400,88313.00,29.0958
1244647,232,0.1450,88956.00,29.3905
1244681,240,0.1500,90228.00,29.7278
1244714,248,0.1550,91143.00,29.9927
1244748,256,0.1600,91971.00,30.3274
1244782,264,0.1650,92855.00,30.5775
1244816,272,0.1700,93811.00,30.9158
1244849,280,0.1750,94521.00,31.2174
1244883,288,0.1800,95718.00,31.5318
1244917,296,0.1850,96363.00,31.7956
1244951,304,0.1900,97460.00,32.0286
1244984,312,0.1950,98196.00,32.3860
1245018,320,0.2000,98863.00,32.5898
1245052,328,0.2050,99788.00,32.8865
1245086,336,0.2100,100639.00,33.0817
1245119,344,0.2150,101398.00,33.3745
1245153,352,0.2200,102331.00,33.6560
1245187,360,0.2250,103101.00,33.9166
1245221,368,0.2300,104044.00,34.2162
1245254,376,0.2350,104495.00,34.3738
1245288,384,0.2400,105445.00,34.6543
1245322,392,0.2450,106178.00,34.9405
1245356,400,0.2500,107161.00,35.2733
1245389,408,0.2550,107555.00,35.4397
1245423,416,0.2600,108302.00,35.6651
1245457,424,0.2650,108982.00,35.8518
1245491,432,0.2700,109680.00,36.1055
1245524,440,0.2750,110444.00,36.3428
1245558,448,0.2800,111115.00,36.5712
1245592,456,0.2850,111906.00,36.7533
1245626,464,0.2900,112635.00,37.0385
1245659,472,0.2950,112967.00,37.2568
1245693,480,0.3000,114014.00,37.4497
1245727,488,0.3050,114221.00,37.6365
1245761,496,0.3100,115124.00,37.8773
1245794,504,0.3150,115924.00,38.1241
1245828,512,0.3200,116244.00,38.2327
1245862,520,0.3250,116784.00,38.5038
1245896,528,0.3300,117490.00,38.6180
1245929,536,0.3350,118109.00,38.8369
1245963,544,0.3400,118483.00,39.0259
1245997,552,0.3450,119081.00,39.0955
1246031,560,0.3500,119822.00,39.4411
1246064,568,0.3550,120530.00,39.6298
1246098,576,0.3600,121019.00,39.8024
1246132,584,0.3650,121552.00,40.0085
1246166,592,0.3700,121923.00,40.1864
1246199,600,0.3750,122667.00,40.3580
1246233,608,0.3800,123443.00,40.5697
1246267,616,0.3850,124120.00,40.7879
1246301,624,0.3900,124602.00,40.9815
1246334,632,0.3950,124885.00,41.1085
1246368,640,0.4000,125602.00,41.2926
1246402,648,0.4050,126158.00,41.4859
1246436,656,0.4100,126669.00,41.6749
1246469,664,0.4150,127109.00,41.8456
1246503,672,0.4200,127695.00,42.0477
1246537,680,0.4250,128387.00,42.2558
1246571,688,0.4300,128822.00,42.3454
1246604,696,0.4350,129567.00,42.5794
1246638,704,0.4400,129972.00,42.7202
1246672,712,0.4450,130327.00,42.8472
1246706,720,0.4500,130715.00,42.9620
1246739,728,0.4550,131448.00,43.1996
1246773,736,0.4600,131630.00,43.2948
1246807,744,0.4650,132512.00,43.5271
1246841,752,0.4700,132914.00,43.6958
1246874,760,0.4750,133077.00,43.7391
1246908,768,0.4800,133506.00,43.8747
1246942,776,0.4850,134208.00,44.1100
1246976,784,0.4900,134397.00,44.1556
1247009,792,0.4950,135195.00,44.4053
1247043,800,0.5000,135604.00,44.5245
1247077,808,0.5050,135797.00,44.6767
1247111,816,0.5100,136291.00,44.8031
1247145,824,0.5150,136966.00,44.9803
1247178,832,0.5200,137093.00,45.0518
1247212,840,0.5250,137593.00,45.1956
1247246,848,0.5300,138024.00,45.4033
1247280,856,0.5350,138494.00,45.5382
1247313,864,0.5400,139036.00,45.6580
1247347,872,0.5450,139197.00,45.7525
1247381,880,0.5500,139579.00,45.9294
1247415,888,0.5550,140350.00,46.0925
1247448,896,0.5600,140460.00,46.1824
1247482,904,0.5650,140836.00,46.2828
1247516,912,0.5700,141225.00,46.4249
1247550,920,0.5750,141771.00,46.5257
1247583,928,0.5800,141881.00,46.6024
1247617,936,0.5850,142164.00,46.7587
1247651,944,0.5900,142870.00,46.9536
1247685,952,0.5950,143215.00,46.9841
1247718,960,0.6000,143545.00,47.1469
1247752,968,0.6050,144114.00,47.3024
1247786,976,0.6100,144066.00,47.4006
1247820,984,0.6150,144324.00,47.4629
1247853,992,0.6200,144787.00,47.5587
1247887,1000,0.6250,145179.00,47.6936
1247921,1008,0.6300,145514.00,47.7858
1247955,1016,0.6350,145729.00,47.8787
1247988,1024,0.6400,146139.00,48.0431
1248022,1032,0.6450,146472.00,48.0668
1248056,1040,0.6500,146790.00,48.2571
1248090,1048,0.6550,147342.00,48.3956
1248123,1056,0.6600,147483.00,48.4271
1248157,1064,0.6650,147922.00,48.5757
1248191,1072,0.6700,147897.00,48.6378
1248225,1080,0.6750,148535.00,48.7448
1248258,1088,0.6800,148487.00,48.8130
1248292,1096,0.6850,148917.00,48.9515
1248326,1104,0.6900,149310.00,49.0834
1248360,1112,0.6950,149602.00,49.1057
