Millis,Steps,Travel (mm),Scale raw,Scale (grams)
2984337,8,0.0050,20104.00,6.8680
2984371,16,0.0100,31551.00,11.5300
2984404,24,0.0150,40731.00,14.1511
2984438,32,0.0200,47013.00,15.9479
2984472,40,0.0250,50384.00,16.7381
2984505,48,0.0300,52518.00,17.6944
2984539,56,0.0350,55669.00,18.7872
2984573,64,0.0400,59455.00,19.9033
2984607,72,0.0450,62730.00,20.9108
2984640,80,0.0500,65150.00,21.7312
2984674,88,0.0550,67616.00,22.5415
2984708,96,0.0600,69708.00,23.1982
2984741,104,0.0650,71851.00,23.8831
2984775,112,0.0700,73450.00,24.2916
2984809,120,0.0750,74968.00,24.8702
2984843,128,0.0800,76677.00,25.3930
2984876,136,0.0850,78308.00,25.8751
2984910,144,0.0900,79519.00,26.3775
2984944,152,0.0950,80842.00,26.7592
2984977,160,0.1000,82178.00,27.2104
2985011,168,0.1050,83548.00,27.6695
2985045,176,0.1100,84646.00,28.0551
2985078,184,0.1150,85960.00,28.4955
2985112,192,0.1200,87649.00,29.0003
2985146,200,0.1250,88650.00,29.3245
2985180,208,0.1300,89683.00,29.8082
2985213,216,0.1350,91405.00,30.3326
2985247,224,0.1400,92932.00,30.7291
2985281,232,0.1450,94300.00,31.2899
2985314,240,0.1500,95610.00,31.6480
2985348,248,0.1550,96683.00,32.0060
2985382,256,0.1600,97651.00,32.3191
2985415,264,0.1650,98735.00,32.6817
2985449,272,0.1700,99982.00,33.1087
2985483,280,0.1750,101246.00,33.5100
2985517,288,0.1800,102537.00,33.8887
2985550,296,0.1850,103291.00,34.1923
2985584,304,0.1900,104320.00,34.5001
2985618,312,0.1950,105451.00,34.8526
2985651,320,0.2000,106598.00,35.1975
2985685,328,0.2050,107684.00,35.6113
2985719,336,0.2100,108841.00,35.9129
2985752,344,0.2150,110091.00,36.3802
2985786,352,0.2200,110723.00,36.6329
2985820,360,0.2250,111627.00,36.9246
2985854,368,0.2300,112780.00,37.2298
2985887,376,0.2350,113926.00,37.6739
2985921,384,0.2400,115416.00,38.0624
2985955,392,0.2450,115859.00,38.2928
2985988,400,0.2500,116841.00,38.6026
2986022,408,0.2550,117874.00,38.9613
2986056,416,0.2600,119009.00,39.2757
2986090,424,0.2650,119506.00,39.5579
2986123,432,0.2700,120662.00,39.9074
2986157,440,0.2750,121494.00,40.0787
2986191,448,0.2800,122489.00,40.4518
2986224,456,0.2850,123381.00,40.7836
2986258,464,0.2900,124379.00,41.0511
2986292,472,0.2950,125380.00,41.3500
2986325,480,0.3000,126098.00,41.6808
2986359,488,0.3050,127196.00,41.9217
2986393,496,0.3100,127956.00,42.2030
2986426,504,0.3150,128509.00,42.4281
2986460,512,0.3200,129706.00,42.6785
2986494,520,0.3250,130570.00,43.0821
2986528,528,0.3300,131451.00,43.3411
2986561,536,0.3350,132269.00,43.5757
2986595,544,0.3400,133025.00,43.8448
2986629,552,0.3450,133853.00,44.0827
2986662,560,0.3500,134587.00,44.4257
2986696,568,0.3550,135527.00,44.6456
2986730,576,0.3600,136285.00,44.9071
2986764,584,0.3650,136992.00,45.1463
2986797,592,0.3700,137910.00,45.4243
2986831,600,0.3750,138725.00,45.6770
2986865,608,0.3800,139221.00,45.8532
2986898,616,0.3850,139883.00,46.1302
2986932,624,0.3900,140720.00,46.2864
2986966,632,0.3950,141258.00,46.5516
2986999,640,0.4000,141953.00,46.7390
2987033,648,0.4050,142621.00,46.9346
2987067,656,0.4100,143658.00,47.2132
2987100,664,0.4150,144169.00,47.3697
2987134,672,0.4200,144849.00,47.7097
2987168,680,0.4250,145710.00,47.9161
2987202,688,0.4300,146536.00,48.2305
2987235,696,0.4350,146753.00,48.2545
2987269,704,0.4400,147597.00,48.5475
2987303,712,0.4450,148221.00,48.7388
2987336,720,0.4500,148758.00,48.9384
2987370,728,0.4550,149461.00,49.1199
2987404,736,0.4600,149966.00,49.3368
2987438,744,0.4650,150401.00,49.4635
2987471,752,0.4700,151158.00,49.5974
2987505,760,0.4750,151654.00,49.8034
2987539,768,0.4800,152285.00,50.0561
2987572,776,0.4850,152753.00,50.2061
2987606,784,0.4900,153205.00,50.4007
2987640,792,0.4950,153893.00,50.6406
2987673,800,0.5000,154482.00,50.7709
2987707,808,0.5050,154967.00,50.9675
2987741,816,0.5100,155576.00,51.1178
2987775,824,0.5150,155906.00,51.2697
2987808,832,0.5200,156442.00,51.3573
2987842,840,0.5250,156824.00,51.5378
2987876,848,0.5300,157568.00,51.7088
2987909,856,0.5350,158052.00,51.8939
2987943,864,0.5400,158408.00,52.0193
2987977,872,0.5450,158796.00,52.1643
2988010,880,0.5500,159474.00,52.3487
2988044,888,0.5550,159812.00,52.5690
2988078,896,0.5600,160214.00,52.6454
2988112,904,0.5650,160685.00,52.8131
2988145,912,0.5700,161220.00,52.9674
2988179,920,0.5750,161493.00,53.0750
2988213,928,0.5800,162051.00,53.3119
2988246,936,0.5850,162354.00,53.3572
2988280,944,0.5900,162895.00,53.4760
2988314,952,0.5950,163238.00,53.6677
2988348,960,0.6000,163637.00,53.7025
2988381,968,0.6050,163770.00,53.8291
2988415,976,0.6100,164387.00,54.0191
2988449,984,0.6150,164504.00,54.0388
2988482,992,0.6200,164898.00,54.1767
2988516,1000,0.6250,165581.00,54.3664
2988550,1008,0.6300,165891.00,54.5206
2988583,1016,0.6350,165976.00,54.5478
2988617,1024,0.6400,166650.00,54.7421
2988651,1032,0.6450,166930.00,54.8366
2988685,1040,0.6500,167066.00,54.8557
2988718,1048,0.6550,167443.00,55.0092
2988752,1056,0.6600,168005.00,55.1221
2988786,1064,0.6650,168397.00,55.3509
2988819,1072,0.6700,168623.00,55.3889
2988853,1080,0.6750,169094.00,55.4861
2988887,1088,0.6800,169348.00,55.5977
2988920,1096,0.6850,169551.00,55.7148
2988954,1104,0.6900,170173.00,55.8418
2988988,1112,0.6950,169938.00,55.8566
2989022,1120,0.7000,170430.00,55.9685
2989055,1128,0.7050,170870.00,56.1109
2989089,1136,0.7100,171271.00,56.1985
2989123,1144,0.7150,171531.00,56.2822
2989156,1152,0.7200,171526.00,56.3721
2989190,1160,0.7250,171820.00,56.4174
2989224,1168,0.7300,172275.00,56.5651
2989257,1176,0.7350,172392.00,56.6334
2989291,1184,0.7400,173021.00,56.7981
2989325,1192,0.7450,173130.00,56.8057
2989359,1200,0.7500,173405.00,56.9346
2989392,1208,0.7550,173757.00,57.0190
2989426,1216,0.7600,173935.00,57.2008
2989460,1224,0.7650,174349.00,57.2293
2989493,1232,0.7700,174596.00,57.2703
2989527,1240,0.7750,174865.00,57.3695
2989561,1248,0.7800,175205.00,57.5529
2989594,1256,0.7850,175453.00,57.5887
2989628,1264,0.7900,175248.00,57.5349
2989662,1272,0.7950,175848.00,57.7620
2989696,1280,0.8000,175845.00,57.7554
2989729,1288,0.8050,176221.00,57.8719
2989763,1296,0.8100,176282.00,57.9080
2989797,1304,0.8150,176685.00,58.0189
2989830,1312,0.8200,176830.00,58.0002
2989864,1320,0.8250,176900.00,58.0744
2989898,1328,0.8300,177343.00,58.2430
