Millis,Steps,Travel (mm),Scale raw,Scale (grams)
10293,8,0.0050,24334.00,9.2522
10326,16,0.0100,45292.00,17.1145
10360,24,0.0150,65460.00,23.2615
10393,32,0.0200,80109.00,27.1294
10427,40,0.0250,85839.00,28.9865
10461,48,0.0300,91003.00,30.6388
10494,56,0.0350,95259.00,31.9834
10528,64,0.0400,98831.00,33.0617
10561,72,0.0450,102339.00,34.2477
10595,80,0.0500,105354.00,35.3478
10628,88,0.0550,109276.00,36.6641
10662,96,0.0600,113322.00,37.9311
10695,104,0.0650,117180.00,39.2422
10729,112,0.0700,120436.00,40.3284
10763,120,0.0750,123803.00,41.1266
10796,128,0.0800,126458.00,42.0638
10830,136,0.0850,128387.00,42.6791
10863,144,0.0900,129962.00,43.1324
10897,152,0.0950,131460.00,43.5980
10930,160,0.1000,132604.00,43.9620
10964,168,0.1050,133264.00,44.1825
10998,176,0.1100,134440.00,44.5317
11031,184,0.1150,134952.00,44.6892
11065,192,0.1200,136021.00,45.0975
11098,200,0.1250,137150.00,45.4397
11132,208,0.1300,137959.00,45.7059
11165,216,0.1350,139353.00,46.1276
11199,224,0.1400,139870.00,46.2776
11232,232,0.1450,140176.00,46.3507
11266,240,0.1500,141792.00,46.8305
11300,248,0.1550,142536.00,47.0924
11333,256,0.1600,142626.00,47.2499
11367,264,0.1650,143862.00,47.5584
11400,272,0.1700,144416.00,47.7707
11434,280,0.1750,145323.00,48.0418
11467,288,0.1800,145906.00,48.2312
11501,296,0.1850,146857.00,48.5370
11535,304,0.1900,147442.00,48.8347
11568,312,0.1950,148540.00,49.1478
11602,320,0.2000,149277.00,49.3496
11635,328,0.2050,149072.00,49.6456
11669,336,0.2100,149676.00,49.4018
11702,344,0.2150,152007.00,50.3282
11736,352,0.2200,152052.00,50.2586
11770,360,0.2250,153786.00,50.8483
11803,368,0.2300,153890.00,50.8303
11837,376,0.2350,154525.00,51.0334
11870,384,0.2400,155395.00,51.2773
11904,392,0.2450,155469.00,51.3242
11937,400,0.2500,155922.00,51.4551
11971,408,0.2550,156302.00,51.5483
12005,416,0.2600,156722.00,51.7298
12038,424,0.2650,156996.00,51.7882
12072,432,0.2700,157625.00,51.9897
12105,440,0.2750,157722.00,52.1259
12228,448,0.2800,157805.00,52.1190
12262,456,0.2850,158773.00,52.3238
12295,464,0.2900,158143.00,52.2546
12329,472,0.2950,158145.00,52.3337
12363,480,0.3000,160663.00,52.9805
12396,488,0.3050,159555.00,52.9631
12430,496,0.3100,162915.00,53.5312
12463,504,0.3150,162093.00,53.6450
12497,512,0.3200,163023.00,53.7484
12530,520,0.3250,163140.00,53.7986
12564,528,0.3300,163755.00,54.0342
12598,536,0.3350,163699.00,53.9972
12631,544,0.3400,164053.00,54.2075
12665,552,0.3450,164804.00,54.4392
12698,560,0.3500,165050.00,54.4589
12732,568,0.3550,166033.00,54.7661
12765,576,0.3600,165880.00,54.7355
12799,584,0.3650,166552.00,55.0821
12833,592,0.3700,167336.00,55.2616
12866,600,0.3750,167766.00,55.4601
12900,608,0.3800,168372.00,55.5688
12933,616,0.3850,168410.00,55.6420
12967,624,0.3900,169118.00,55.8175
13000,632,0.3950,169761.00,55.9911
13034,640,0.4000,170136.00,56.1280
13067,648,0.4050,169867.00,56.1611
13101,656,0.4100,170035.00,56.1500
13135,664,0.4150,170945.00,56.3784
13168,672,0.4200,170734.00,56.3547
13202,680,0.4250,171540.00,56.6202
13235,688,0.4300,171753.00,56.6970
13269,696,0.4350,172124.00,56.7663
13302,704,0.4400,172334.00,56.9031
13336,712,0.4450,172614.00,56.9881
13370,720,0.4500,173295.00,57.2067
13403,728,0.4550,173008.00,57.1899
13437,736,0.4600,173565.00,57.2470
13470,744,0.4650,174121.00,57.5280
13504,752,0.4700,174071.00,57.5834
13537,760,0.4750,174160.00,57.5611
13571,768,0.4800,175771.00,57.5578
13605,776,0.4850,173543.00,57.9484
13638,784,0.4900,175351.00,57.4000
13672,792,0.4950,175115.00,58.2975
13705,800,0.5000,174987.00,57.6986
13739,808,0.5050,178043.00,58.4623
13772,816,0.5100,175342.00,58.2562
