Millis,Steps,Travel (mm),Scale raw,Scale (grams)
201799,8,0.0050,16628.00,6.3334
201833,16,0.0100,29290.00,11.1385
201866,24,0.0150,49360.00,16.7788
201900,32,0.0200,51745.00,17.0236
201934,40,0.0250,50994.00,17.1378
201967,48,0.0300,52009.00,17.3557
202001,56,0.0350,53070.00,17.6235
202035,64,0.0400,53170.00,17.7272
202068,72,0.0450,53402.00,17.7354
202102,80,0.0500,54102.00,18.0813
202136,88,0.0550,57149.00,19.1800
202169,96,0.0600,58641.00,19.5473
202203,104,0.0650,59938.00,19.7721
202237,112,0.0700,61529.00,20.4199
202270,120,0.0750,62264.00,20.7142
202304,128,0.0800,63689.00,21.2203
202338,136,0.0850,66897.00,22.6199
202372,144,0.0900,75030.00,25.3260
202405,152,0.0950,83600.00,27.8625
202439,160,0.1000,86160.00,28.4765
202473,168,0.1050,86812.00,28.6652
202506,176,0.1100,87273.00,28.8493
202540,184,0.1150,88143.00,29.1332
202574,192,0.1200,88816.00,29.3360
202607,200,0.1250,89368.00,29.5043
202641,208,0.1300,90136.00,29.7711
202675,216,0.1350,90623.00,29.9415
202708,224,0.1400,91145.00,30.1151
202742,232,0.1450,92017.00,30.3376
202776,240,0.1500,92386.00,30.5630
202809,248,0.1550,93266.00,30.7964
202843,256,0.1600,93430.00,30.8495
202877,264,0.1650,94594.00,31.1793
202910,272,0.1700,94854.00,31.3595
202944,280,0.1750,95416.00,31.4740
202978,288,0.1800,95985.00,31.6962
203011,296,0.1850,96457.00,31.9299
203045,304,0.1900,97040.00,32.0467
203079,312,0.1950,97780.00,32.2311
203112,320,0.2000,98397.00,32.4750
203146,328,0.2050,98482.00,32.5698
203180,336,0.2100,99176.00,32.6538
203213,344,0.2150,99850.00,32.9321
203247,352,0.2200,100499.00,33.1306
203281,360,0.2250,100798.00,33.2616
203315,368,0.2300,101353.00,33.4762
203348,376,0.2350,101894.00,33.6967
203382,384,0.2400,102259.00,33.8333
203416,392,0.2450,103009.00,34.0321
