Millis,Steps,Travel (mm),Scale raw,Scale (grams)
1463632,8,0.0050,14006.00,4.6971
1463665,16,0.0100,18144.00,6.3583
1463699,24,0.0150,20592.00,6.8962
1463733,32,0.0200,21812.00,7.3570
1463767,40,0.0250,23167.00,7.7760
1463800,48,0.0300,24873.00,8.2775
1463834,56,0.0350,26212.00,8.7310
1463868,64,0.0400,27398.00,9.0763
1463901,72,0.0450,28738.00,9.5544
1463935,80,0.0500,30324.00,10.0516
1463969,88,0.0550,31464.00,10.4766
1464003,96,0.0600,33011.00,10.9587
1464036,104,0.0650,34380.00,11.4007
1464070,112,0.0700,35688.00,11.8697
1464104,120,0.0750,36992.00,12.2523
1464137,128,0.0800,38456.00,12.7718
1464171,136,0.0850,39934.00,13.2628
1464205,144,0.0900,41424.00,13.7849
1464239,152,0.0950,42839.00,14.2095
1464272,160,0.1000,44631.00,14.7605
1464306,168,0.1050,46147.00,15.2160
1464340,176,0.1100,47487.00,15.7231
1464373,184,0.1150,48837.00,16.1838
1464407,192,0.1200,50440.00,16.6751
1464441,200,0.1250,51845.00,17.2205
1464474,208,0.1300,53252.00,17.6347
1464508,216,0.1350,54973.00,18.1286
1464542,224,0.1400,56185.00,18.6061
1464576,232,0.1450,57663.00,19.0658
1464609,240,0.1500,59105.00,19.4836
1464643,248,0.1550,60193.00,19.9171
1464677,256,0.1600,61750.00,20.3687
1464710,264,0.1650,63399.00,20.8330
1464744,272,0.1700,64759.00,21.3591
1464778,280,0.1750,66078.00,21.8300
1464812,288,0.1800,67163.00,22.2081
1464845,296,0.1850,68902.00,22.7177
1464879,304,0.1900,70128.00,23.1030
1464913,312,0.1950,71373.00,23.5437
1464946,320,0.2000,72947.00,24.0291
1464980,328,0.2050,74097.00,24.4843
1465014,336,0.2100,75695.00,24.9247
1465048,344,0.2150,76783.00,25.3008
1465081,352,0.2200,78409.00,25.7569
1465115,360,0.2250,79220.00,26.1560
1465149,368,0.2300,80747.00,26.5734
1465182,376,0.2350,82004.00,27.0873
1465216,384,0.2400,83325.00,27.3893
1465250,392,0.2450,84458.00,27.7827
1465284,400,0.2500,85522.00,28.1690
1465317,408,0.2550,86576.00,28.3495
1465351,416,0.2600,85583.00,28.0085
1465385,424,0.2650,86545.00,28.5224
1465418,432,0.2700,88027.00,29.0032
1465452,440,0.2750,89367.00,29.3642
1465486,448,0.2800,90833.00,29.8486
1465519,456,0.2850,91785.00,30.2260
1465553,464,0.2900,93098.00,30.5830
1465587,472,0.2950,94280.00,31.0297
1465621,480,0.3000,95330.00,31.3070
1465654,488,0.3050,96471.00,31.7805
1465688,496,0.3100,97692.00,32.1195
1465722,504,0.3150,98650.00,32.4750
1465755,512,0.3200,99809.00,32.8251
1465789,520,0.3250,100921.00,33.1582
1465823,528,0.3300,101982.00,33.5858
1465857,536,0.3350,103322.00,34.0567
1465890,544,0.3400,104293.00,34.2832
1465924,552,0.3450,105500.00,34.6957
1465958,560,0.3500,106532.00,35.0127
1465991,568,0.3550,107702.00,35.4823
1466025,576,0.3600,109049.00,35.8518
1466059,584,0.3650,109892.00,36.1131
1466092,592,0.3700,110970.00,36.4773
1466126,600,0.3750,112096.00,36.9161
1466160,608,0.3800,113544.00,37.2978
1466194,616,0.3850,114305.00,37.6217
1466227,624,0.3900,115741.00,38.1346
1466261,632,0.3950,116578.00,38.3187
1466295,640,0.4000,117404.00,38.6082
1466328,648,0.4050,118190.00,38.8323
1466362,656,0.4100,119061.00,39.1877
1466396,664,0.4150,120202.00,39.5366
1466430,672,0.4200,121234.00,39.8477
1466463,680,0.4250,122310.00,40.2116
1466497,688,0.4300,123464.00,40.6953
1466531,696,0.4350,124522.00,40.9720
1466564,704,0.4400,125624.00,41.2779
1466598,712,0.4450,126656.00,41.6333
1466632,720,0.4500,127712.00,41.9371
1466666,728,0.4550,128833.00,42.3539
1466699,736,0.4600,129834.00,42.6421
1466733,744,0.4650,130736.00,42.8856
1466767,752,0.4700,131745.00,43.2666
1466800,760,0.4750,132980.00,43.6200
1466834,768,0.4800,133694.00,43.9548
1466868,776,0.4850,134880.00,44.3171
1466901,784,0.4900,135589.00,44.6347
1466935,792,0.4950,136510.00,44.9271
1466969,800,0.5000,137590.00,45.1782
1467002,808,0.5050,138712.00,45.5585
1467036,816,0.5100,139384.00,45.8286
1467070,824,0.5150,140440.00,46.1466
1467194,832,0.5200,140432.00,46.0560
1467227,840,0.5250,141511.00,46.6481
1467261,848,0.5300,142611.00,46.8889
1467295,856,0.5350,143736.00,47.2434
1467328,864,0.5400,144668.00,47.5282
1467362,872,0.5450,145565.00,47.8741
1467396,880,0.5500,146549.00,48.1787
1467429,888,0.5550,147386.00,48.4038
1467463,896,0.5600,148109.00,48.7064
1467497,904,0.5650,149070.00,48.9610
1467531,912,0.5700,150122.00,49.3023
1467564,920,0.5750,150801.00,49.5891
1467598,928,0.5800,151887.00,49.8842
1467632,936,0.5850,152556.00,50.1684
1467665,944,0.5900,153334.00,50.4063
1467699,952,0.5950,154439.00,50.8139
1467733,960,0.6000,155124.00,51.1079
1467767,968,0.6050,156121.00,51.3980
1467800,976,0.6100,156918.00,51.6524
1467834,984,0.6150,157713.00,51.9287
1467868,992,0.6200,158341.00,52.0586
1467901,1000,0.6250,159297.00,52.3839
