Millis,Steps,Travel (mm),Scale raw,Scale (grams)
7765106,8,0.0050,19033.00,6.4246
7765139,16,0.0100,21456.00,7.1427
7765173,24,0.0150,23241.00,7.7294
7765207,32,0.0200,24979.00,8.2834
7765241,40,0.0250,26533.00,8.8390
7765275,48,0.0300,28086.00,9.2400
7765308,56,0.0350,29193.00,9.6699
7765342,64,0.0400,32873.00,11.4749
7765376,72,0.0450,49767.00,16.7621
7765410,80,0.0500,54725.00,17.9602
7765443,88,0.0550,55828.00,18.3537
7765477,96,0.0600,56867.00,18.7216
7765511,104,0.0650,57957.00,19.0409
7765545,112,0.0700,59178.00,19.4301
7765579,120,0.0750,59905.00,19.6428
7765612,128,0.0800,61224.00,20.1094
7765646,136,0.0850,62142.00,20.4081
7765680,144,0.0900,63147.00,20.7218
7765714,152,0.0950,64014.00,21.1176
7765747,160,0.1000,65080.00,21.3653
7765781,168,0.1050,66317.00,21.8346
7765815,176,0.1100,67155.00,22.0597
7765849,184,0.1150,68044.00,22.2993
7765883,192,0.1200,68801.00,22.6731
7765916,200,0.1250,69723.00,22.8556
7765950,208,0.1300,70878.00,23.3626
7765984,216,0.1350,71752.00,23.6189
7766018,224,0.1400,72577.00,23.7794
7766051,232,0.1450,73030.00,24.0603
7766085,240,0.1500,74088.00,24.3803
7766119,248,0.1550,75140.00,24.6523
7766153,256,0.1600,76071.00,25.0399
7766187,264,0.1650,76615.00,25.2299
7766220,272,0.1700,77653.00,25.5440
7766254,280,0.1750,78473.00,25.7688
7766288,288,0.1800,79195.00,26.0707
7766322,296,0.1850,80241.00,26.3358
7766356,304,0.1900,80958.00,26.6200
7766389,312,0.1950,81607.00,26.8150
7766423,320,0.2000,82492.00,27.1313
7766457,328,0.2050,83287.00,27.4126
7766491,336,0.2100,84406.00,27.6925
7766524,344,0.2150,84918.00,27.9688
7766558,352,0.2200,85404.00,28.1021
7766592,360,0.2250,86194.00,28.3410
7766626,368,0.2300,87267.00,28.6235
7766659,376,0.2350,87813.00,28.8381
7766693,384,0.2400,88596.00,29.0869
7766727,392,0.2450,89332.00,29.2887
7766761,400,0.2500,90033.00,29.5093
7766795,408,0.2550,90566.00,29.7075
7766828,416,0.2600,91018.00,29.8565
7766862,424,0.2650,92017.00,30.1935
7766896,432,0.2700,92492.00,30.4009
7766930,440,0.2750,93283.00,30.6556
7766963,448,0.2800,93928.00,30.7918
7766997,456,0.2850,94480.00,31.0057
7767031,464,0.2900,95116.00,31.3165
7767065,472,0.2950,95822.00,31.4767
7767098,480,0.3000,96417.00,31.6549
7767132,488,0.3050,96933.00,31.8665
7767166,496,0.3100,97697.00,32.0428
7767200,504,0.3150,98461.00,32.4215
7767234,512,0.3200,98915.00,32.4786
7767267,520,0.3250,99660.00,32.7437
7767301,528,0.3300,100281.00,32.9190
7767335,536,0.3350,100759.00,33.0036
7767369,544,0.3400,101151.00,33.2521
7767402,552,0.3450,101851.00,33.4230
7767436,560,0.3500,102337.00,33.5868
7767470,568,0.3550,102915.00,33.7565
7767504,576,0.3600,103422.00,33.9905
7767537,584,0.3650,103869.00,34.1335
7767571,592,0.3700,104537.00,34.3518
7767605,600,0.3750,105139.00,34.5785
7767639,608,0.3800,105449.00,34.6570
7767673,616,0.3850,106149.00,34.8591
7767706,624,0.3900,106442.00,35.0045
7767740,632,0.3950,107019.00,35.1660
7767774,640,0.4000,107626.00,35.3068
7767808,648,0.4050,108058.00,35.4577
