Millis,Steps,Travel (mm),Scale raw,Scale (grams)
7007,8,0.0050,25154.00,10.1855
7041,16,0.0100,39884.00,13.9985
7074,24,0.0150,49824.00,16.9301
7108,32,0.0200,54078.00,17.9277
7142,40,0.0250,56179.00,18.6710
7175,48,0.0300,58395.00,19.3865
7209,56,0.0350,60054.00,19.7668
7243,64,0.0400,60752.00,20.0727
7276,72,0.0450,61441.00,20.2939
7310,80,0.0500,62258.00,20.5164
7344,88,0.0550,63471.00,20.9709
7377,96,0.0600,64895.00,21.4172
7411,104,0.0650,66442.00,22.0066
7445,112,0.0700,67923.00,22.4972
7478,120,0.0750,70070.00,23.3262
7512,128,0.0800,74427.00,25.0156
7546,136,0.0850,80193.00,26.8028
7579,144,0.0900,85540.00,28.4729
7613,152,0.0950,89502.00,29.6999
7647,160,0.1000,91664.00,30.3366
7680,168,0.1050,93516.00,30.8170
7714,176,0.1100,95142.00,31.4340
7748,184,0.1150,97036.00,32.4234
7781,192,0.1200,101782.00,33.5044
7815,200,0.1250,102900.00,33.8989
7849,208,0.1300,103901.00,34.2215
7882,216,0.1350,105162.00,34.6681
7916,224,0.1400,106621.00,35.1030
7950,232,0.1450,107980.00,35.5585
7983,240,0.1500,109125.00,35.8919
8017,248,0.1550,110398.00,36.3907
8051,256,0.1600,111595.00,36.7501
8084,264,0.1650,112856.00,37.1718
8118,272,0.1700,113966.00,37.5268
8152,280,0.1750,115168.00,37.8202
8185,288,0.1800,116294.00,38.3030
8219,296,0.1850,117541.00,38.7404
8253,304,0.1900,118389.00,39.0020
8286,312,0.1950,119408.00,39.3279
8320,320,0.2000,120783.00,39.7010
8354,328,0.2050,121775.00,40.1450
8387,336,0.2100,123160.00,40.5247
8421,344,0.2150,124179.00,40.8417
8455,352,0.2200,125215.00,41.2129
8488,360,0.2250,126151.00,41.4702
8522,368,0.2300,127396.00,41.8827
8556,376,0.2350,128514.00,42.2627
8590,384,0.2400,129260.00,42.5334
8623,392,0.2450,130466.00,42.8898
8657,400,0.2500,131331.00,43.1465
8691,408,0.2550,131889.00,43.4139
8724,416,0.2600,133283.00,43.8517
8758,424,0.2650,134271.00,44.1474
8792,432,0.2700,135197.00,44.4936
8825,440,0.2750,136247.00,44.8362
8859,448,0.2800,137361.00,45.2317
8893,456,0.2850,138357.00,45.4525
8926,464,0.2900,139160.00,45.7768
8960,472,0.2950,140242.00,46.0124
8994,480,0.3000,141316.00,46.3576
9027,488,0.3050,142161.00,46.7462
9061,496,0.3100,143180.00,47.1039
9095,504,0.3150,143932.00,47.3399
9128,512,0.3200,145100.00,47.6510
9162,520,0.3250,146030.00,47.9827
9196,528,0.3300,146733.00,48.3011
9229,536,0.3350,147539.00,48.5118
9263,544,0.3400,148441.00,48.7832
9297,552,0.3450,149401.00,49.0253
9330,560,0.3500,150248.00,49.3945
9364,568,0.3550,151068.00,49.6233
9398,576,0.3600,151788.00,49.9258
9431,584,0.3650,152731.00,50.2202
9465,592,0.3700,153469.00,50.4503
9499,600,0.3750,154289.00,50.6121
9532,608,0.3800,155092.00,50.9711
9566,616,0.3850,155913.00,51.2083
9600,624,0.3900,156473.00,51.4738
9633,632,0.3950,157439.00,51.7121
9667,640,0.4000,158173.00,51.9681
9701,648,0.4050,159100.00,52.2634
9734,656,0.4100,159549.00,52.4364
9768,664,0.4150,160550.00,52.7878
9802,672,0.4200,161004.00,52.8866
9835,680,0.4250,161916.00,53.1426
9869,688,0.4300,162529.00,53.3602
9903,696,0.4350,163156.00,53.5928
9936,704,0.4400,163992.00,53.7737
9970,712,0.4450,164512.00,54.0904
10004,720,0.4500,164944.00,54.3033
10037,728,0.4550,165808.00,54.5383
10071,736,0.4600,166607.00,54.7434
10105,744,0.4650,167439.00,55.0299
10138,752,0.4700,167911.00,55.1553
10172,760,0.4750,168549.00,55.4086
10206,768,0.4800,169205.00,55.5934
10239,776,0.4850,169708.00,55.7516
10273,784,0.4900,170391.00,55.9944
10307,792,0.4950,171067.00,56.2104
10340,800,0.5000,171711.00,56.4286
10374,808,0.5050,172194.00,56.6147
10408,816,0.5100,172948.00,56.8194
10441,824,0.5150,173333.00,57.0095
10475,832,0.5200,174207.00,57.1988
10509,840,0.5250,174713.00,57.3320
10542,848,0.5300,175303.00,57.5293
10576,856,0.5350,175711.00,57.7403
10610,864,0.5400,176321.00,57.9411
10643,872,0.5450,176743.00,58.0626
10677,880,0.5500,177359.00,58.2516
10711,888,0.5550,177883.00,58.3792
10744,896,0.5600,178527.00,58.5525
10778,904,0.5650,178929.00,58.7504
10812,912,0.5700,179595.00,58.9526
10845,920,0.5750,180105.00,59.0635
10879,928,0.5800,180280.00,59.2522
10913,936,0.5850,180999.00,59.4038
10946,944,0.5900,181592.00,59.6046
10980,952,0.5950,181879.00,59.7458
11014,960,0.6000,182436.00,59.9056
11048,968,0.6050,182977.00,60.0995
11081,976,0.6100,183516.00,60.2656
11115,984,0.6150,184063.00,60.4221
11148,992,0.6200,184468.00,60.5468
11182,1000,0.6250,184973.00,60.7949
11216,1008,0.6300,185356.00,60.8560
11249,1016,0.6350,185764.00,60.9692
11283,1024,0.6400,186095.00,61.1162
11317,1032,0.6450,186510.00,61.1999
11350,1040,0.6500,186947.00,61.4240
11384,1048,0.6550,187499.00,61.5182
11418,1056,0.6600,187794.00,61.7483
11451,1064,0.6650,188230.00,61.8385
11485,1072,0.6700,188730.00,61.9819
11519,1080,0.6750,189109.00,62.0663
11552,1088,0.6800,189383.00,62.2064
11586,1096,0.6850,189790.00,62.3173
11620,1104,0.6900,190152.00,62.4463
11653,1112,0.6950,190658.00,62.6301
11687,1120,0.7000,190790.00,62.6704
11721,1128,0.7050,191344.00,62.8414
11754,1136,0.7100,191875.00,62.9753
11788,1144,0.7150,191935.00,63.1269
11822,1152,0.7200,192435.00,63.1962
11855,1160,0.7250,192833.00,63.3534
11889,1168,0.7300,193154.00,63.4653
11923,1176,0.7350,193517.00,63.5023
11957,1184,0.7400,193827.00,63.5821
11990,1192,0.7450,193922.00,63.7166
12024,1200,0.7500,194452.00,63.9208
12057,1208,0.7550,194727.00,63.9825
12091,1216,0.7600,195007.00,64.0261
12125,1224,0.7650,195380.00,64.1446
12158,1232,0.7700,195683.00,64.2388
12192,1240,0.7750,196010.00,64.3323
12226,1248,0.7800,196378.00,64.4652
12259,1256,0.7850,196728.00,64.6001
12293,1264,0.7900,196960.00,64.7474
12327,1272,0.7950,197131.00,64.7123
12360,1280,0.8000,197579.00,64.8223
12394,1288,0.8050,197757.00,64.9568
12428,1296,0.8100,197991.00,64.9325
12461,1304,0.8150,198456.00,65.0933
12495,1312,0.8200,198289.00,65.0871
12529,1320,0.8250,198805.00,65.2984
12563,1328,0.8300,199021.00,65.2892
12596,1336,0.8350,199217.00,65.3834
12630,1344,0.8400,199292.00,65.4369
12664,1352,0.8450,199670.00,65.5442
12697,1360,0.8500,199746.00,65.5669
12731,1368,0.8550,199955.00,65.6830
12765,1376,0.8600,200253.00,65.7198
12798,1384,0.8650,200798.00,65.8461
12832,1392,0.8700,200685.00,65.8274
12866,1400,0.8750,200985.00,65.9840
12899,1408,0.8800,201179.00,66.0506
12933,1416,0.8850,201468.00,66.1323
12967,1424,0.8900,201520.00,66.0683
13000,1432,0.8950,201861.00,66.2373
13034,1440,0.9000,202062.00,66.2570
13068,1448,0.9050,202063.00,66.3122
13101,1456,0.9100,202177.00,66.4008
13135,1464,0.9150,202417.00,66.4657
13169,1472,0.9200,202724.00,66.5422
13202,1480,0.9250,202935.00,66.5173
13236,1488,0.9300,203116.00,66.6531
13270,1496,0.9350,203149.00,66.6505
13303,1504,0.9400,203259.00,66.7119
13337,1512,0.9450,203464.00,66.7476
13371,1520,0.9500,203629.00,66.8212
13404,1528,0.9550,203622.00,66.8681
13438,1536,0.9600,203819.00,66.9084
13472,1544,0.9650,203840.00,66.8464
13505,1552,0.9700,204050.00,66.9304
13539,1560,0.9750,204100.00,66.9285
13573,1568,0.9800,204131.00,67.0141
13606,1576,0.9850,204289.00,67.0453
13640,1584,0.9900,204208.00,67.0171
13674,1592,0.9950,204373.00,67.0689
13707,1600,1.0000,204447.00,67.1641
13741,1608,1.0050,204626.00,67.1539
13775,1616,1.0100,204774.00,67.2232
13808,1624,1.0150,204807.00,67.2429
13842,1632,1.0200,204853.00,67.2560
13876,1640,1.0250,205081.00,67.3091
13909,1648,1.0300,204916.00,67.2235
13943,1656,1.0350,205165.00,67.3114
13977,1664,1.0400,205069.00,67.2297
14010,1672,1.0450,205253.00,67.3324
14044,1680,1.0500,205132.00,67.3872
14078,1688,1.0550,205337.00,67.4253
14111,1696,1.0600,205420.00,67.5021
14145,1704,1.0650,205471.00,67.4657
14179,1712,1.0700,205616.00,67.5202
14212,1720,1.0750,205923.00,67.5047
14246,1728,1.0800,205855.00,67.5805
14280,1736,1.0850,206008.00,67.5956
14313,1744,1.0900,206078.00,67.6632
14347,1752,1.0950,206027.00,67.5704
14381,1760,1.1000,206091.00,67.5723
14414,1768,1.1050,206186.00,67.6882
14448,1776,1.1100,206372.00,67.6974
14482,1784,1.1150,206326.00,67.7315
14515,1792,1.1200,206208.00,67.6783
14549,1800,1.1250,206324.00,67.6048
14583,1808,1.1300,206021.00,67.6107
14616,1816,1.1350,206216.00,67.6481
14650,1824,1.1400,206005.00,67.6478
14684,1832,1.1450,206283.00,67.6501
14717,1840,1.1500,206220.00,67.6094
14751,1848,1.1550,206074.00,67.6209
14785,1856,1.1600,205797.00,67.4696
14818,1864,1.1650,205893.00,67.5641
14852,1872,1.1700,205562.00,67.4447
14886,1880,1.1750,205825.00,67.4765
14919,1888,1.1800,205504.00,67.4089
14953,1896,1.1850,205650.00,67.5520
14987,1904,1.1900,205849.00,67.4877
15020,1912,1.1950,205748.00,67.5730
15054,1920,1.2000,205874.00,67.5218
15088,1928,1.2050,205883.00,67.6534
15121,1936,1.2100,205923.00,67.6061
15166,1944,1.2150,205797.00,67.5494
15200,1952,1.2200,206001.00,67.5861
15234,1960,1.2250,206019.00,67.5615
15267,1968,1.2300,206076.00,67.6127
15301,1976,1.2350,206129.00,67.5369
15335,1984,1.2400,205910.00,67.6367
15368,1992,1.2450,205974.00,67.5825
15402,2000,1.2500,205895.00,67.4798
15436,2008,1.2550,205816.00,67.5126
15469,2016,1.2600,205710.00,67.5005
15503,2024,1.2650,205584.00,67.5126
15537,2032,1.2700,205764.00,67.4929
