Millis,Steps,Travel (mm),Scale raw,Scale (grams)
478658,8,0.0050,22954.00,8.7632
478692,16,0.0100,31385.00,11.5185
478725,24,0.0150,37527.00,12.6428
478759,32,0.0200,37445.00,12.6950
478793,40,0.0250,40454.00,13.7914
478827,48,0.0300,43917.00,14.7402
478860,56,0.0350,45598.00,15.2318
478894,64,0.0400,46824.00,15.7090
478928,72,0.0450,48500.00,16.2058
478962,80,0.0500,50060.00,16.8536
478995,88,0.0550,51906.00,17.3360
479029,96,0.0600,53443.00,17.8650
479063,104,0.0650,54073.00,18.0672
479097,112,0.0700,54349.00,18.2405
479130,120,0.0750,56098.00,18.7908
479164,128,0.0800,60816.00,20.2203
479198,136,0.0850,62146.00,20.6151
479232,144,0.0900,63777.00,21.0874
479265,152,0.0950,64848.00,21.4973
479299,160,0.1000,65990.00,21.8290
479333,168,0.1050,67551.00,22.2494
479367,176,0.1100,68515.00,22.6505
479401,184,0.1150,69215.00,22.9839
479434,192,0.1200,70708.00,23.3580
479468,200,0.1250,71829.00,23.7764
479502,208,0.1300,73025.00,24.1778
479536,216,0.1350,74257.00,24.4915
479569,224,0.1400,75253.00,24.8417
479603,232,0.1450,76666.00,25.1524
479637,240,0.1500,77328.00,25.4901
479671,248,0.1550,78793.00,25.9545
479704,256,0.1600,79813.00,26.2820
479738,264,0.1650,80500.00,26.6112
479772,272,0.1700,81855.00,27.0243
479806,280,0.1750,82523.00,27.2810
479839,288,0.1800,83849.00,27.6026
479873,296,0.1850,84827.00,27.9691
479907,304,0.1900,85879.00,28.2783
479941,312,0.1950,87053.00,28.6938
479974,320,0.2000,87689.00,28.9428
480008,328,0.2050,89256.00,29.3914
480042,336,0.2100,90038.00,29.7078
480076,344,0.2150,90960.00,30.0169
480109,352,0.2200,92193.00,30.3743
480143,360,0.2250,93026.00,30.6444
480177,368,0.2300,93947.00,30.9463
480211,376,0.2350,95065.00,31.3529
480245,384,0.2400,95790.00,31.5741
480278,392,0.2450,96459.00,31.8780
480312,400,0.2500,97448.00,32.1563
480346,408,0.2550,98531.00,32.5137
480380,416,0.2600,99217.00,32.7326
480413,424,0.2650,100212.00,33.0506
480447,432,0.2700,101098.00,33.3325
480481,440,0.2750,101738.00,33.5415
480515,448,0.2800,102613.00,33.8306
480548,456,0.2850,103599.00,34.1362
480582,464,0.2900,104558.00,34.4125
480616,472,0.2950,105213.00,34.6425
480650,480,0.3000,106048.00,34.8847
480683,488,0.3050,106919.00,35.2027
480717,496,0.3100,107666.00,35.3931
480751,504,0.3150,108050.00,35.6812
480785,512,0.3200,108748.00,35.7915
480818,520,0.3250,109615.00,36.0796
