Millis,Steps,Travel (mm),Scale raw,Scale (grams)
7179,8,0.0050,35714.00,11.9957
7213,16,0.0100,36199.00,12.1289
7246,24,0.0150,37354.00,12.5306
7280,32,0.0200,39281.00,13.1397
7313,40,0.0250,40563.00,13.4830
7347,48,0.0300,41436.00,13.7635
7381,56,0.0350,42099.00,14.0254
7414,64,0.0400,42859.00,14.2519
7448,72,0.0450,43382.00,14.4120
7481,80,0.0500,44043.00,14.6250
7515,88,0.0550,44696.00,15.1803
7548,96,0.0600,48733.00,16.2947
7582,104,0.0650,52197.00,17.5914
7616,112,0.0700,52924.00,17.5772
7649,120,0.0750,53663.00,17.7482
7683,128,0.0800,54963.00,18.2339
7716,136,0.0850,56554.00,18.8289
7750,144,0.0900,58794.00,19.3622
7783,152,0.0950,59985.00,19.7442
7817,160,0.1000,60835.00,20.1892
7850,168,0.1050,62770.00,20.9151
7884,176,0.1100,66505.00,21.9564
7918,184,0.1150,67403.00,22.2760
7951,192,0.1200,68579.00,22.6357
7985,200,0.1250,69331.00,22.8185
8018,208,0.1300,69807.00,23.0505
8052,216,0.1350,70570.00,23.2737
8085,224,0.1400,71259.00,23.4016
8119,232,0.1450,72098.00,23.7045
8153,240,0.1500,72555.00,23.8657
8186,248,0.1550,73268.00,24.1154
8220,256,0.1600,74146.00,24.3681
8253,264,0.1650,74849.00,24.6064
8287,272,0.1700,75434.00,24.8187
8320,280,0.1750,76112.00,24.9532
8354,288,0.1800,76898.00,25.2361
8387,296,0.1850,77542.00,25.5203
8421,304,0.1900,78103.00,25.6759
8455,312,0.1950,78717.00,25.8839
8488,320,0.2000,79095.00,26.0444
8522,328,0.2050,79872.00,26.2499
8555,336,0.2100,80279.00,26.3329
8589,344,0.2150,81014.00,26.5229
8622,352,0.2200,81349.00,26.6358
8656,360,0.2250,81847.00,26.8461
8689,368,0.2300,82467.00,27.1093
8723,376,0.2350,82964.00,27.2554
8757,384,0.2400,83671.00,27.4831
8790,392,0.2450,84133.00,27.6328
8824,400,0.2500,84633.00,27.7926
8857,408,0.2550,84956.00,27.9353
8891,416,0.2600,85788.00,28.1851
8924,424,0.2650,86196.00,28.2773
8958,432,0.2700,86476.00,28.4283
8991,440,0.2750,87007.00,28.5231
9025,448,0.2800,87448.00,28.7213
9059,456,0.2850,87935.00,28.8185
9092,464,0.2900,88297.00,28.9970
9126,472,0.2950,88609.00,29.0945
9159,480,0.3000,88990.00,29.2684
9193,488,0.3050,89494.00,29.3179
9226,496,0.3100,89815.00,29.4981
9260,504,0.3150,90393.00,29.6215
9294,512,0.3200,90588.00,29.7439
9327,520,0.3250,90810.00,29.8072
9361,528,0.3300,91023.00,29.9191
9394,536,0.3350,91797.00,30.1515
9428,544,0.3400,92102.00,30.2286
9461,552,0.3450,92306.00,30.2900
9495,560,0.3500,92700.00,30.4829
9528,568,0.3550,92950.00,30.5358
9562,576,0.3600,93325.00,30.6592
9596,584,0.3650,93505.00,30.8272
9629,592,0.3700,94133.00,30.8768
9663,600,0.3750,94245.00,30.8889
9696,608,0.3800,94718.00,31.0674
9730,616,0.3850,94823.00,31.2118
9763,624,0.3900,95198.00,31.2788
9797,632,0.3950,95513.00,31.3654
9830,640,0.4000,95552.00,31.3930
9864,648,0.4050,95908.00,31.5095
9898,656,0.4100,96125.00,31.5961
9931,664,0.4150,96253.00,31.6421
9965,672,0.4200,96750.00,31.8006
9998,680,0.4250,96834.00,31.7983
10032,688,0.4300,97296.00,31.9653
10065,696,0.4350,97504.00,31.9965
10099,704,0.4400,97511.00,32.0011
10133,712,0.4450,97921.00,32.1304
10166,720,0.4500,98224.00,32.2551
10200,728,0.4550,98361.00,32.2482
10233,736,0.4600,98541.00,32.3647
10267,744,0.4650,98879.00,32.4461
10300,752,0.4700,98995.00,32.4710
10334,760,0.4750,99127.00,32.6085
10367,768,0.4800,99434.00,32.7004
10401,776,0.4850,99625.00,32.7486
10435,784,0.4900,99755.00,32.7027
10468,792,0.4950,100037.00,32.8294
10502,800,0.5000,100158.00,32.9003
10535,808,0.5050,100294.00,33.0174
10569,816,0.5100,100708.00,33.0916
10602,824,0.5150,100663.00,32.9626
10636,832,0.5200,100932.00,33.0919
10669,840,0.5250,101188.00,33.1690
10703,848,0.5300,101232.00,33.1779
10737,856,0.5350,101380.00,33.3059
10770,864,0.5400,101555.00,33.3371
10804,872,0.5450,101859.00,33.4526
10837,880,0.5500,101791.00,33.3991
10871,888,0.5550,101727.00,33.4319
10904,896,0.5600,102043.00,33.5094
10938,904,0.5650,102510.00,33.6501
10971,912,0.5700,102382.00,33.6039
11005,920,0.5750,102503.00,33.6134
11039,928,0.5800,102587.00,33.7246
11072,936,0.5850,102824.00,33.7365
11106,944,0.5900,102946.00,33.7666
11139,952,0.5950,102952.00,33.8329
11173,960,0.6000,103236.00,33.8808
11206,968,0.6050,103417.00,33.9471
11240,976,0.6100,103222.00,33.8126
11273,984,0.6150,103404.00,33.9097
11307,992,0.6200,103514.00,34.0138
11341,1000,0.6250,104077.00,34.0456
11374,1008,0.6300,103840.00,34.0128
11408,1016,0.6350,103706.00,34.0206
11441,1024,0.6400,103790.00,34.0587
11475,1032,0.6450,104046.00,34.1152
11508,1040,0.6500,103825.00,34.0692
11542,1048,0.6550,104308.00,34.1746
11575,1056,0.6600,104303.00,34.1631
11609,1064,0.6650,104236.00,34.1526
11643,1072,0.6700,104312.00,34.1598
11676,1080,0.6750,104224.00,34.2261
11710,1088,0.6800,104325.00,34.2550
11743,1096,0.6850,104455.00,34.2917
11777,1104,0.6900,104563.00,34.3675
11810,1112,0.6950,104584.00,34.2966
