Millis,Steps,Travel (mm),Scale raw,Scale (grams)
178522,8,0.0050,13802.00,4.7126
178556,16,0.0100,15378.00,5.2997
178589,24,0.0150,17021.00,5.6984
178623,32,0.0200,18234.00,6.1431
178657,40,0.0250,19014.00,6.3360
178691,48,0.0300,19819.00,6.6337
178724,56,0.0350,21262.00,7.1473
178758,64,0.0400,23377.00,7.9250
178792,72,0.0450,25488.00,8.4071
178826,80,0.0500,26836.00,8.8787
178860,88,0.0550,28068.00,9.3345
178893,96,0.0600,29721.00,9.8544
178927,104,0.0650,30851.00,10.2341
178961,112,0.0700,31846.00,10.6059
178995,120,0.0750,33155.00,10.9022
179028,128,0.0800,34125.00,11.2701
179062,136,0.0850,35733.00,11.8808
179096,144,0.0900,37464.00,12.5897
179130,152,0.0950,41220.00,13.6799
179163,160,0.1000,42943.00,14.1081
179197,168,0.1050,44349.00,14.6526
179231,176,0.1100,45441.00,15.0244
179265,184,0.1150,46920.00,15.4474
179298,192,0.1200,48218.00,15.9482
179332,200,0.1250,49524.00,16.3246
179366,208,0.1300,50657.00,16.6692
179400,216,0.1350,52196.00,17.1966
179433,224,0.1400,53115.00,17.5267
179467,232,0.1450,54538.00,17.9221
179501,240,0.1500,55717.00,18.3744
179535,248,0.1550,56797.00,18.7869
179569,256,0.1600,57884.00,19.2083
179602,264,0.1650,59136.00,19.5341
179636,272,0.1700,60585.00,20.0037
179670,280,0.1750,61736.00,20.4107
179703,288,0.1800,62953.00,20.8143
179737,296,0.1850,64178.00,21.0985
179771,304,0.1900,64993.00,21.4641
179805,312,0.1950,66315.00,21.8688
179839,320,0.2000,67446.00,22.1503
179872,328,0.2050,68313.00,22.5513
179906,336,0.2100,69651.00,22.9964
179940,344,0.2150,70608.00,23.1473
179974,352,0.2200,71611.00,23.6799
180007,360,0.2250,72996.00,23.9366
180041,368,0.2300,74042.00,24.3281
180075,376,0.2350,74656.00,24.6044
180109,384,0.2400,75821.00,24.9372
180142,392,0.2450,76981.00,25.3264
180176,400,0.2500,78062.00,25.7737
180210,408,0.2550,79012.00,26.0841
180244,416,0.2600,79778.00,26.2174
180277,424,0.2650,80741.00,26.5232
180311,432,0.2700,82043.00,26.9124
180345,440,0.2750,82808.00,27.2377
180379,448,0.2800,83734.00,27.5527
180412,456,0.2850,84982.00,27.9649
180446,464,0.2900,85687.00,28.1181
180480,472,0.2950,86466.00,28.4621
180514,480,0.3000,87294.00,28.7006
180547,488,0.3050,88078.00,29.0019
180581,496,0.3100,89056.00,29.3409
180615,504,0.3150,89917.00,29.5417
180649,512,0.3200,90705.00,29.8561
180682,520,0.3250,91875.00,30.1915
180716,528,0.3300,92385.00,30.3540
180750,536,0.3350,93334.00,30.6736
180784,544,0.3400,94016.00,30.9480
180817,552,0.3450,95072.00,31.2158
180851,560,0.3500,95707.00,31.4563
180885,568,0.3550,96376.00,31.7398
180919,576,0.3600,97191.00,31.9712
180952,584,0.3650,97936.00,32.1622
180986,592,0.3700,98749.00,32.4786
181020,600,0.3750,99410.00,32.7112
181054,608,0.3800,99984.00,32.9219
181087,616,0.3850,100870.00,33.1772
181121,624,0.3900,101598.00,33.4598
181155,632,0.3950,102543.00,33.6337
181189,640,0.4000,102841.00,33.8457
181223,648,0.4050,103772.00,34.0866
181256,656,0.4100,104264.00,34.2402
181290,664,0.4150,105058.00,34.5451
181324,672,0.4200,105699.00,34.7216
181358,680,0.4250,106332.00,34.9704
181391,688,0.4300,107087.00,35.1975
181425,696,0.4350,107484.00,35.2923
181459,704,0.4400,108448.00,35.6139
181493,712,0.4450,108859.00,35.7370
181526,720,0.4500,109223.00,35.8706
181560,728,0.4550,110067.00,36.1505
181594,736,0.4600,110585.00,36.3681
181628,744,0.4650,111343.00,36.5577
181661,752,0.4700,111995.00,36.7435
181695,760,0.4750,112550.00,36.9548
181729,768,0.4800,112716.00,37.0500
181763,776,0.4850,113370.00,37.2292
181796,784,0.4900,114221.00,37.4727
181830,792,0.4950,114478.00,37.6525
181864,800,0.5000,115275.00,37.9295
181898,808,0.5050,115671.00,38.0138
181931,816,0.5100,116209.00,38.0391
181965,824,0.5150,116843.00,38.2974
181999,832,0.5200,117249.00,38.4648
182033,840,0.5250,117706.00,38.6446
182067,848,0.5300,118440.00,38.8691
182100,856,0.5350,118598.00,38.9409
182134,864,0.5400,119387.00,39.1080
182168,872,0.5450,119626.00,39.2957
182202,880,0.5500,120201.00,39.5395
182235,888,0.5550,120606.00,39.6665
182269,896,0.5600,120905.00,39.6662
182303,904,0.5650,121502.00,39.9277
182337,912,0.5700,122106.00,40.0548
182370,920,0.5750,122582.00,40.2878
182404,928,0.5800,123000.00,40.4115
182438,936,0.5850,123412.00,40.5286
182472,944,0.5900,123833.00,40.6816
182505,952,0.5950,124265.00,40.8332
182539,960,0.6000,124804.00,41.0124
182573,968,0.6050,125221.00,41.0862
182607,976,0.6100,125668.00,41.3133
