Millis,Steps,Travel (mm),Scale raw,Scale (grams)
24541,8,0.0050,24321.00,10.5947
24575,16,0.0100,48853.00,16.8907
24609,24,0.0150,54955.00,18.4167
24642,32,0.0200,57069.00,19.2293
24676,40,0.0250,59095.00,19.8246
24709,48,0.0300,61163.00,20.4156
24743,56,0.0350,62741.00,20.9889
24777,64,0.0400,64496.00,21.5294
24810,72,0.0450,66087.00,22.0043
24844,80,0.0500,67317.00,22.4847
24877,88,0.0550,68899.00,23.0167
24911,96,0.0600,70463.00,23.5083
24944,104,0.0650,72129.00,24.0203
24978,112,0.0700,73712.00,24.5309
25012,120,0.0750,75265.00,25.0396
25045,128,0.0800,77109.00,25.6053
25079,136,0.0850,78597.00,26.1347
25113,144,0.0900,80131.00,26.7188
25146,152,0.0950,81599.00,27.0732
25180,160,0.1000,82961.00,27.6308
25213,168,0.1050,84658.00,28.1864
25247,176,0.1100,86595.00,28.8477
25281,184,0.1150,88374.00,29.3317
25314,192,0.1200,89334.00,29.7206
25348,200,0.1250,91136.00,30.2296
25381,208,0.1300,92406.00,30.6690
25415,216,0.1350,93787.00,31.1048
25449,224,0.1400,95060.00,31.6384
25482,232,0.1450,96566.00,32.0687
25516,240,0.1500,97686.00,32.4221
25549,248,0.1550,99321.00,32.8812
25583,256,0.1600,100551.00,33.2983
25616,264,0.1650,101678.00,33.7266
25650,272,0.1700,103246.00,34.2189
25684,280,0.1750,104631.00,34.5864
25717,288,0.1800,105476.00,34.9307
25751,296,0.1850,106562.00,35.3363
25784,304,0.1900,108181.00,35.7892
25818,312,0.1950,109290.00,36.1807
25852,320,0.2000,110633.00,36.6362
25885,328,0.2050,111608.00,36.9223
25919,336,0.2100,112789.00,37.3723
25953,344,0.2150,113828.00,37.6732
25986,352,0.2200,114752.00,38.0056
26020,360,0.2250,116164.00,38.3289
26053,368,0.2300,117062.00,38.7621
26087,376,0.2350,118252.00,39.0870
26120,384,0.2400,119496.00,39.5684
26154,392,0.2450,120738.00,39.8634
26188,400,0.2500,121438.00,40.1722
26221,408,0.2550,122427.00,40.4650
26255,416,0.2600,123491.00,40.7813
26288,424,0.2650,124314.00,41.0846
26322,432,0.2700,125489.00,41.4931
26356,440,0.2750,126166.00,41.7442
26389,448,0.2800,127240.00,42.0287
26423,456,0.2850,128043.00,42.3254
26456,464,0.2900,129098.00,42.5403
26490,472,0.2950,129824.00,42.9187
26524,480,0.3000,131105.00,43.2108
26557,488,0.3050,131529.00,43.4467
26591,496,0.3100,132553.00,43.6955
26624,504,0.3150,133488.00,44.0414
26658,512,0.3200,134253.00,44.3226
26692,520,0.3250,135067.00,44.5743
26725,528,0.3300,136069.00,44.9806
26759,536,0.3350,136632.00,45.1267
26792,544,0.3400,137563.00,45.4279
26826,552,0.3450,138369.00,45.6649
26860,560,0.3500,139002.00,45.9553
26893,568,0.3550,139804.00,46.1663
26927,576,0.3600,140451.00,46.4134
26960,584,0.3650,141740.00,46.7787
26994,592,0.3700,142522.00,47.0455
27028,600,0.3750,143362.00,47.3188
