Millis,Steps,Travel (mm),Scale raw,Scale (grams)
238654,8,0.0050,28889.00,10.8530
238688,16,0.0100,44840.00,16.0463
238722,24,0.0150,56928.00,19.7369
238755,32,0.0200,67301.00,22.9386
238789,40,0.0250,75676.00,25.8364
238823,48,0.0300,84170.00,28.5428
238856,56,0.0350,92499.00,31.1925
238890,64,0.0400,99487.00,33.3440
238924,72,0.0450,106104.00,35.7206
238958,80,0.0500,113502.00,38.0326
238991,88,0.0550,119679.00,39.8890
239025,96,0.0600,123179.00,41.0176
239059,104,0.0650,126826.00,42.0934
239093,112,0.0700,129488.00,42.9043
239126,120,0.0750,131177.00,43.3755
239160,128,0.0800,132971.00,44.0302
239194,136,0.0850,133484.00,44.2790
239228,144,0.0900,134769.00,44.6111
239261,152,0.0950,135617.00,44.9901
239295,160,0.1000,136316.00,45.2245
239329,168,0.1050,137201.00,45.4863
239363,176,0.1100,138228.00,45.7725
239396,184,0.1150,138690.00,45.8614
239430,192,0.1200,139168.00,46.0488
239464,200,0.1250,139787.00,46.3724
239497,208,0.1300,140848.00,46.6832
239531,216,0.1350,141918.00,47.0337
239565,224,0.1400,142712.00,47.2063
239599,232,0.1450,143592.00,47.5489
239632,240,0.1500,144403.00,47.8443
239666,248,0.1550,144621.00,47.9338
239700,256,0.1600,145990.00,48.3030
239734,264,0.1650,146365.00,48.4156
239767,272,0.1700,146767.00,48.6151
239801,280,0.1750,147676.00,48.8094
239835,288,0.1800,148593.00,49.0736
239868,296,0.1850,148953.00,49.3499
239902,304,0.1900,149738.00,49.5570
239936,312,0.1950,150274.00,49.7171
239970,320,0.2000,150806.00,49.8602
240003,328,0.2050,151006.00,50.0168
240037,336,0.2100,151575.00,50.0955
240071,344,0.2150,152448.00,50.4024
240105,352,0.2200,152191.00,50.3551
240138,360,0.2250,152966.00,50.6616
240172,368,0.2300,153729.00,50.8106
240206,376,0.2350,154267.00,51.0728
240240,384,0.2400,154731.00,51.2405
240273,392,0.2450,155649.00,51.4814
240307,400,0.2500,155867.00,51.5549
240341,408,0.2550,156531.00,51.8187
240374,416,0.2600,157429.00,51.9950
240408,424,0.2650,157600.00,52.0888
240442,432,0.2700,157896.00,52.2880
240476,440,0.2750,158892.00,52.5644
240509,448,0.2800,159504.00,52.6937
240543,456,0.2850,160544.00,53.0576
240577,464,0.2900,161035.00,53.1958
240611,472,0.2950,161637.00,53.4813
240644,480,0.3000,162218.00,53.7514
240678,488,0.3050,162691.00,53.8708
240712,496,0.3100,163497.00,54.0323
240745,504,0.3150,163501.00,54.1448
240779,512,0.3200,164363.00,54.4156
240813,520,0.3250,164961.00,54.5291
240847,528,0.3300,164907.00,54.6181
