Millis,Steps,Travel (mm),Scale raw,Scale (grams)
8041,8,0.0050,7780.00,3.1331
8074,16,0.0100,14334.00,5.4342
8108,24,0.0150,19710.00,7.3432
8141,32,0.0200,24908.00,8.8347
8175,40,0.0250,28800.00,10.0326
8209,48,0.0300,31834.00,11.1001
8242,56,0.0350,35147.00,12.0124
8276,64,0.0400,37721.00,12.9310
8309,72,0.0450,40453.00,13.7425
8343,80,0.0500,42871.00,14.5160
8377,88,0.0550,43922.00,14.8692
8410,96,0.0600,45643.00,15.4294
8444,104,0.0650,47211.00,16.0558
8477,112,0.0700,50124.00,17.0469
8511,120,0.0750,52889.00,17.8913
8544,128,0.0800,55337.00,18.4919
8578,136,0.0850,55909.00,18.6674
8612,144,0.0900,57349.00,19.3051
8645,152,0.0950,59015.00,19.8725
8679,160,0.1000,60732.00,20.3450
8712,168,0.1050,61486.00,20.7133
8746,176,0.1100,62666.00,20.9459
8780,184,0.1150,63324.00,21.0657
8813,192,0.1200,62212.00,20.6411
8847,200,0.1250,62308.00,21.0096
8880,208,0.1300,64646.00,21.7749
8914,216,0.1350,67185.00,22.6052
8948,224,0.1400,69678.00,23.4538
8981,232,0.1450,71099.00,23.7915
9015,240,0.1500,73836.00,24.7225
9048,248,0.1550,76394.00,25.5410
9082,256,0.1600,79253.00,26.5048
9116,264,0.1650,81733.00,27.1832
9149,272,0.1700,83772.00,27.7745
9183,280,0.1750,85410.00,28.4568
9216,288,0.1800,87158.00,28.8949
9250,296,0.1850,88730.00,29.4630
9283,304,0.1900,90069.00,29.9296
9317,312,0.1950,91436.00,30.3691
9351,320,0.2000,93010.00,30.8761
9384,328,0.2050,94596.00,31.3198
9418,336,0.2100,96138.00,31.8924
9451,344,0.2150,97551.00,32.3279
9485,352,0.2200,98475.00,32.6361
9519,360,0.2250,99807.00,33.0240
9552,368,0.2300,100870.00,33.3394
9586,376,0.2350,101861.00,33.7814
9619,384,0.2400,102958.00,34.0758
9653,392,0.2450,104076.00,34.4643
9686,400,0.2500,105128.00,34.7820
9720,408,0.2550,106350.00,35.2185
9754,416,0.2600,107558.00,35.5329
9787,424,0.2650,108487.00,35.8282
9821,432,0.2700,109126.00,36.1209
9854,440,0.2750,110095.00,36.4563
9888,448,0.2800,111342.00,36.8072
9922,456,0.2850,111963.00,37.0454
9955,464,0.2900,113212.00,37.4149
9989,472,0.2950,113683.00,37.6627
10022,480,0.3000,114730.00,37.8977
10056,488,0.3050,115599.00,38.2747
10090,496,0.3100,116622.00,38.5993
10123,504,0.3150,117785.00,38.9219
10157,512,0.3200,118379.00,39.1332
10190,520,0.3250,119161.00,39.3938
10224,528,0.3300,119976.00,39.6619
10257,536,0.3350,120566.00,39.9169
10291,544,0.3400,121668.00,40.1493
10325,552,0.3450,122377.00,40.4728
10358,560,0.3500,123386.00,40.6789
10392,568,0.3550,123809.00,40.8811
10425,576,0.3600,125113.00,41.2736
10459,584,0.3650,125868.00,41.5929
10493,592,0.3700,126962.00,41.8282
10526,600,0.3750,127203.00,42.0540
10560,608,0.3800,128489.00,42.4724
10593,616,0.3850,129108.00,42.6913
10627,624,0.3900,130218.00,43.0021
10661,632,0.3950,130736.00,43.1973
10694,640,0.4000,131548.00,43.3857
10728,648,0.4050,132326.00,43.6840
10761,656,0.4100,133309.00,43.9282
10795,664,0.4150,133679.00,44.1802
10828,672,0.4200,134721.00,44.4992
10862,680,0.4250,135285.00,44.6823
10896,688,0.4300,136149.00,44.9691
10929,696,0.4350,136648.00,45.1772
10963,704,0.4400,137570.00,45.5251
10996,712,0.4450,138486.00,45.6255
11030,720,0.4500,139359.00,45.9517
11064,728,0.4550,139275.00,46.1003
11097,736,0.4600,140384.00,46.4078
11131,744,0.4650,141472.00,46.7088
11164,752,0.4700,141735.00,46.8981
11198,760,0.4750,142954.00,47.2211
11231,768,0.4800,143397.00,47.4166
11265,776,0.4850,144172.00,47.5863
11299,784,0.4900,144548.00,47.8059
11332,792,0.4950,145082.00,47.9906
11366,800,0.5000,145952.00,48.2233
11399,808,0.5050,146397.00,48.3808
11433,816,0.5100,147127.00,48.5712
11467,824,0.5150,147508.00,48.6411
11500,832,0.5200,148580.00,48.9961
11534,840,0.5250,149266.00,49.2915
11567,848,0.5300,149892.00,49.5281
11601,856,0.5350,150236.00,49.6256
11635,864,0.5400,151234.00,49.8382
11668,872,0.5450,152019.00,50.1654
11702,880,0.5500,152129.00,50.2550
11735,888,0.5550,152804.00,50.4483
11769,896,0.5600,153305.00,50.6153
11802,904,0.5650,153945.00,50.8277
11836,912,0.5700,154471.00,51.0761
11870,920,0.5750,155046.00,51.1309
11903,928,0.5800,155428.00,51.3445
11937,936,0.5850,156507.00,51.5067
11970,944,0.5900,156592.00,51.7013
12004,952,0.5950,157006.00,51.7977
12038,960,0.6000,157213.00,51.8673
12071,968,0.6050,157785.00,52.0078
12105,976,0.6100,158198.00,52.2467
12138,984,0.6150,159223.00,52.6215
12172,992,0.6200,159619.00,52.7918
12206,1000,0.6250,159300.00,52.7682
12239,1008,0.6300,161527.00,53.1492
12273,1016,0.6350,162477.00,53.6201
12306,1024,0.6400,162576.00,53.6326
12340,1032,0.6450,163382.00,53.7970
12373,1040,0.6500,163629.00,54.0333
12407,1048,0.6550,163584.00,54.0300
12441,1056,0.6600,163886.00,54.1278
12474,1064,0.6650,164715.00,54.3270
12508,1072,0.6700,165526.00,54.6089
12541,1080,0.6750,165669.00,54.6466
12575,1088,0.6800,166303.00,54.8507
12609,1096,0.6850,166365.00,54.8389
12642,1104,0.6900,167384.00,55.1323
12676,1112,0.6950,167382.00,55.2147
12709,1120,0.7000,167821.00,55.3377
12743,1128,0.7050,167585.00,55.4933
12777,1136,0.7100,168848.00,55.7138
12810,1144,0.7150,168977.00,55.6997
12844,1152,0.7200,169000.00,55.9179
12877,1160,0.7250,169479.00,56.0505
12911,1168,0.7300,169917.00,56.1135
12945,1176,0.7350,170219.00,56.2035
12978,1184,0.7400,172042.00,56.6842
13012,1192,0.7450,170438.00,56.4502
13045,1200,0.7500,171039.00,56.5815
13079,1208,0.7550,171934.00,56.8867
13113,1216,0.7600,173183.00,57.0157
13146,1224,0.7650,173222.00,57.1571
13180,1232,0.7700,173814.00,57.3462
13213,1240,0.7750,174984.00,57.7990
13247,1248,0.7800,174772.00,57.6888
13281,1256,0.7850,173917.00,57.6697
13314,1264,0.7900,173913.00,57.6802
13348,1272,0.7950,175979.00,57.7915
13381,1280,0.8000,176740.00,58.1932
13415,1288,0.8050,177586.00,58.4836
13448,1296,0.8100,177173.00,58.5049
13482,1304,0.8150,176150.00,58.3110
13516,1312,0.8200,177633.00,58.6057
13549,1320,0.8250,176005.00,58.4121
13583,1328,0.8300,176941.00,58.2808
13616,1336,0.8350,179653.00,58.9247
13650,1344,0.8400,178534.00,58.7885
13684,1352,0.8450,178362.00,59.1022
13717,1360,0.8500,178127.00,58.6113
13751,1368,0.8550,178370.00,58.7740
13784,1376,0.8600,180516.00,59.4524
13818,1384,0.8650,179472.00,59.3989
13852,1392,0.8700,178974.00,59.2174
13885,1400,0.8750,180142.00,59.3346
13919,1408,0.8800,180616.00,59.5899
13952,1416,0.8850,178660.00,59.1803
13986,1424,0.8900,178810.00,59.1718
14020,1432,0.8950,181814.00,59.7093
14053,1440,0.9000,181956.00,59.9440
14087,1448,0.9050,180746.00,59.9059
14120,1456,0.9100,181347.00,59.9079
14154,1464,0.9150,181494.00,59.9794
14188,1472,0.9200,181338.00,59.9341
14221,1480,0.9250,181938.00,60.1015
14255,1488,0.9300,181451.00,60.0073
14288,1496,0.9350,181596.00,60.0198
14322,1504,0.9400,183446.00,60.3896
14356,1512,0.9450,179588.00,60.0385
14389,1520,0.9500,181408.00,59.9121
14423,1528,0.9550,184368.00,60.7808
14456,1536,0.9600,183185.00,60.5271
14490,1544,0.9650,181205.00,60.3319
14523,1552,0.9700,183927.00,60.5101
14557,1560,0.9750,185405.00,60.9954
14591,1568,0.9800,184271.00,60.9623
14624,1576,0.9850,184625.00,60.9797
14658,1584,0.9900,185438.00,61.2143
14691,1592,0.9950,185487.00,60.9452
14725,1600,1.0000,183549.00,60.8622
14759,1608,1.0050,184224.00,60.5511
14792,1616,1.0100,186174.00,61.0266
14826,1624,1.0150,184366.00,60.5924
14859,1632,1.0200,184058.00,61.1090
14893,1640,1.0250,184038.00,61.2058
14927,1648,1.0300,186139.00,61.1792
14960,1656,1.0350,187191.00,61.6853
14994,1664,1.0400,184931.00,61.4660
15027,1672,1.0450,187185.00,61.6770
15061,1680,1.0500,187518.00,61.7253
15095,1688,1.0550,187192.00,62.0403
15128,1696,1.0600,187766.00,62.1690
15162,1704,1.0650,187806.00,61.9566
15195,1712,1.0700,188264.00,62.0735
15229,1720,1.0750,188185.00,62.1335
15263,1728,1.0800,188330.00,62.1660
15296,1736,1.0850,188561.00,62.2911
15330,1744,1.0900,187810.00,62.1933
15363,1752,1.0950,188993.00,62.4712
15397,1760,1.1000,189610.00,62.7292
15431,1768,1.1050,189721.00,62.7137
15464,1776,1.1100,190461.00,62.8440
15498,1784,1.1150,190420.00,62.7269
15531,1792,1.1200,190290.00,62.8312
