Millis,Steps,Travel (mm),Scale raw,Scale (grams)
1052397,8,0.0050,10702.00,3.6247
1052431,16,0.0100,16601.00,6.0433
1052465,24,0.0150,21395.00,7.4649
1052499,32,0.0200,25263.00,8.6611
1052532,40,0.0250,27952.00,9.4665
1052566,48,0.0300,30083.00,10.1514
1052600,56,0.0350,32117.00,10.7814
1052634,64,0.0400,33584.00,11.2376
1052668,72,0.0450,35354.00,11.8500
1052701,80,0.0500,37449.00,12.5792
1052735,88,0.0550,40130.00,13.4935
1052769,96,0.0600,42860.00,14.3031
1052802,104,0.0650,45103.00,15.1143
1052836,112,0.0700,46926.00,15.5495
1052870,120,0.0750,50784.00,17.1647
1052904,128,0.0800,55827.00,18.7255
1052938,136,0.0850,60110.00,20.0129
1052971,144,0.0900,63493.00,21.0742
1053005,152,0.0950,66579.00,22.1100
1053039,160,0.1000,69336.00,22.9570
1053072,168,0.1050,71927.00,23.6829
1053106,176,0.1100,73768.00,24.4160
1053140,184,0.1150,75920.00,25.0825
1053174,192,0.1200,78038.00,25.7011
1053208,200,0.1250,79614.00,26.2315
1053241,208,0.1300,80940.00,26.7618
1053275,216,0.1350,82879.00,27.2829
1053309,224,0.1400,84215.00,27.6751
1053343,232,0.1450,85240.00,28.1211
1053376,240,0.1500,86861.00,28.5543
1053410,248,0.1550,88280.00,28.9789
1053444,256,0.1600,89314.00,29.4302
1053478,264,0.1650,90849.00,29.9487
1053511,272,0.1700,92194.00,30.2982
1053545,280,0.1750,93273.00,30.7754
1053579,288,0.1800,94811.00,31.2190
1053613,296,0.1850,96160.00,31.6535
1053646,304,0.1900,97407.00,32.1182
1053680,312,0.1950,98583.00,32.4582
1053714,320,0.2000,100111.00,32.8822
1053748,328,0.2050,101124.00,33.3338
1053781,336,0.2100,102510.00,33.6807
1053815,344,0.2150,103744.00,34.0899
1053849,352,0.2200,104866.00,34.5224
1053883,360,0.2250,106166.00,34.9707
1053916,368,0.2300,107324.00,35.3333
1053950,376,0.2350,108338.00,35.6992
1053984,384,0.2400,109813.00,36.0967
1054018,392,0.2450,111047.00,36.5000
1054051,400,0.2500,112064.00,36.8331
1054085,408,0.2550,112862.00,37.1110
1054119,416,0.2600,113985.00,37.5239
1054153,424,0.2650,115363.00,37.9810
1054186,432,0.2700,116571.00,38.3919
1054220,440,0.2750,117748.00,38.7496
1054254,448,0.2800,118575.00,38.9675
1054288,456,0.2850,119235.00,39.2415
1054321,464,0.2900,121344.00,39.7207
1054355,472,0.2950,121799.00,40.0052
1054389,480,0.3000,122894.00,40.4148
1054423,488,0.3050,123983.00,40.7754
1054456,496,0.3100,124917.00,41.1082
1054490,504,0.3150,126062.00,41.4216
1054524,512,0.3200,126778.00,41.6982
1054558,520,0.3250,128022.00,42.0303
1054591,528,0.3300,128898.00,42.3749
1054625,536,0.3350,129503.00,42.5525
