position,dome_label,canonical_set,test_id,weight_mean,weight_sd,weight_min,weight_max,weight_range,tactility_mean,tactility_sd,tactility_min,tactility_max,tactility_range
1a,DynaCaps Heavy 55g,Dynacaps_Heavy_55g,bt_0007,5.666666666666667,1.1547005383792517,5.0,7.0,2.0,5.333333333333333,0.5773502691896257,5.0,6.0,1.0
1b,Sony BKE Gray 01,Sony_BKE_Gray_01,bt_0010,5.666666666666667,1.1547005383792517,5.0,7.0,2.0,7.0,0.0,7.0,7.0,0.0
1c,KLC Densus 35g,KLC_Densus_35g,bt_0069,3.3333333333333335,0.5773502691896258,3.0,4.0,1.0,3.0,1.7320508075688772,2.0,5.0,3.0
1d,BKE Redux Heavy 01,BKE_Redux_v1_Heavy_01,bt_0036,7.666666666666667,1.1547005383792517,7.0,9.0,2.0,9.333333333333334,0.5773502691896258,9.0,10.0,1.0
1e,Deskeys V1 Purple 49g,Deskeys_V1_Purple_49g,bt_0047,5.666666666666667,1.1547005383792517,5.0,7.0,2.0,7.0,1.0,6.0,8.0,2.0
2a,Astro Lean 90g,Astro_Domes_Lean_90g,bt_0066,7.666666666666667,1.1547005383792517,7.0,9.0,2.0,9.333333333333334,1.1547005383792517,8.0,10.0,2.0
2b,Topre R1 55g,Topre_R1_55g,bt_0074,6.0,0.0,6.0,6.0,0.0,5.666666666666667,1.1547005383792517,5.0,7.0,2.0
2c,Sony BKE Brown 03,Sony_BKE_Brown_03,bt_0014,4.333333333333333,0.5773502691896257,4.0,5.0,1.0,6.333333333333333,0.5773502691896257,6.0,7.0,1.0
2d,NiZ Purple 60g,NiZ_Purple_60g,bt_0072,5.666666666666667,0.5773502691896257,5.0,6.0,1.0,2.3333333333333335,0.5773502691896258,2.0,3.0,1.0
2e,Deskeys T1 Purple 49g,Deskeys_T1_Purple_49g,bt_0030,4.666666666666667,1.1547005383792517,4.0,6.0,2.0,7.0,1.0,6.0,8.0,2.0
3a,BKE Redux Heavy 03,BKE_Redux_v1_Heavy_03,bt_0038,8.0,1.0,7.0,9.0,2.0,9.666666666666666,0.5773502691896255,9.0,10.0,1.0
3b,Topre R1 45g,Topre_R1_45g,bt_0075,5.0,1.0,4.0,6.0,2.0,4.333333333333333,0.5773502691896257,4.0,5.0,1.0
3c,Astro Pepper 50g,Astro_Domes_Pepper_50g,bt_0063,4.666666666666667,0.5773502691896258,4.0,5.0,1.0,6.333333333333333,0.5773502691896257,6.0,7.0,1.0
3d,NiZ Black 65g,NiZ_Black_65g,bt_0009,7.0,0.0,7.0,7.0,0.0,3.0,1.0,2.0,4.0,2.0
3e,Deskeys V3 Purple 49g,Deskeys_V3_Purple_49g,bt_0058,4.666666666666667,1.1547005383792517,4.0,6.0,2.0,5.0,1.7320508075688772,3.0,6.0,3.0
4a,Astro Big D 160g,Astro_Domes_Big_D_160g,bt_0068,10.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0
4b,Topre R2 30g,Topre_R2_30g,bt_0079,2.0,0.0,2.0,2.0,0.0,3.6666666666666665,0.5773502691896257,3.0,4.0,1.0
4c,Deskeys V2 Purple 49g,Deskeys_V2_Purple_49g,bt_0051,3.6666666666666665,0.5773502691896258,3.0,4.0,1.0,4.333333333333333,0.5773502691896257,4.0,5.0,1.0
4d,DynaCaps Light 35g,DynaCaps_Light_35g,bt_0005,2.6666666666666665,1.1547005383792517,2.0,4.0,2.0,3.3333333333333335,0.5773502691896258,3.0,4.0,1.0
4e,BKE Redux Extreme 01,BKE_Redux_v1_Extreme_01,bt_0008,7.666666666666667,0.5773502691896258,7.0,8.0,1.0,9.0,1.0,8.0,10.0,2.0
5a,Astro Fiesta 120g,Astro_Domes_Fiesta_120g,bt_0067,8.666666666666666,0.5773502691896255,8.0,9.0,1.0,10.0,0.0,10.0,10.0,0.0
5b,KLC Densus 55g,KLC_Densus_55g,bt_0071,3.6666666666666665,0.5773502691896258,3.0,4.0,1.0,2.3333333333333335,0.5773502691896258,2.0,3.0,1.0
5c,Deskeys T1 Darkside 100g,Deskeys_T1_Darkside_100g,bt_0035,8.0,1.7320508075688772,6.0,9.0,3.0,9.666666666666666,0.5773502691896258,9.0,10.0,1.0
5d,Topre R1 30g,Topre_R1_30g,bt_0076,2.3333333333333335,1.1547005383792515,1.0,3.0,2.0,2.3333333333333335,0.5773502691896257,2.0,3.0,1.0
5e,Sony BKE Gray 02,Sony_BKE_Gray_02,bt_0073,7.333333333333333,1.1547005383792517,6.0,8.0,2.0,8.0,1.0,7.0,9.0,2.0
