session,tab,date_serial,time_serial,position,dome_label,canonical_set,test_id,weight,tactility
1,TEST,46251,0.5916666666666667,1a,DynaCaps Heavy 55g,Dynacaps_Heavy_55g,bt_0007,7.0,5.0
1,TEST,46251,0.5916666666666667,1b,Sony BKE Gray 01,Sony_BKE_Gray_01,bt_0010,7.0,7.0
1,TEST,46251,0.5916666666666667,1c,KLC Densus 35g,KLC_Densus_35g,bt_0069,4.0,5.0
1,TEST,46251,0.5916666666666667,1d,BKE Redux Heavy 01,BKE_Redux_v1_Heavy_01,bt_0036,9.0,10.0
1,TEST,46251,0.5916666666666667,1e,Deskeys V1 Purple 49g,Deskeys_V1_Purple_49g,bt_0047,7.0,8.0
1,TEST,46251,0.5916666666666667,2a,Astro Lean 90g,Astro_Domes_Lean_90g,bt_0066,9.0,10.0
1,TEST,46251,0.5916666666666667,2b,Topre R1 55g,Topre_R1_55g,bt_0074,6.0,5.0
1,TEST,46251,0.5916666666666667,2c,Sony BKE Brown 03,Sony_BKE_Brown_03,bt_0014,5.0,7.0
1,TEST,46251,0.5916666666666667,2d,NiZ Purple 60g,NiZ_Purple_60g,bt_0072,6.0,2.0
1,TEST,46251,0.5916666666666667,2e,Deskeys T1 Purple 49g,Deskeys_T1_Purple_49g,bt_0030,6.0,8.0
1,TEST,46251,0.5916666666666667,3a,BKE Redux Heavy 03,BKE_Redux_v1_Heavy_03,bt_0038,9.0,10.0
1,TEST,46251,0.5916666666666667,3b,Topre R1 45g,Topre_R1_45g,bt_0075,4.0,5.0
1,TEST,46251,0.5916666666666667,3c,Astro Pepper 50g,Astro_Domes_Pepper_50g,bt_0063,5.0,7.0
1,TEST,46251,0.5916666666666667,3d,NiZ Black 65g,NiZ_Black_65g,bt_0009,7.0,2.0
1,TEST,46251,0.5916666666666667,3e,Deskeys V3 Purple 49g,Deskeys_V3_Purple_49g,bt_0058,6.0,6.0
1,TEST,46251,0.5916666666666667,4a,Astro Big D 160g,Astro_Domes_Big_D_160g,bt_0068,10.0,10.0
1,TEST,46251,0.5916666666666667,4b,Topre R2 30g,Topre_R2_30g,bt_0079,2.0,4.0
1,TEST,46251,0.5916666666666667,4c,Deskeys V2 Purple 49g,Deskeys_V2_Purple_49g,bt_0051,4.0,5.0
1,TEST,46251,0.5916666666666667,4d,DynaCaps Light 35g,DynaCaps_Light_35g,bt_0005,2.0,4.0
1,TEST,46251,0.5916666666666667,4e,BKE Redux Extreme 01,BKE_Redux_v1_Extreme_01,bt_0008,8.0,9.0
1,TEST,46251,0.5916666666666667,5a,Astro Fiesta 120g,Astro_Domes_Fiesta_120g,bt_0067,9.0,10.0
1,TEST,46251,0.5916666666666667,5b,KLC Densus 55g,KLC_Densus_55g,bt_0071,3.0,2.0
1,TEST,46251,0.5916666666666667,5c,Deskeys T1 Darkside 100g,Deskeys_T1_Darkside_100g,bt_0035,9.0,10.0
1,TEST,46251,0.5916666666666667,5d,Topre R1 30g,Topre_R1_30g,bt_0076,1.0,2.0
1,TEST,46251,0.5916666666666667,5e,Sony BKE Gray 02,Sony_BKE_Gray_02,bt_0073,8.0,9.0
2,TEST (2),46261,0.7326388888888888,1a,DynaCaps Heavy 55g,Dynacaps_Heavy_55g,bt_0007,5.0,6.0
2,TEST (2),46261,0.7326388888888888,1b,Sony BKE Gray 01,Sony_BKE_Gray_01,bt_0010,5.0,7.0
2,TEST (2),46261,0.7326388888888888,1c,KLC Densus 35g,KLC_Densus_35g,bt_0069,3.0,2.0
2,TEST (2),46261,0.7326388888888888,1d,BKE Redux Heavy 01,BKE_Redux_v1_Heavy_01,bt_0036,7.0,9.0
2,TEST (2),46261,0.7326388888888888,1e,Deskeys V1 Purple 49g,Deskeys_V1_Purple_49g,bt_0047,5.0,7.0
2,TEST (2),46261,0.7326388888888888,2a,Astro Lean 90g,Astro_Domes_Lean_90g,bt_0066,7.0,10.0
2,TEST (2),46261,0.7326388888888888,2b,Topre R1 55g,Topre_R1_55g,bt_0074,6.0,7.0
2,TEST (2),46261,0.7326388888888888,2c,Sony BKE Brown 03,Sony_BKE_Brown_03,bt_0014,4.0,6.0
2,TEST (2),46261,0.7326388888888888,2d,NiZ Purple 60g,NiZ_Purple_60g,bt_0072,5.0,3.0
2,TEST (2),46261,0.7326388888888888,2e,Deskeys T1 Purple 49g,Deskeys_T1_Purple_49g,bt_0030,4.0,7.0
2,TEST (2),46261,0.7326388888888888,3a,BKE Redux Heavy 03,BKE_Redux_v1_Heavy_03,bt_0038,8.0,10.0
2,TEST (2),46261,0.7326388888888888,3b,Topre R1 45g,Topre_R1_45g,bt_0075,5.0,4.0
2,TEST (2),46261,0.7326388888888888,3c,Astro Pepper 50g,Astro_Domes_Pepper_50g,bt_0063,5.0,6.0
2,TEST (2),46261,0.7326388888888888,3d,NiZ Black 65g,NiZ_Black_65g,bt_0009,7.0,4.0
2,TEST (2),46261,0.7326388888888888,3e,Deskeys V3 Purple 49g,Deskeys_V3_Purple_49g,bt_0058,4.0,6.0
2,TEST (2),46261,0.7326388888888888,4a,Astro Big D 160g,Astro_Domes_Big_D_160g,bt_0068,10.0,10.0
2,TEST (2),46261,0.7326388888888888,4b,Topre R2 30g,Topre_R2_30g,bt_0079,2.0,4.0
2,TEST (2),46261,0.7326388888888888,4c,Deskeys V2 Purple 49g,Deskeys_V2_Purple_49g,bt_0051,3.0,4.0
2,TEST (2),46261,0.7326388888888888,4d,DynaCaps Light 35g,DynaCaps_Light_35g,bt_0005,2.0,3.0
2,TEST (2),46261,0.7326388888888888,4e,BKE Redux Extreme 01,BKE_Redux_v1_Extreme_01,bt_0008,8.0,10.0
2,TEST (2),46261,0.7326388888888888,5a,Astro Fiesta 120g,Astro_Domes_Fiesta_120g,bt_0067,9.0,10.0
2,TEST (2),46261,0.7326388888888888,5b,KLC Densus 55g,KLC_Densus_55g,bt_0071,4.0,3.0
2,TEST (2),46261,0.7326388888888888,5c,Deskeys T1 Darkside 100g,Deskeys_T1_Darkside_100g,bt_0035,6.0,9.0
2,TEST (2),46261,0.7326388888888888,5d,Topre R1 30g,Topre_R1_30g,bt_0076,3.0,2.0
2,TEST (2),46261,0.7326388888888888,5e,Sony BKE Gray 02,Sony_BKE_Gray_02,bt_0073,6.0,7.0
3,TEST (3),46261,0.7479166666666667,1a,DynaCaps Heavy 55g,Dynacaps_Heavy_55g,bt_0007,5.0,5.0
3,TEST (3),46261,0.7479166666666667,1b,Sony BKE Gray 01,Sony_BKE_Gray_01,bt_0010,5.0,7.0
3,TEST (3),46261,0.7479166666666667,1c,KLC Densus 35g,KLC_Densus_35g,bt_0069,3.0,2.0
3,TEST (3),46261,0.7479166666666667,1d,BKE Redux Heavy 01,BKE_Redux_v1_Heavy_01,bt_0036,7.0,9.0
3,TEST (3),46261,0.7479166666666667,1e,Deskeys V1 Purple 49g,Deskeys_V1_Purple_49g,bt_0047,5.0,6.0
3,TEST (3),46261,0.7479166666666667,2a,Astro Lean 90g,Astro_Domes_Lean_90g,bt_0066,7.0,8.0
3,TEST (3),46261,0.7479166666666667,2b,Topre R1 55g,Topre_R1_55g,bt_0074,6.0,5.0
3,TEST (3),46261,0.7479166666666667,2c,Sony BKE Brown 03,Sony_BKE_Brown_03,bt_0014,4.0,6.0
3,TEST (3),46261,0.7479166666666667,2d,NiZ Purple 60g,NiZ_Purple_60g,bt_0072,6.0,2.0
3,TEST (3),46261,0.7479166666666667,2e,Deskeys T1 Purple 49g,Deskeys_T1_Purple_49g,bt_0030,4.0,6.0
3,TEST (3),46261,0.7479166666666667,3a,BKE Redux Heavy 03,BKE_Redux_v1_Heavy_03,bt_0038,7.0,9.0
3,TEST (3),46261,0.7479166666666667,3b,Topre R1 45g,Topre_R1_45g,bt_0075,6.0,4.0
