set,run,raw_path,sha256,git_blob_oid,acquisition_id,raw_bytes,artifact_role,release_eligible,intake_policy_version,intake_implementation_parity_target,intake_decision_manifest_version,qc_disposition,intake_ramp_review_required,intake_ramp_review_ramp_gf_per_mm,intake_ramp_review_retained_median_gf_per_mm,intake_ramp_review_signed_deviation_pct,intake_ramp_review_absolute_deviation_pct,intake_ramp_review_threshold_pct,rows,malformed_rows,nonfinite_values,header_exact,millis_strictly_increasing,millis_monotonic,interval_median_ms,interval_p95_ms,interval_max_ms,timing_gap_count,effective_speed_mm_s,rate_cohort_conform,phase_reversals_press,phase_reversals_return,max_travel_row_count,turnaround_documented_duplicate,turnaround_detail,turnaround_travel_delta_mm,turnaround_step_delta,travel_step_violations,steps_continuity_violations,travel_steps_ratio_violations,grid_conforming,invalid_turnaround,missing_duplicate_turnaround,x_start_mm,x_max_mm,x_end_mm,press_span_mm,return_span_mm,return_rows,return_completion_fraction,origin_zone_conform,endpoint_zone_conform,press_span_conform,return_span_conform,return_completion_conform,return_rows_supplementary_ok,incomplete_press,incomplete_return,short_return,bad_origin,bad_return_endpoint,cropped_stroke,loadcell_saturation,force_spikes,raw_adc_dropout_count,stale_force_max_run_press,stale_force_flag,raw_cal_sign_disagreements,min_raw,min_cal_g,negative_observed,negative_class,negative_at_x_mm,negative_phase
Astro_Domes_Big_D_160g,DataLog_1.csv,Astro_Domes_Big_D_160g/DataLog_1.csv,c9a7b5c527a3aefbf7565ccdb2ac03ebffd1f392caa20a64dd3e9c56d83ae32e,25718063df9fde8d59c52935ea43288a948d0b10,acq_sha256:c9a7b5c527a3aefbf7565ccdb2ac03ebffd1f392caa20a64dd3e9c56d83ae32e,56587,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass,False,,,,,,1577,0,0,True,True,True,34.0,34.0,134.0,1,0.148687661565749,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,3.945,0.01,3.94,3.935,788,0.9987309644670052,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,1,False,0,768.0,0.1582,False,,,
Astro_Domes_Big_D_160g,DataLog_2.csv,Astro_Domes_Big_D_160g/DataLog_2.csv,fd47ba4e02958b65ac00ed42a111cdc24050d8ab4384825dcf9daac12d91cc1b,51ca8fff567b07e50082cdf16d45b78c08c113cc,acq_sha256:fd47ba4e02958b65ac00ed42a111cdc24050d8ab4384825dcf9daac12d91cc1b,56472,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass,False,,,,,,1575,0,0,True,True,True,34.0,34.0,123.0,1,0.1489152619245597,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,3.93,-0.01,3.9250000000000003,3.94,789,1.0038216560509554,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,1,False,0,846.0,0.0981,False,,,
Astro_Domes_Big_D_160g,DataLog_3.csv,Astro_Domes_Big_D_160g/DataLog_3.csv,6b0f6e2722ddaff355ce21d03202a2cb1b34ab90e5fbb189554e25261845398a,eeb4fdc9795f0f15be16f3c078ca850b31c2f02e,acq_sha256:6b0f6e2722ddaff355ce21d03202a2cb1b34ab90e5fbb189554e25261845398a,56685,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass,False,,,,,,1580,0,0,True,True,True,34.0,34.0,169.0,2,0.14737471281543607,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,3.95,0.005,3.9450000000000003,3.9450000000000003,790,1.0,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,0,False,0,28.0,0.0473,False,,,
Astro_Domes_Big_D_160g,DataLog_4.csv,Astro_Domes_Big_D_160g/DataLog_4.csv,2408bfab8e0de2d75b56edfc10f60eda8851ec823cfd3aed61324abf951c1758,7c5deec5913a573cbe874c212f3464d2dafaa8a4,acq_sha256:2408bfab8e0de2d75b56edfc10f60eda8851ec823cfd3aed61324abf951c1758,56611,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass,False,,,,,,1579,0,0,True,True,True,34.0,34.0,146.0,1,0.14856326162178424,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,3.94,-0.01,3.935,3.9499999999999997,791,1.0038119440914866,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,1,False,0,180.0,0.0571,False,,,
Astro_Domes_Fiesta_120g,DataLog_1.csv,Astro_Domes_Fiesta_120g/DataLog_1.csv,2ab7a7d80ab3d224272bdb3bb4343701176d008f74aec702c7f6fe7168bcc338,eb151d457258358c7fdf4d8bfaaa17b41b615e5f,acq_sha256:2ab7a7d80ab3d224272bdb3bb4343701176d008f74aec702c7f6fe7168bcc338,55654,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass_with_offset_note,False,,,,,,1558,0,0,True,True,True,34.0,34.0,146.0,1,0.14836568900415728,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,3.895,0.005,3.89,3.89,779,1.0,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,1,False,0,-150.0,-0.0007,True,baseline_zero_offset,0.005,return
Astro_Domes_Fiesta_120g,DataLog_2.csv,Astro_Domes_Fiesta_120g/DataLog_2.csv,14a95089adfb8a3ad28f2eded623a8104efc185b979031f74f161695d872e84c,6a1082fead77f064892ce3541fe7dc9cfa83b389,acq_sha256:14a95089adfb8a3ad28f2eded623a8104efc185b979031f74f161695d872e84c,57157,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass_with_offset_note,False,,,,,,1555,0,0,True,True,True,34.0,34.0,180.0,2,0.14751052292290773,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,3.88,-0.01,3.875,3.8899999999999997,779,1.0038709677419353,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,1,False,0,30.0,-0.0016,True,baseline_zero_offset,-0.01,return
Astro_Domes_Lean_90g,DataLog_1.csv,Astro_Domes_Lean_90g/DataLog_1.csv,6a93ed4cbb749421027ee2878d9a09a8adfcac39e122a80021878916315d628f,07d6503e3c61f66804efca9d1bad3031fceb5dd1,acq_sha256:6a93ed4cbb749421027ee2878d9a09a8adfcac39e122a80021878916315d628f,57550,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass,False,,,,,,1616,0,0,True,True,True,34.0,34.0,167.0,1,0.14839468941929315,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,4.04,0.005,4.035,4.035,808,1.0,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,0,False,0,812.0,0.1414,False,,,
Astro_Domes_Lean_90g,DataLog_2.csv,Astro_Domes_Lean_90g/DataLog_2.csv,b1318d524f226b767ab5f4581a8d9173312be03e5ca85861baa35051f1c6e185,e767e677821cb51b7922ed06e5addf5a8f55e4ea,acq_sha256:b1318d524f226b767ab5f4581a8d9173312be03e5ca85861baa35051f1c6e185,59341,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass,False,,,,,,1618,0,0,True,True,True,34.0,34.0,191.0,2,0.14745552639253426,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,4.04,-0.005,4.035,4.045,810,1.0024783147459726,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,1,False,0,2726.0,0.5835,False,,,
Astro_Domes_Pepper_50g,DataLog_1.csv,Astro_Domes_Pepper_50g/DataLog_1.csv,77f1e092ffc03b2d2379c4afbdb5aa353e8ae10c7a7726652eb6d7f94dad6afa,820758c6de571231d97052efca230c4a49fddf8f,acq_sha256:77f1e092ffc03b2d2379c4afbdb5aa353e8ae10c7a7726652eb6d7f94dad6afa,58625,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass_with_offset_note,False,,,,,,1659,0,0,True,True,True,34.0,34.0,179.0,1,0.14839079225289084,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,4.145,0.0,4.14,4.145,830,1.001207729468599,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,0,False,0,-363.0,-0.1588,True,baseline_zero_offset,0.0,return
Astro_Domes_Pepper_50g,DataLog_2.csv,Astro_Domes_Pepper_50g/DataLog_2.csv,40c584fdaf43f42600f7ded69184ebb4106f6c4bb1a56a6f6a3c791be6fc04dd,882fcccd2f7bc443a87ef33942b1dcfbab1377d0,acq_sha256:40c584fdaf43f42600f7ded69184ebb4106f6c4bb1a56a6f6a3c791be6fc04dd,61901,canonical_retention_authority,True,intake-qc-v1.4,test-imp 1.1.4,2,pass,False,,,,,,1656,0,0,True,True,True,34.0,34.0,147.0,1,0.14595966718375403,True,0,0,2,True,"{'boundary_present': True, 'consecutive_max_rows': True, 'travel_identical': True, 'steps_identical': True, 'is_expected_shared_maximum': True, 'phase_split_satisfied': True}",0.0,0.0,0,0,0,True,False,False,0.005,4.135,-0.005,4.13,4.14,829,1.0024213075060533,True,True,True,True,True,True,False,False,False,False,False,False,False,0,0,0,False,0,2981.0,0.57,False,,,
