set,run,raw_path,sha256,git_blob_oid,acquisition_id,raw_bytes,excluded_by_registry,qc_disposition,qc_disposition_flags,legacy_membership_evaluated,retained_conventional,retained_legacy,retained_output,retained_review_candidate,retained_canonical,output_membership_authority,release_eligible,intake_policy_version,intake_implementation_parity_target,intake_decision_manifest_version,intake_policy_role,intake_set_status,intake_individually_acceptable,intake_matches_replicate_band,intake_retained,intake_decision_reasons,exclusion_reason,intake_ramp_review_required,intake_ramp_review_ramp_gf_per_mm,intake_ramp_review_retained_median_gf_per_mm,intake_ramp_review_signed_deviation_pct,intake_ramp_review_absolute_deviation_pct,intake_ramp_review_threshold_pct,collapse_force_gf,collapse_travel_mm,valley_force_gf,valley_travel_mm,snap_pct,travel_mm,full_stroke_press_work_gf_mm,precollapse_work_gf_mm,drop_gf,drop_travel_mm,drop_rate_gf_per_mm,norm_drop_rate_per_mm,steepest_drop_0p10mm_gf_per_mm,ramp_10_90_gf_per_mm,force_wall_travel_mm,force_wall_found,steepest_drop_start_mm,steepest_drop_end_mm,ramp_baseline_force_gf,ramp_x10_mm,ramp_x90_mm,ramp_x10_cross_count,ramp_x90_cross_count,ramp_x10_eligible_cross_count,ramp_x90_eligible_cross_count,ramp_band_sample_count,ramp_band_complete,quality_flags
Astro_Domes_Big_D_160g,DataLog_1.csv,Astro_Domes_Big_D_160g/DataLog_1.csv,c9a7b5c527a3aefbf7565ccdb2ac03ebffd1f392caa20a64dd3e9c56d83ae32e,25718063df9fde8d59c52935ea43288a948d0b10,acq_sha256:c9a7b5c527a3aefbf7565ccdb2ac03ebffd1f392caa20a64dd3e9c56d83ae32e,56587,False,pass,,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,112.46209999999999,1.135,41.847671428571424,2.96,62.78953404874048,3.595,264.99348424999977,95.78248174999995,70.61442857142856,1.825,38.69283757338552,0.34405224136296153,89.06742857142874,94.8358688699786,3.595,True,2.0949999999999998,2.195,37.48174285714286,0.1397815164199317,0.7722878289473686,1,1,1,1,21,True,
Astro_Domes_Big_D_160g,DataLog_2.csv,Astro_Domes_Big_D_160g/DataLog_2.csv,fd47ba4e02958b65ac00ed42a111cdc24050d8ab4384825dcf9daac12d91cc1b,51ca8fff567b07e50082cdf16d45b78c08c113cc,acq_sha256:fd47ba4e02958b65ac00ed42a111cdc24050d8ab4384825dcf9daac12d91cc1b,56472,False,pass,,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,112.8416,1.14,42.22588571428571,2.94,62.57950462038316,3.58,265.98493675000014,97.38810674999999,70.61571428571429,1.8,39.23095238095238,0.34766391455768425,80.92114285714281,93.92505038746071,3.58,True,2.235,2.335,38.921842857142856,0.13862122021175965,0.7682275443003601,1,1,1,1,21,True,
Astro_Domes_Big_D_160g,DataLog_3.csv,Astro_Domes_Big_D_160g/DataLog_3.csv,6b0f6e2722ddaff355ce21d03202a2cb1b34ab90e5fbb189554e25261845398a,eeb4fdc9795f0f15be16f3c078ca850b31c2f02e,acq_sha256:6b0f6e2722ddaff355ce21d03202a2cb1b34ab90e5fbb189554e25261845398a,56685,False,pass,,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,112.14452857142858,1.14,42.0495,2.975,62.5041894280047,3.6,264.6952065,94.63122625000001,70.09502857142857,1.8350000000000002,38.19892565200467,0.34062228571119724,67.96914285714301,94.48758788219477,3.6,True,2.3449999999999998,2.445,36.627042857142854,0.13995468263917912,0.7793401291885347,1,1,1,1,21,True,
Astro_Domes_Big_D_160g,DataLog_4.csv,Astro_Domes_Big_D_160g/DataLog_4.csv,2408bfab8e0de2d75b56edfc10f60eda8851ec823cfd3aed61324abf951c1758,7c5deec5913a573cbe874c212f3464d2dafaa8a4,acq_sha256:2408bfab8e0de2d75b56edfc10f60eda8851ec823cfd3aed61324abf951c1758,56611,False,pass,,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,112.33067142857143,1.1,42.07254285714286,2.98,62.54581022076785,3.585,265.22334124999975,92.08014699999998,70.25812857142859,1.88,37.37134498480244,0.33269047989770134,65.3154285714286,92.99884280392293,3.585,True,2.355,2.455,38.86267142857143,0.1390768668237589,0.7710675263625972,1,1,1,1,21,True,
Astro_Domes_Fiesta_120g,DataLog_1.csv,Astro_Domes_Fiesta_120g/DataLog_1.csv,2ab7a7d80ab3d224272bdb3bb4343701176d008f74aec702c7f6fe7168bcc338,eb151d457258358c7fdf4d8bfaaa17b41b615e5f,acq_sha256:2ab7a7d80ab3d224272bdb3bb4343701176d008f74aec702c7f6fe7168bcc338,55654,False,pass_with_offset_note,baseline_zero_offset,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,103.50587142857144,1.095,39.4068,2.935,61.92795688194915,3.495,245.44823850000006,88.70394974999996,64.09907142857145,1.84,34.83645186335405,0.3365649830540715,84.10457142857155,80.8839155781291,3.495,True,2.13,2.23,41.64821428571429,0.12631194263276987,0.7381285857882937,1,1,1,1,21,True,
Astro_Domes_Fiesta_120g,DataLog_2.csv,Astro_Domes_Fiesta_120g/DataLog_2.csv,14a95089adfb8a3ad28f2eded623a8104efc185b979031f74f161695d872e84c,6a1082fead77f064892ce3541fe7dc9cfa83b389,acq_sha256:14a95089adfb8a3ad28f2eded623a8104efc185b979031f74f161695d872e84c,57157,False,pass_with_offset_note,baseline_zero_offset,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,101.19754285714285,1.1,39.58307142857143,2.905,60.88534334825746,3.485,240.73239725000005,87.47791800000002,61.61447142857142,1.8049999999999997,34.13544123466561,0.3373149215969943,81.18928571428569,76.14265212655668,3.485,True,2.195,2.295,42.86642857142857,0.13125941994329246,0.7441208074217549,1,1,1,1,21,True,
Astro_Domes_Lean_90g,DataLog_1.csv,Astro_Domes_Lean_90g/DataLog_1.csv,6a93ed4cbb749421027ee2878d9a09a8adfcac39e122a80021878916315d628f,07d6503e3c61f66804efca9d1bad3031fceb5dd1,acq_sha256:6a93ed4cbb749421027ee2878d9a09a8adfcac39e122a80021878916315d628f,57550,False,pass,,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,90.79442857142858,1.055,33.19224285714286,2.975,63.44242330791222,3.61,215.37305375000008,71.534464,57.602185714285724,1.9200000000000002,30.001138392857147,0.3304292880620428,76.30228571428567,81.12319611677204,3.61,True,1.995,2.095,31.069257142857143,0.13808914400184916,0.7270715735658974,1,1,1,1,21,True,
Astro_Domes_Lean_90g,DataLog_2.csv,Astro_Domes_Lean_90g/DataLog_2.csv,b1318d524f226b767ab5f4581a8d9173312be03e5ca85861baa35051f1c6e185,e767e677821cb51b7922ed06e5addf5a8f55e4ea,acq_sha256:b1318d524f226b767ab5f4581a8d9173312be03e5ca85861baa35051f1c6e185,59341,False,pass,,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,89.71402857142857,1.06,33.22678571428572,2.995,62.963667730257825,3.605,213.38856625000008,70.84646049999999,56.48724285714285,1.935,29.19237356958287,0.32539363168091895,73.87514285714289,80.78082807634094,3.605,True,2.1,2.2,30.113814285714284,0.13825669073916738,0.7284978725145246,1,1,1,1,21,True,
Astro_Domes_Pepper_50g,DataLog_1.csv,Astro_Domes_Pepper_50g/DataLog_1.csv,77f1e092ffc03b2d2379c4afbdb5aa353e8ae10c7a7726652eb6d7f94dad6afa,820758c6de571231d97052efca230c4a49fddf8f,acq_sha256:77f1e092ffc03b2d2379c4afbdb5aa353e8ae10c7a7726652eb6d7f94dad6afa,58625,False,pass_with_offset_note,baseline_zero_offset,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,46.546,0.915,18.54647142857143,2.855,60.15453222925401,3.565,112.29059975000001,34.10558274999998,27.99952857142857,1.94,14.432746686303387,0.31007490839821655,24.86842857142861,33.91591199263928,3.565,True,1.9899999999999998,2.09,24.693757142857145,0.12647397112691236,0.6419191783649879,1,1,1,1,21,True,
Astro_Domes_Pepper_50g,DataLog_2.csv,Astro_Domes_Pepper_50g/DataLog_2.csv,40c584fdaf43f42600f7ded69184ebb4106f6c4bb1a56a6f6a3c791be6fc04dd,882fcccd2f7bc443a87ef33942b1dcfbab1377d0,acq_sha256:40c584fdaf43f42600f7ded69184ebb4106f6c4bb1a56a6f6a3c791be6fc04dd,61901,False,pass,,False,,,True,False,True,intake-qc-v1.4 canonical retention authority,True,intake-qc-v1.4,test-imp 1.1.4,2,canonical_retention_authority,accepted,True,True,True,retained,retained,False,,,,,,46.636714285714284,0.96,19.137985714285715,2.85,58.96369200231577,3.56,113.31877149999998,36.1518755,27.49872857142857,1.8900000000000001,14.549591836734692,0.3119772063614591,23.54614285714284,34.308294126057845,3.56,True,2.05,2.15,24.718228571428572,0.12947926603927637,0.640574003276898,1,1,1,1,21,True,
